Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-05-01,02,LG1,Total,1,10
2020-05-01,02,LG1,UG,0,0
2020-05-01,02,LG3,Alumni,0,0
2020-05-01,02,LG3,Non-HKUST,0,0
2020-05-01,02,LG3,Others(HKUST),0,0
2020-05-01,02,LG3,RPG,0,0
2020-05-01,02,LG3,Staff,0,0
2020-05-01,02,LG3,TPG,0,0
2020-05-01,02,LG3,Total,0,0
2020-05-01,02,LG3,UG,0,0
2020-05-01,02,LG4,Alumni,0,0
2020-05-01,02,LG4,Non-HKUST,0,0
2020-05-01,02,LG4,Others(HKUST),1,4
2020-05-01,02,LG4,RPG,0,0
2020-05-01,02,LG4,Staff,0,0
2020-05-01,02,LG4,TPG,0,0
2020-05-01,02,LG4,Total,1,4
2020-05-01,02,LG4,UG,0,0
2020-05-01,03,1,Alumni,0,0
2020-05-01,03,1,Non-HKUST,0,0
2020-05-01,03,1,Others(HKUST),1,2
2020-05-01,03,1,RPG,0,0
2020-05-01,03,1,Staff,3,6
2020-05-01,03,1,TPG,0,0
2020-05-01,03,1,Total,4,8
2020-05-01,03,1,UG,0,0
2020-05-01,03,All-Floors,Alumni,0,0
2020-05-01,03,All-Floors,Non-HKUST,0,0
2020-05-01,03,All-Floors,Others(HKUST),2,18
2020-05-01,03,All-Floors,RPG,0,0
2020-05-01,03,All-Floors,Staff,4,8
2020-05-01,03,All-Floors,TPG,0,0
2020-05-01,03,All-Floors,Total,7,29
2020-05-01,03,All-Floors,UG,1,3
2020-05-01,03,G,Alumni,0,0
2020-05-01,03,G,Non-HKUST,0,0
2020-05-01,03,G,Others(HKUST),1,2
2020-05-01,03,G,RPG,0,0
2020-05-01,03,G,Staff,1,2
2020-05-01,03,G,TPG,0,0
2020-05-01,03,G,Total,2,4
2020-05-01,03,G,UG,0,0
2020-05-01,03,LG1,Alumni,0,0
2020-05-01,03,LG1,Non-HKUST,0,0
2020-05-01,03,LG1,Others(HKUST),1,10
2020-05-01,03,LG1,RPG,0,0
2020-05-01,03,LG1,Staff,0,0
2020-05-01,03,LG1,TPG,0,0
2020-05-01,03,LG1,Total,1,10
2020-05-01,03,LG1,UG,0,0
2020-05-01,03,LG3,Alumni,0,0
2020-05-01,03,LG3,Non-HKUST,0,0
2020-05-01,03,LG3,Others(HKUST),0,0
2020-05-01,03,LG3,RPG,0,0
2020-05-01,03,LG3,Staff,0,0
2020-05-01,03,LG3,TPG,0,0
2020-05-01,03,LG3,Total,0,0
2020-05-01,03,LG3,UG,0,0
2020-05-01,03,LG4,Alumni,0,0
2020-05-01,03,LG4,Non-HKUST,0,0
2020-05-01,03,LG4,Others(HKUST),1,4
2020-05-01,03,LG4,RPG,0,0
2020-05-01,03,LG4,Staff,0,0
2020-05-01,03,LG4,TPG,0,0
2020-05-01,03,LG4,Total,2,7
2020-05-01,03,LG4,UG,1,3
2020-05-01,04,1,Alumni,0,0
2020-05-01,04,1,Non-HKUST,0,0
2020-05-01,04,1,Others(HKUST),1,2
2020-05-01,04,1,RPG,0,0
2020-05-01,04,1,Staff,3,6
2020-05-01,04,1,TPG,0,0
2020-05-01,04,1,Total,4,8
2020-05-01,04,1,UG,0,0
2020-05-01,04,All-Floors,Alumni,0,0
2020-05-01,04,All-Floors,Non-HKUST,0,0
2020-05-01,04,All-Floors,Others(HKUST),2,18
2020-05-01,04,All-Floors,RPG,0,0
2020-05-01,04,All-Floors,Staff,4,8
2020-05-01,04,All-Floors,TPG,0,0
2020-05-01,04,All-Floors,Total,6,26
2020-05-01,04,All-Floors,UG,0,0
2020-05-01,04,G,Alumni,0,0
2020-05-01,04,G,Non-HKUST,0,0
2020-05-01,04,G,Others(HKUST),1,2
2020-05-01,04,G,RPG,0,0
2020-05-01,04,G,Staff,1,2
2020-05-01,04,G,TPG,0,0
2020-05-01,04,G,Total,2,4
2020-05-01,04,G,UG,0,0
2020-05-01,04,LG1,Alumni,0,0
2020-05-01,04,LG1,Non-HKUST,0,0
2020-05-01,04,LG1,Others(HKUST),1,10
2020-05-01,04,LG1,RPG,0,0
2020-05-01,04,LG1,Staff,0,0
2020-05-01,04,LG1,TPG,0,0
2020-05-01,04,LG1,Total,1,10
2020-05-01,04,LG1,UG,0,0
2020-05-01,04,LG3,Alumni,0,0
2020-05-01,04,LG3,Non-HKUST,0,0
2020-05-01,04,LG3,Others(HKUST),0,0
2020-05-01,04,LG3,RPG,0,0
2020-05-01,04,LG3,Staff,0,0
2020-05-01,04,LG3,TPG,0,0
2020-05-01,04,LG3,Total,0,0
2020-05-01,04,LG3,UG,0,0
2020-05-01,04,LG4,Alumni,0,0
2020-05-01,04,LG4,Non-HKUST,0,0
2020-05-01,04,LG4,Others(HKUST),1,4
2020-05-01,04,LG4,RPG,0,0
2020-05-01,04,LG4,Staff,0,0
2020-05-01,04,LG4,TPG,0,0
2020-05-01,04,LG4,Total,1,4
2020-05-01,04,LG4,UG,0,0
2020-05-01,05,1,Alumni,0,0
2020-05-01,05,1,Non-HKUST,0,0
2020-05-01,05,1,Others(HKUST),1,2
2020-05-01,05,1,RPG,0,0
2020-05-01,05,1,Staff,3,6
2020-05-01,05,1,TPG,0,0
2020-05-01,05,1,Total,4,8
2020-05-01,05,1,UG,0,0
2020-05-01,05,All-Floors,Alumni,0,0
2020-05-01,05,All-Floors,Non-HKUST,0,0
2020-05-01,05,All-Floors,Others(HKUST),2,18
2020-05-01,05,All-Floors,RPG,0,0
2020-05-01,05,All-Floors,Staff,4,8
2020-05-01,05,All-Floors,TPG,0,0
2020-05-01,05,All-Floors,Total,6,26
2020-05-01,05,All-Floors,UG,0,0
2020-05-01,05,G,Alumni,0,0
2020-05-01,05,G,Non-HKUST,0,0
2020-05-01,05,G,Others(HKUST),1,2
2020-05-01,05,G,RPG,0,0
2020-05-01,05,G,Staff,1,2
2020-05-01,05,G,TPG,0,0
2020-05-01,05,G,Total,2,4
2020-05-01,05,G,UG,0,0
2020-05-01,05,LG1,Alumni,0,0
2020-05-01,05,LG1,Non-HKUST,0,0
2020-05-01,05,LG1,Others(HKUST),1,10
2020-05-01,05,LG1,RPG,0,0
2020-05-01,05,LG1,Staff,0,0
2020-05-01,05,LG1,TPG,0,0
2020-05-01,05,LG1,Total,1,10
2020-05-01,05,LG1,UG,0,0
2020-05-01,05,LG3,Alumni,0,0
2020-05-01,05,LG3,Non-HKUST,0,0
2020-05-01,05,LG3,Others(HKUST),0,0
2020-05-01,05,LG3,RPG,0,0
2020-05-01,05,LG3,Staff,0,0
2020-05-01,05,LG3,TPG,0,0
2020-05-01,05,LG3,Total,0,0
2020-05-01,05,LG3,UG,0,0
2020-05-01,05,LG4,Alumni,0,0
2020-05-01,05,LG4,Non-HKUST,0,0
2020-05-01,05,LG4,Others(HKUST),1,4
2020-05-01,05,LG4,RPG,0,0
2020-05-01,05,LG4,Staff,0,0
2020-05-01,05,LG4,TPG,0,0
2020-05-01,05,LG4,Total,1,4
2020-05-01,05,LG4,UG,0,0
2020-05-01,06,1,Alumni,0,0
2020-05-01,06,1,Non-HKUST,0,0
2020-05-01,06,1,Others(HKUST),1,2
2020-05-01,06,1,RPG,0,0
2020-05-01,06,1,Staff,3,5
2020-05-01,06,1,TPG,0,0
2020-05-01,06,1,Total,4,7
2020-05-01,06,1,UG,0,0
2020-05-01,06,All-Floors,Alumni,0,0
2020-05-01,06,All-Floors,Non-HKUST,0,0
2020-05-01,06,All-Floors,Others(HKUST),2,18
2020-05-01,06,All-Floors,RPG,0,0
2020-05-01,06,All-Floors,Staff,4,7
2020-05-01,06,All-Floors,TPG,0,0
2020-05-01,06,All-Floors,Total,6,25
2020-05-01,06,All-Floors,UG,0,0
2020-05-01,06,G,Alumni,0,0
2020-05-01,06,G,Non-HKUST,0,0
2020-05-01,06,G,Others(HKUST),1,2
2020-05-01,06,G,RPG,0,0
2020-05-01,06,G,Staff,1,2
2020-05-01,06,G,TPG,0,0
2020-05-01,06,G,Total,2,4
2020-05-01,06,G,UG,0,0
2020-05-01,06,LG1,Alumni,0,0
2020-05-01,06,LG1,Non-HKUST,0,0
2020-05-01,06,LG1,Others(HKUST),1,10
2020-05-01,06,LG1,RPG,0,0
2020-05-01,06,LG1,Staff,0,0
2020-05-01,06,LG1,TPG,0,0
2020-05-01,06,LG1,Total,1,10
2020-05-01,06,LG1,UG,0,0
2020-05-01,06,LG3,Alumni,0,0
2020-05-01,06,LG3,Non-HKUST,0,0
2020-05-01,06,LG3,Others(HKUST),0,0
2020-05-01,06,LG3,RPG,0,0
2020-05-01,06,LG3,Staff,0,0
2020-05-01,06,LG3,TPG,0,0
2020-05-01,06,LG3,Total,0,0
2020-05-01,06,LG3,UG,0,0
2020-05-01,06,LG4,Alumni,0,0
2020-05-01,06,LG4,Non-HKUST,0,0
2020-05-01,06,LG4,Others(HKUST),1,4
2020-05-01,06,LG4,RPG,0,0
2020-05-01,06,LG4,Staff,0,0
2020-05-01,06,LG4,TPG,0,0
2020-05-01,06,LG4,Total,1,4
2020-05-01,06,LG4,UG,0,0
2020-05-01,07,1,Alumni,0,0
2020-05-01,07,1,Non-HKUST,0,0
2020-05-01,07,1,Others(HKUST),1,3
2020-05-01,07,1,RPG,0,0
2020-05-01,07,1,Staff,3,5
2020-05-01,07,1,TPG,0,0
2020-05-01,07,1,Total,4,8
2020-05-01,07,1,UG,0,0
2020-05-01,07,All-Floors,Alumni,0,0
2020-05-01,07,All-Floors,Non-HKUST,0,0
2020-05-01,07,All-Floors,Others(HKUST),2,19
2020-05-01,07,All-Floors,RPG,0,0
2020-05-01,07,All-Floors,Staff,6,9
2020-05-01,07,All-Floors,TPG,0,0
2020-05-01,07,All-Floors,Total,9,29
2020-05-01,07,All-Floors,UG,1,1
2020-05-01,07,G,Alumni,0,0
2020-05-01,07,G,Non-HKUST,0,0
2020-05-01,07,G,Others(HKUST),1,2
2020-05-01,07,G,RPG,0,0
2020-05-01,07,G,Staff,1,2
2020-05-01,07,G,TPG,0,0
2020-05-01,07,G,Total,2,4
2020-05-01,07,G,UG,0,0
2020-05-01,07,LG1,Alumni,0,0
2020-05-01,07,LG1,Non-HKUST,0,0
2020-05-01,07,LG1,Others(HKUST),1,10
2020-05-01,07,LG1,RPG,0,0
2020-05-01,07,LG1,Staff,0,0
2020-05-01,07,LG1,TPG,0,0
2020-05-01,07,LG1,Total,1,10
2020-05-01,07,LG1,UG,0,0
2020-05-01,07,LG3,Alumni,0,0
2020-05-01,07,LG3,Non-HKUST,0,0
2020-05-01,07,LG3,Others(HKUST),0,0
2020-05-01,07,LG3,RPG,0,0
2020-05-01,07,LG3,Staff,0,0
2020-05-01,07,LG3,TPG,0,0
2020-05-01,07,LG3,Total,1,1
2020-05-01,07,LG3,UG,1,1
2020-05-01,07,LG4,Alumni,0,0
2020-05-01,07,LG4,Non-HKUST,0,0
2020-05-01,07,LG4,Others(HKUST),1,4
2020-05-01,07,LG4,RPG,0,0
2020-05-01,07,LG4,Staff,2,2
2020-05-01,07,LG4,TPG,0,0
2020-05-01,07,LG4,Total,3,6
2020-05-01,07,LG4,UG,0,0
2020-05-01,08,1,Alumni,0,0
2020-05-01,08,1,Non-HKUST,0,0
2020-05-01,08,1,Others(HKUST),1,6
2020-05-01,08,1,RPG,0,0
2020-05-01,08,1,Staff,3,6
2020-05-01,08,1,TPG,0,0
2020-05-01,08,1,Total,5,13
2020-05-01,08,1,UG,1,1
2020-05-01,08,All-Floors,Alumni,0,0
2020-05-01,08,All-Floors,Non-HKUST,0,0
2020-05-01,08,All-Floors,Others(HKUST),2,22
2020-05-01,08,All-Floors,RPG,1,1
2020-05-01,08,All-Floors,Staff,4,8
2020-05-01,08,All-Floors,TPG,0,0
2020-05-01,08,All-Floors,Total,8,32
2020-05-01,08,All-Floors,UG,1,1
2020-05-01,08,G,Alumni,0,0
2020-05-01,08,G,Non-HKUST,0,0
2020-05-01,08,G,Others(HKUST),1,2
2020-05-01,08,G,RPG,0,0
2020-05-01,08,G,Staff,1,2
2020-05-01,08,G,TPG,0,0
2020-05-01,08,G,Total,2,4
2020-05-01,08,G,UG,0,0
2020-05-01,08,LG1,Alumni,0,0
2020-05-01,08,LG1,Non-HKUST,0,0
2020-05-01,08,LG1,Others(HKUST),1,10
2020-05-01,08,LG1,RPG,0,0
2020-05-01,08,LG1,Staff,0,0
2020-05-01,08,LG1,TPG,0,0
2020-05-01,08,LG1,Total,1,10
2020-05-01,08,LG1,UG,0,0
2020-05-01,08,LG3,Alumni,0,0
2020-05-01,08,LG3,Non-HKUST,0,0
2020-05-01,08,LG3,Others(HKUST),0,0
2020-05-01,08,LG3,RPG,1,1
2020-05-01,08,LG3,Staff,0,0
2020-05-01,08,LG3,TPG,0,0
2020-05-01,08,LG3,Total,1,1
2020-05-01,08,LG3,UG,0,0
2020-05-01,08,LG4,Alumni,0,0
2020-05-01,08,LG4,Non-HKUST,0,0
2020-05-01,08,LG4,Others(HKUST),1,4
2020-05-01,08,LG4,RPG,0,0
2020-05-01,08,LG4,Staff,0,0
2020-05-01,08,LG4,TPG,0,0
2020-05-01,08,LG4,Total,1,4
2020-05-01,08,LG4,UG,0,0
2020-05-01,09,1,Alumni,0,0
2020-05-01,09,1,Non-HKUST,0,0
2020-05-01,09,1,Others(HKUST),1,2
2020-05-01,09,1,RPG,0,0
2020-05-01,09,1,Staff,4,8
2020-05-01,09,1,TPG,0,0
2020-05-01,09,1,Total,5,10
2020-05-01,09,1,UG,0,0
2020-05-01,09,All-Floors,Alumni,0,0
2020-05-01,09,All-Floors,Non-HKUST,0,0
2020-05-01,09,All-Floors,Others(HKUST),2,18
2020-05-01,09,All-Floors,RPG,1,1
2020-05-01,09,All-Floors,Staff,6,11
2020-05-01,09,All-Floors,TPG,0,0
2020-05-01,09,All-Floors,Total,13,35
2020-05-01,09,All-Floors,UG,4,5
2020-05-01,09,G,Alumni,0,0
2020-05-01,09,G,Non-HKUST,0,0
2020-05-01,09,G,Others(HKUST),1,2
2020-05-01,09,G,RPG,0,0
2020-05-01,09,G,Staff,1,2
2020-05-01,09,G,TPG,0,0
2020-05-01,09,G,Total,2,4
2020-05-01,09,G,UG,0,0
2020-05-01,09,LG1,Alumni,0,0
2020-05-01,09,LG1,Non-HKUST,0,0
2020-05-01,09,LG1,Others(HKUST),1,10
2020-05-01,09,LG1,RPG,0,0
2020-05-01,09,LG1,Staff,0,0
2020-05-01,09,LG1,TPG,0,0
2020-05-01,09,LG1,Total,1,10
2020-05-01,09,LG1,UG,0,0
2020-05-01,09,LG3,Alumni,0,0
2020-05-01,09,LG3,Non-HKUST,0,0
2020-05-01,09,LG3,Others(HKUST),0,0
2020-05-01,09,LG3,RPG,1,1
2020-05-01,09,LG3,Staff,1,1
2020-05-01,09,LG3,TPG,0,0
2020-05-01,09,LG3,Total,4,5
2020-05-01,09,LG3,UG,2,3
2020-05-01,09,LG4,Alumni,0,0
2020-05-01,09,LG4,Non-HKUST,0,0
2020-05-01,09,LG4,Others(HKUST),1,4
2020-05-01,09,LG4,RPG,0,0
2020-05-01,09,LG4,Staff,0,0
2020-05-01,09,LG4,TPG,0,0
2020-05-01,09,LG4,Total,3,6
2020-05-01,09,LG4,UG,2,2
2020-05-01,10,1,Alumni,0,0
2020-05-01,10,1,Non-HKUST,0,0
2020-05-01,10,1,Others(HKUST),1,2
2020-05-01,10,1,RPG,0,0
2020-05-01,10,1,Staff,3,11
2020-05-01,10,1,TPG,0,0
2020-05-01,10,1,Total,4,13
2020-05-01,10,1,UG,0,0
2020-05-01,10,All-Floors,Alumni,0,0
2020-05-01,10,All-Floors,Non-HKUST,0,0
2020-05-01,10,All-Floors,Others(HKUST),2,18
2020-05-01,10,All-Floors,RPG,0,0
2020-05-01,10,All-Floors,Staff,5,14
2020-05-01,10,All-Floors,TPG,0,0
2020-05-01,10,All-Floors,Total,12,41
2020-05-01,10,All-Floors,UG,5,9
2020-05-01,10,G,Alumni,0,0
2020-05-01,10,G,Non-HKUST,0,0
2020-05-01,10,G,Others(HKUST),1,2
2020-05-01,10,G,RPG,0,0
2020-05-01,10,G,Staff,1,2
2020-05-01,10,G,TPG,0,0
2020-05-01,10,G,Total,2,4
2020-05-01,10,G,UG,0,0
2020-05-01,10,LG1,Alumni,0,0
2020-05-01,10,LG1,Non-HKUST,0,0
2020-05-01,10,LG1,Others(HKUST),1,10
2020-05-01,10,LG1,RPG,0,0
2020-05-01,10,LG1,Staff,0,0
2020-05-01,10,LG1,TPG,0,0
2020-05-01,10,LG1,Total,1,10
2020-05-01,10,LG1,UG,0,0
2020-05-01,10,LG3,Alumni,0,0
2020-05-01,10,LG3,Non-HKUST,0,0
2020-05-01,10,LG3,Others(HKUST),0,0
2020-05-01,10,LG3,RPG,0,0
2020-05-01,10,LG3,Staff,1,1
2020-05-01,10,LG3,TPG,0,0
2020-05-01,10,LG3,Total,4,8
2020-05-01,10,LG3,UG,3,7
2020-05-01,10,LG4,Alumni,0,0
2020-05-01,10,LG4,Non-HKUST,0,0
2020-05-01,10,LG4,Others(HKUST),1,4
2020-05-01,10,LG4,RPG,0,0
2020-05-01,10,LG4,Staff,0,0
2020-05-01,10,LG4,TPG,0,0
2020-05-01,10,LG4,Total,3,6
2020-05-01,10,LG4,UG,2,2
2020-05-01,11,1,Alumni,0,0
2020-05-01,11,1,Non-HKUST,0,0
2020-05-01,11,1,Others(HKUST),1,2
2020-05-01,11,1,RPG,0,0
2020-05-01,11,1,Staff,3,14
2020-05-01,11,1,TPG,0,0
2020-05-01,11,1,Total,4,16
2020-05-01,11,1,UG,0,0
2020-05-01,11,All-Floors,Alumni,0,0
2020-05-01,11,All-Floors,Non-HKUST,0,0
2020-05-01,11,All-Floors,Others(HKUST),3,19
2020-05-01,11,All-Floors,RPG,1,1
2020-05-01,11,All-Floors,Staff,5,17
2020-05-01,11,All-Floors,TPG,1,2
2020-05-01,11,All-Floors,Total,15,60
2020-05-01,11,All-Floors,UG,5,21
2020-05-01,11,G,Alumni,0,0
2020-05-01,11,G,Non-HKUST,0,0
2020-05-01,11,G,Others(HKUST),1,2
2020-05-01,11,G,RPG,0,0
2020-05-01,11,G,Staff,1,2
2020-05-01,11,G,TPG,0,0
2020-05-01,11,G,Total,2,4
2020-05-01,11,G,UG,0,0
2020-05-01,11,LG1,Alumni,0,0
2020-05-01,11,LG1,Non-HKUST,0,0
2020-05-01,11,LG1,Others(HKUST),1,10
2020-05-01,11,LG1,RPG,0,0
2020-05-01,11,LG1,Staff,0,0
2020-05-01,11,LG1,TPG,0,0
2020-05-01,11,LG1,Total,1,10
2020-05-01,11,LG1,UG,0,0
2020-05-01,11,LG3,Alumni,0,0
2020-05-01,11,LG3,Non-HKUST,0,0
2020-05-01,11,LG3,Others(HKUST),1,1
2020-05-01,11,LG3,RPG,1,1
2020-05-01,11,LG3,Staff,0,0
2020-05-01,11,LG3,TPG,1,2
2020-05-01,11,LG3,Total,7,17
2020-05-01,11,LG3,UG,4,13
2020-05-01,11,LG4,Alumni,0,0
2020-05-01,11,LG4,Non-HKUST,0,0
2020-05-01,11,LG4,Others(HKUST),1,4
2020-05-01,11,LG4,RPG,0,0
2020-05-01,11,LG4,Staff,1,1
2020-05-01,11,LG4,TPG,0,0
2020-05-01,11,LG4,Total,5,13
2020-05-01,11,LG4,UG,3,8
2020-05-01,12,1,Alumni,0,0
2020-05-01,12,1,Non-HKUST,0,0
2020-05-01,12,1,Others(HKUST),1,2
2020-05-01,12,1,RPG,0,0
2020-05-01,12,1,Staff,4,10
2020-05-01,12,1,TPG,0,0
2020-05-01,12,1,Total,5,12
2020-05-01,12,1,UG,0,0
2020-05-01,12,All-Floors,Alumni,0,0
2020-05-01,12,All-Floors,Non-HKUST,1,1
2020-05-01,12,All-Floors,Others(HKUST),2,18
2020-05-01,12,All-Floors,RPG,10,11
2020-05-01,12,All-Floors,Staff,6,22
2020-05-01,12,All-Floors,TPG,4,16
2020-05-01,12,All-Floors,Total,31,83
2020-05-01,12,All-Floors,UG,8,15
2020-05-01,12,G,Alumni,0,0
2020-05-01,12,G,Non-HKUST,0,0
2020-05-01,12,G,Others(HKUST),1,2
2020-05-01,12,G,RPG,0,0
2020-05-01,12,G,Staff,1,2
2020-05-01,12,G,TPG,0,0
2020-05-01,12,G,Total,2,4
2020-05-01,12,G,UG,0,0
2020-05-01,12,LG1,Alumni,0,0
2020-05-01,12,LG1,Non-HKUST,0,0
2020-05-01,12,LG1,Others(HKUST),1,10
2020-05-01,12,LG1,RPG,0,0
2020-05-01,12,LG1,Staff,1,4
2020-05-01,12,LG1,TPG,0,0
2020-05-01,12,LG1,Total,2,14
2020-05-01,12,LG1,UG,0,0
2020-05-01,12,LG3,Alumni,0,0
2020-05-01,12,LG3,Non-HKUST,0,0
2020-05-01,12,LG3,Others(HKUST),0,0
2020-05-01,12,LG3,RPG,9,9
2020-05-01,12,LG3,Staff,2,6
2020-05-01,12,LG3,TPG,3,15
2020-05-01,12,LG3,Total,19,37
2020-05-01,12,LG3,UG,5,7
2020-05-01,12,LG4,Alumni,0,0
2020-05-01,12,LG4,Non-HKUST,1,1
2020-05-01,12,LG4,Others(HKUST),1,4
2020-05-01,12,LG4,RPG,2,2
2020-05-01,12,LG4,Staff,0,0
2020-05-01,12,LG4,TPG,1,1
2020-05-01,12,LG4,Total,10,16
2020-05-01,12,LG4,UG,5,8
2020-05-01,13,1,Alumni,0,0
2020-05-01,13,1,Non-HKUST,0,0
2020-05-01,13,1,Others(HKUST),1,2
2020-05-01,13,1,RPG,0,0
2020-05-01,13,1,Staff,3,6
2020-05-01,13,1,TPG,0,0
2020-05-01,13,1,Total,4,8
2020-05-01,13,1,UG,0,0
2020-05-01,13,All-Floors,Alumni,0,0
2020-05-01,13,All-Floors,Non-HKUST,0,0
2020-05-01,13,All-Floors,Others(HKUST),2,18
2020-05-01,13,All-Floors,RPG,10,10
2020-05-01,13,All-Floors,Staff,7,14
2020-05-01,13,All-Floors,TPG,5,30
2020-05-01,13,All-Floors,Total,34,87
2020-05-01,13,All-Floors,UG,10,15
2020-05-01,13,G,Alumni,0,0
2020-05-01,13,G,Non-HKUST,0,0
2020-05-01,13,G,Others(HKUST),1,2
2020-05-01,13,G,RPG,0,0
2020-05-01,13,G,Staff,1,2
2020-05-01,13,G,TPG,0,0
2020-05-01,13,G,Total,2,4
