Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2016-08-01,1,Staff,153,810,1066729,10554694543,2109530465,12664225008
2016-08-01,1,TPG,14,138,171381,8386672173,596246595,8982918768
2016-08-01,1,RPG,172,517,357183,13582906820,1076147063,14659053883
2016-08-01,1,UG,73,422,759398,34964213844,6484457874,41448671718
2016-08-01,1,Alumni,2,9,15312,332955206,51123534,384078740
2016-08-01,1,Others(HKUST),18,61,47951,2352773662,106614854,2459388516
2016-08-01,1,Non-HKUST,6,24,28381,313886280,286283629,600169909
2016-08-01,1,Total,438,1981,2446335,70488102528,10710404014,81198506542
2016-08-01,G,Staff,130,865,802122,25956327957,2422349495,28378677452
2016-08-01,G,TPG,74,357,339920,22691164639,3940858941,26632023580
2016-08-01,G,RPG,118,569,551691,37200463109,2848308068,40048771177
2016-08-01,G,UG,201,1011,929469,56507789943,8382741016,64890530959
2016-08-01,G,Alumni,5,12,4924,3127102,10201866,13328968
2016-08-01,G,Others(HKUST),23,223,210638,5464898915,555112844,6020011759
2016-08-01,G,Non-HKUST,18,66,47792,5139731525,185149543,5324881068
2016-08-01,G,Total,569,3103,2886556,152963503190,18344721773,171308224963
2016-08-01,LG1,Staff,104,549,436796,16906238156,1784622339,18690860495
2016-08-01,LG1,TPG,64,906,764351,94016400977,9505014729,103521415706
2016-08-01,LG1,RPG,97,802,802286,32723871221,2988413192,35712284413
2016-08-01,LG1,UG,286,2794,3194752,196211477410,16408864900,212620342310
2016-08-01,LG1,Alumni,7,113,82297,1245940401,180422649,1426363050
2016-08-01,LG1,Others(HKUST),18,232,647713,5304170188,838887463,6143057651
2016-08-01,LG1,Non-HKUST,16,134,97416,10480174143,1041320043,11521494186
2016-08-01,LG1,Total,592,5530,6025611,356888272496,32747545315,389635817811
2016-08-01,LG3,Staff,95,325,240362,6292193630,797579951,7089773581
2016-08-01,LG3,TPG,35,186,166671,17781690912,1701738577,19483429489
2016-08-01,LG3,RPG,84,380,458037,37596781162,4437795530,42034576692
2016-08-01,LG3,UG,231,678,462055,23135952480,2231329628,25367282108
2016-08-01,LG3,Alumni,7,38,16983,72893740,27956554,100850294
2016-08-01,LG3,Others(HKUST),17,48,48565,14995888115,1274753652,16270641767
2016-08-01,LG3,Non-HKUST,7,9,1227,10678577,16029785,26708362
2016-08-01,LG3,Total,476,1664,1393900,99886078616,10487183677,110373262293
2016-08-01,LG4,Staff,205,563,280318,5238631130,670541104,5909172234
2016-08-01,LG4,TPG,70,309,443663,68557607173,3809842461,72367449634
2016-08-01,LG4,RPG,223,598,559814,19876064574,1280598317,21156662891
2016-08-01,LG4,UG,371,1042,876393,58743825237,6230650989,64974476226
2016-08-01,LG4,Alumni,6,24,9054,56893731,32941895,89835626
2016-08-01,LG4,Others(HKUST),52,287,338206,51022893742,5493707347,56516601089
2016-08-01,LG4,Non-HKUST,26,66,87251,13698004735,626498822,14324503557
2016-08-01,LG4,Total,953,2889,2594699,217193920322,18144780935,235338701257
2016-08-01,All-Floors,Staff,459,3112,2826327,64948085416,7784623354,72732708770
2016-08-01,All-Floors,TPG,133,1896,1885986,211433535874,19553701303,230987237177
2016-08-01,All-Floors,RPG,473,2866,2729011,140980086886,12631262170,153611349056
2016-08-01,All-Floors,UG,704,5947,6222067,369563258914,39738044407,409301303321
2016-08-01,All-Floors,Alumni,12,196,128570,1711810180,302646498,2014456678
2016-08-01,All-Floors,Others(HKUST),84,851,1293073,79140624622,8269076160,87409700782
2016-08-01,All-Floors,Non-HKUST,49,299,262067,29642475260,2155281822,31797757082
2016-08-01,All-Floors,Total,1914,15167,15347101,897419877152,90434635714,987854512866
2016-08-02,1,Staff,117,424,617837,5417923153,769750201,6187673354
2016-08-02,1,TPG,13,41,51459,1144768163,115464592,1260232755
2016-08-02,1,RPG,111,275,222937,12052081046,797776452,12849857498
2016-08-02,1,UG,38,167,248980,7945698462,565545676,8511244138
2016-08-02,1,Alumni,5,11,30956,5300971121,210487033,5511458154
2016-08-02,1,Others(HKUST),10,46,89682,2229341945,117408535,2346750480
2016-08-02,1,Non-HKUST,3,5,13292,3931139569,140123860,4071263429
2016-08-02,1,Total,297,969,1275143,38021923459,2716556349,40738479808
2016-08-02,G,Staff,80,435,514725,7245807086,619659952,7865467038
