Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2015-11-01,1,Staff,14,142,175880,4400921765,1127079557,5528001322
2015-11-01,1,TPG,104,1647,2591747,118946986780,18112300347,137059287127
2015-11-01,1,RPG,38,249,418023,20830328175,4286031445,25116359620
2015-11-01,1,UG,138,1671,2287786,83836019051,9528375277,93364394328
2015-11-01,1,Alumni,2,26,37383,19501661119,653607898,20155269017
2015-11-01,1,Others(HKUST),1,7,21034,118685281,25587344,144272625
2015-11-01,1,Non-HKUST,12,94,133213,8671599271,1925494681,10597093952
2015-11-01,1,Total,309,3836,5665066,256306201442,35658476549,291964677991
2015-11-01,G,Staff,54,268,276234,73677511308,2843036557,76520547865
2015-11-01,G,TPG,416,2649,1983126,116171003722,15192321238,131363324960
2015-11-01,G,RPG,145,813,537208,26184547947,2348691834,28533239781
2015-11-01,G,UG,589,2561,1934993,144195897739,16818906526,161014804265
2015-11-01,G,Alumni,16,54,22088,207445808,40990756,248436564
2015-11-01,G,Others(HKUST),8,49,148443,6761575104,660838340,7422413444
2015-11-01,G,Non-HKUST,33,129,102629,5189735718,845818469,6035554187
2015-11-01,G,Total,1261,6523,5004721,372387717346,38750603720,411138321066
2015-11-01,LG1,Staff,33,204,234491,14276235854,1019158286,15295394140
2015-11-01,LG1,TPG,464,9621,8803984,506244177074,62549464316,568793641390
2015-11-01,LG1,RPG,146,1937,1608218,115782956027,10867922646,126650878673
2015-11-01,LG1,UG,954,16066,15292048,563951264352,68081706584,632032970936
2015-11-01,LG1,Alumni,23,231,152900,5458473374,1394749542,6853222916
2015-11-01,LG1,Others(HKUST),10,395,654701,7112825552,545461791,7658287343
2015-11-01,LG1,Non-HKUST,54,552,505003,31451277376,2916124214,34367401590
2015-11-01,LG1,Total,1684,29006,27251345,1244277209609,147374587379,1391651796988
2015-11-01,LG3,Staff,30,112,56749,870693550,78461512,949155062
2015-11-01,LG3,TPG,276,2887,3329000,196089231663,20092659451,216181891114
2015-11-01,LG3,RPG,96,766,783525,26922487639,4560744953,31483232592
2015-11-01,LG3,UG,457,2174,1635311,77914688128,8851284235,86765972363
2015-11-01,LG3,Alumni,17,83,123787,6056697609,1115395157,7172092766
2015-11-01,LG3,Others(HKUST),4,10,3210,27386733,1771097,29157830
2015-11-01,LG3,Non-HKUST,23,155,130947,4234053738,392038128,4626091866
2015-11-01,LG3,Total,903,6187,6062529,312115239060,35092354533,347207593593
2015-11-01,LG4,Staff,46,248,170297,7024051145,1071340912,8095392057
2015-11-01,LG4,TPG,269,4131,4591175,256255435854,30147225636,286402661490
2015-11-01,LG4,RPG,119,904,880872,31629265913,3148743227,34778009140
2015-11-01,LG4,UG,505,3055,3139767,140392523125,19508384977,159900908102
2015-11-01,LG4,Alumni,18,211,183739,1917601422,654532609,2572134031
2015-11-01,LG4,Others(HKUST),5,140,305421,16908179686,1190863559,18099043245
2015-11-01,LG4,Non-HKUST,31,353,225792,4679120293,292897247,4972017540
2015-11-01,LG4,Total,993,9042,9497063,458806177438,56013988167,514820165605
2015-11-01,All-Floors,Staff,99,974,913651,100249413622,6139076824,106388490446
2015-11-01,All-Floors,TPG,579,20935,21299032,1193706835093,146093970988,1339800806081
2015-11-01,All-Floors,RPG,288,4669,4227846,221349585701,25212134105,246561719806
2015-11-01,All-Floors,UG,1378,25527,24289905,1010290392395,122788657599,1133079049994
2015-11-01,All-Floors,Alumni,37,605,519897,33141879332,3859275962,37001155294
2015-11-01,All-Floors,Others(HKUST),13,601,1132809,30928652356,2424522131,33353174487
2015-11-01,All-Floors,Non-HKUST,77,1283,1097584,54225786396,6372372739,60598159135
2015-11-01,All-Floors,Total,2471,54594,53480724,2643892544895,312890010348,2956782555243
2015-11-02,1,Staff,74,1199,1023055,9489036094,2944006215,12433042309
2015-11-02,1,TPG,150,3340,2763781,139973363403,26846677007,166820040410
2015-11-02,1,RPG,56,756,576338,90789890854,9723573862,100513464716
2015-11-02,1,UG,654,9003,6544561,450227938032,50214976143,500442914175
2015-11-02,1,Alumni,8,168,110928,11308527561,686931733,11995459294
2015-11-02,1,Others(HKUST),6,62,53300,1091246886,3365790003,4457036889
2015-11-02,1,Non-HKUST,12,108,105033,5484066415,365877066,5849943481
2015-11-02,1,Total,960,14636,11176996,708364069245,94147832029,802511901274
2015-11-02,G,Staff,156,1308,753994,10441670281,1858915491,12300585772
2015-11-02,G,TPG,625,5171,2265914,149645210379,28004656465,177649866844
2015-11-02,G,RPG,212,1465,773240,92855704658,5612987256,98468691914
2015-11-02,G,UG,2496,17398,6364206,374909035966,37878330629,412787366595
2015-11-02,G,Alumni,17,106,45911,2335574650,156390652,2491965302
2015-11-02,G,Others(HKUST),11,118,136132,13355611834,1741880832,15097492666
2015-11-02,G,Non-HKUST,32,141,54654,1219167829,148431478,1367599307
2015-11-02,G,Total,3549,25707,10394051,644761975597,75401592803,720163568400
2015-11-02,LG1,Staff,87,703,405823,10274373311,6614263984,16888637295
2015-11-02,LG1,TPG,650,12834,6938134,465951707384,80154057190,546105764574
2015-11-02,LG1,RPG,171,2154,1298239,62651545285,21291649963,83943195248
2015-11-02,LG1,UG,2648,39348,19991516,995454932084,110301764972,1105756697056
2015-11-02,LG1,Alumni,14,235,126474,7893964538,1050945954,8944910492
2015-11-02,LG1,Others(HKUST),13,476,611655,8904637420,1120739770,10025377190
2015-11-02,LG1,Non-HKUST,56,596,473549,35029009224,3733962696,38762971920
2015-11-02,LG1,Total,3639,56346,29845390,1586160169246,224267384529,1810427553775
2015-11-02,LG3,Staff,72,353,135038,5424323562,266493809,5690817371
2015-11-02,LG3,TPG,390,5165,3495413,378260165056,43394474531,421654639587
2015-11-02,LG3,RPG,107,1096,787290,53083813071,5482990741,58566803812
2015-11-02,LG3,UG,1321,10232,5475317,348250964506,44494879187,392745843693
2015-11-02,LG3,Alumni,11,190,88387,8820914244,691219942,9512134186
2015-11-02,LG3,Others(HKUST),6,58,17940,429597088,132021858,561618946
2015-11-02,LG3,Non-HKUST,26,117,98740,6199344587,612916068,6812260655
2015-11-02,LG3,Total,1933,17211,10098125,800469122114,95074996136,895544118250
2015-11-02,LG4,Staff,111,682,217091,8173394089,2622684244,10796078333
2015-11-02,LG4,TPG,467,10827,6694448,426412927221,72271257550,498684184771
2015-11-02,LG4,RPG,185,2026,1223893,46504728826,6003870358,52508599184
2015-11-02,LG4,UG,1866,20988,11228148,588579665446,64133572192,652713237638
2015-11-02,LG4,Alumni,12,185,137341,6742565907,495313175,7237879082
2015-11-02,LG4,Others(HKUST),10,352,377647,25701699315,3262893509,28964592824
2015-11-02,LG4,Non-HKUST,26,286,156033,7035888065,1564102236,8599990301
2015-11-02,LG4,Total,2677,35346,20034601,1109150868869,150353693264,1259504562133
2015-11-02,All-Floors,Staff,294,4245,2535001,43802797337,14306363743,58109161080
2015-11-02,All-Floors,TPG,871,37337,22157690,1560243373443,250671122743,1810914496186
