Date,Period,User-Group,User-Count,WiFi-Conn
2017-10-01,Midnight,Staff,8,32
2017-10-01,Midnight,TPG,27,136
2017-10-01,Midnight,RPG,11,68
2017-10-01,Midnight,UG,122,773
2017-10-01,Midnight,Alumni,4,13
2017-10-01,Midnight,Others(HKUST),5,95
2017-10-01,Midnight,Non-HKUST,4,9
2017-10-01,Midnight,Total,181,1126
2017-10-01,Early-Morning,Staff,9,15
2017-10-01,Early-Morning,TPG,12,22
2017-10-01,Early-Morning,RPG,6,28
2017-10-01,Early-Morning,UG,36,84
2017-10-01,Early-Morning,Alumni,3,3
2017-10-01,Early-Morning,Others(HKUST),4,68
2017-10-01,Early-Morning,Non-HKUST,3,5
2017-10-01,Early-Morning,Total,73,225
2017-10-01,Morning,Staff,31,97
2017-10-01,Morning,TPG,117,780
2017-10-01,Morning,RPG,32,91
2017-10-01,Morning,UG,208,1023
2017-10-01,Morning,Alumni,5,8
2017-10-01,Morning,Others(HKUST),4,36
2017-10-01,Morning,Non-HKUST,15,34
2017-10-01,Morning,Total,412,2069
2017-10-01,Afternoon,Staff,42,149
2017-10-01,Afternoon,TPG,221,2175
2017-10-01,Afternoon,RPG,77,232
2017-10-01,Afternoon,UG,513,3455
2017-10-01,Afternoon,Alumni,9,42
2017-10-01,Afternoon,Others(HKUST),5,29
2017-10-01,Afternoon,Non-HKUST,41,195
2017-10-01,Afternoon,Total,908,6277
2017-10-01,Late-Afternoon,Staff,31,83
2017-10-01,Late-Afternoon,TPG,202,1946
2017-10-01,Late-Afternoon,RPG,71,225
2017-10-01,Late-Afternoon,UG,543,3436
2017-10-01,Late-Afternoon,Alumni,7,48
2017-10-01,Late-Afternoon,Others(HKUST),3,31
2017-10-01,Late-Afternoon,Non-HKUST,31,148
2017-10-01,Late-Afternoon,Total,888,5917
2017-10-01,Evening,Staff,16,51
2017-10-01,Evening,TPG,103,664
2017-10-01,Evening,RPG,40,136
2017-10-01,Evening,UG,325,2136
2017-10-01,Evening,Alumni,3,14
2017-10-01,Evening,Others(HKUST),5,28
2017-10-01,Evening,Non-HKUST,6,15
2017-10-01,Evening,Total,498,3044
2017-10-01,All-Periods,Staff,75,396
2017-10-01,All-Periods,TPG,266,5524
2017-10-01,All-Periods,RPG,159,749
2017-10-01,All-Periods,UG,880,10580
2017-10-01,All-Periods,Alumni,13,112
2017-10-01,All-Periods,Others(HKUST),8,244
2017-10-01,All-Periods,Non-HKUST,57,392
2017-10-01,All-Periods,Total,1458,17997
2017-10-02,Midnight,Staff,7,14
2017-10-02,Midnight,TPG,19,70
2017-10-02,Midnight,RPG,10,46
2017-10-02,Midnight,UG,152,857
2017-10-02,Midnight,Alumni,3,15
2017-10-02,Midnight,Others(HKUST),3,97
2017-10-02,Midnight,Non-HKUST,5,14
2017-10-02,Midnight,Total,199,1113
2017-10-02,Early-Morning,Staff,8,14
2017-10-02,Early-Morning,TPG,14,20
2017-10-02,Early-Morning,RPG,9,21
2017-10-02,Early-Morning,UG,57,205
2017-10-02,Early-Morning,Alumni,2,2
2017-10-02,Early-Morning,Others(HKUST),3,113
2017-10-02,Early-Morning,Non-HKUST,4,6
2017-10-02,Early-Morning,Total,97,381
2017-10-02,Morning,Staff,37,124
2017-10-02,Morning,TPG,167,1069
2017-10-02,Morning,RPG,55,179
2017-10-02,Morning,UG,336,1810
2017-10-02,Morning,Alumni,10,66
2017-10-02,Morning,Others(HKUST),7,43
2017-10-02,Morning,Non-HKUST,23,105
2017-10-02,Morning,Total,635,3396
2017-10-02,Afternoon,Staff,58,437
2017-10-02,Afternoon,TPG,369,3614
2017-10-02,Afternoon,RPG,138,684
2017-10-02,Afternoon,UG,838,7463
2017-10-02,Afternoon,Alumni,34,241
2017-10-02,Afternoon,Others(HKUST),8,87
2017-10-02,Afternoon,Non-HKUST,56,318
2017-10-02,Afternoon,Total,1501,12844
2017-10-02,Late-Afternoon,Staff,61,405
2017-10-02,Late-Afternoon,TPG,401,3968
2017-10-02,Late-Afternoon,RPG,171,723
2017-10-02,Late-Afternoon,UG,1114,9383
2017-10-02,Late-Afternoon,Alumni,33,369
2017-10-02,Late-Afternoon,Others(HKUST),9,62
2017-10-02,Late-Afternoon,Non-HKUST,68,333
2017-10-02,Late-Afternoon,Total,1857,15243
2017-10-02,Evening,Staff,22,103
2017-10-02,Evening,TPG,262,1749
2017-10-02,Evening,RPG,55,273
2017-10-02,Evening,UG,785,6371
2017-10-02,Evening,Alumni,10,75
2017-10-02,Evening,Others(HKUST),8,51
2017-10-02,Evening,Non-HKUST,36,187
2017-10-02,Evening,Total,1178,8809
2017-10-02,All-Periods,Staff,110,1063
2017-10-02,All-Periods,TPG,469,10231
2017-10-02,All-Periods,RPG,284,1883
2017-10-02,All-Periods,UG,1530,25567
2017-10-02,All-Periods,Alumni,45,754
2017-10-02,All-Periods,Others(HKUST),15,407
2017-10-02,All-Periods,Non-HKUST,97,932
2017-10-02,All-Periods,Total,2550,40837
2017-10-03,Midnight,Staff,8,14
2017-10-03,Midnight,TPG,21,44
2017-10-03,Midnight,RPG,16,95
2017-10-03,Midnight,UG,297,2021
2017-10-03,Midnight,Alumni,2,2
2017-10-03,Midnight,Others(HKUST),6,114
2017-10-03,Midnight,Non-HKUST,10,19
2017-10-03,Midnight,Total,360,2309
2017-10-03,Early-Morning,Staff,17,40
2017-10-03,Early-Morning,TPG,13,28
2017-10-03,Early-Morning,RPG,6,15
2017-10-03,Early-Morning,UG,95,302
2017-10-03,Early-Morning,Alumni,3,3
2017-10-03,Early-Morning,Others(HKUST),5,120
2017-10-03,Early-Morning,Non-HKUST,3,5
