Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2020-11-01,1,Alumni,4,11,60309,17589693969,972584464,18562278433
2020-11-01,1,Non-HKUST,1,2,11166,681423601,1186656214,1868079815
2020-11-01,1,Others(HKUST),0,0,0,0,0,0
2020-11-01,1,RPG,2,4,13146,1124444444,312395089,1436839533
2020-11-01,1,Staff,8,51,430742,1803275013,128011507,1931286520
2020-11-01,1,TPG,17,97,538977,29377387201,10617559623,39994946824
2020-11-01,1,Total,44,240,1353918,63172163590,14649064893,77821228483
2020-11-01,1,UG,12,75,299578,12595939362,1431857996,14027797358
2020-11-01,All-Floors,Alumni,25,187,462832,79168863564,10651447253,89820310817
2020-11-01,All-Floors,Non-HKUST,8,30,96496,5500438639,3941554956,9441993595
2020-11-01,All-Floors,Others(HKUST),9,58,1854277,26554541786,3850262029,30404803815
2020-11-01,All-Floors,RPG,172,625,1154284,173177197826,30269806876,203447004702
2020-11-01,All-Floors,Staff,59,376,930406,34236764702,3077343937,37314108639
2020-11-01,All-Floors,TPG,92,840,2191104,218161673635,41777143204,259938816839
2020-11-01,All-Floors,Total,697,4593,11806856,1535785174987,172602156595,1708387331582
2020-11-01,All-Floors,UG,332,2477,5117457,998985694835,79034598340,1078020293175
2020-11-01,G,Alumni,15,38,69467,24933038795,1203891919,26136930714
2020-11-01,G,Non-HKUST,5,8,14395,2133366397,1528459585,3661825982
2020-11-01,G,Others(HKUST),3,16,728944,925124173,88782247,1013906420
2020-11-01,G,RPG,63,205,382320,68764212377,9738352238,78502564615
2020-11-01,G,Staff,24,155,328864,16490010288,1468023597,17958033885
2020-11-01,G,TPG,74,263,417415,63410052363,14356832893,77766885256
2020-11-01,G,Total,353,1280,2643503,316059540568,38733320522,354792861090
2020-11-01,G,UG,169,595,702098,139403736175,10348978043,149752714218
2020-11-01,LG1,Alumni,9,28,58327,6803266784,817063613,7620330397
2020-11-01,LG1,Non-HKUST,3,4,25931,550878360,287996464,838874824
2020-11-01,LG1,Others(HKUST),2,10,777591,7186657341,1379532566,8566189907
2020-11-01,LG1,RPG,32,167,444647,34208504204,4934551450,39143055654
2020-11-01,LG1,Staff,12,79,93420,8346871077,796444682,9143315759
2020-11-01,LG1,TPG,32,289,669112,55282188688,9985331949,65267520637
2020-11-01,LG1,Total,224,1538,4623200,378064471856,40525326330,418589798186
2020-11-01,LG1,UG,134,961,2554172,265686105402,22324405606,288010511008
2020-11-01,LG3,Alumni,11,81,173195,21987126187,7199396816,29186523003
2020-11-01,LG3,Non-HKUST,3,3,362,410800584,269280031,680080615
2020-11-01,LG3,Others(HKUST),5,22,2337,1159590662,103210513,1262801175
2020-11-01,LG3,RPG,90,155,230449,33047039724,2848416477,35895456201
2020-11-01,LG3,Staff,33,69,62801,5785514399,366518391,6152032790
2020-11-01,LG3,TPG,28,108,299714,47389625284,2866257556,50255882840
2020-11-01,LG3,Total,310,897,1414559,536984113471,47732800297,584716913768
2020-11-01,LG3,UG,140,459,645701,427204416631,34079720513,461284137144
2020-11-01,LG4,Alumni,10,29,101534,7855737829,458510441,8314248270
2020-11-01,LG4,Non-HKUST,5,13,44642,1723969697,669162662,2393132359
2020-11-01,LG4,Others(HKUST),5,10,345405,17283169610,2278736703,19561906313
2020-11-01,LG4,RPG,56,94,83722,36032997077,12436091622,48469088699
2020-11-01,LG4,Staff,11,22,14579,1811093925,318345760,2129439685
2020-11-01,LG4,TPG,20,83,265886,22702420099,3951161183,26653581282
2020-11-01,LG4,Total,220,638,1771676,241504885502,30961644553,272466530055
2020-11-01,LG4,UG,113,387,915908,154095497265,10849636182,164945133447
2020-11-02,1,Alumni,0,0,0,0,0,0
2020-11-02,1,Non-HKUST,5,13,66737,836768951,521535854,1358304805
2020-11-02,1,Others(HKUST),4,32,57857,7131606004,258393292,7389999296
2020-11-02,1,RPG,17,91,397003,40264955776,1855007254,42119963030
2020-11-02,1,Staff,53,473,1425524,41782274887,3186431204,44968706091
2020-11-02,1,TPG,28,215,901086,52137570634,7843365658,59980936292
2020-11-02,1,Total,171,1358,4369547,277442634380,32177187273,309619821653
2020-11-02,1,UG,64,534,1521340,135289458128,18512454011,153801912139
2020-11-02,All-Floors,Alumni,14,154,328730,54828797586,4336743765,59165541351
2020-11-02,All-Floors,Non-HKUST,27,192,332190,35019545794,7673867214,42693413008
2020-11-02,All-Floors,Others(HKUST),17,229,1854098,45579054581,4827808832,50406863413
2020-11-02,All-Floors,RPG,312,1402,2655644,456712940171,54387242743,511100182914
2020-11-02,All-Floors,Staff,296,1760,2871725,199619981263,28514087304,228134068567
2020-11-02,All-Floors,TPG,224,2455,6304773,741408658193,128147723788,869556381981
2020-11-02,All-Floors,Total,1697,15565,36381666,4650947814166,616974367797,5267922181963
2020-11-02,All-Floors,UG,807,9373,22034506,3117778836578,389086894151,3506865730729
2020-11-02,G,Alumni,9,42,65229,10596442230,1233768149,11830210379
2020-11-02,G,Non-HKUST,19,78,68056,13762602218,3271052989,17033655207
2020-11-02,G,Others(HKUST),11,86,691755,6693265354,500647530,7193912884
2020-11-02,G,RPG,123,466,702364,98352120309,15038601168,113390721477
2020-11-02,G,Staff,132,694,1028636,79705488946,15994105144,95699594090
2020-11-02,G,TPG,176,811,1113918,185212105307,36133722123,221345827430
2020-11-02,G,Total,1051,4525,6136161,1070761262706,150425291410,1221186554116
2020-11-02,G,UG,581,2348,2466203,676439238342,78253394307,754692632649
2020-11-02,LG1,Alumni,6,39,104217,8541426166,1458724226,10000150392
2020-11-02,LG1,Non-HKUST,13,52,79742,9249792553,440033343,9689825896
2020-11-02,LG1,Others(HKUST),9,27,836467,15460987431,2161248168,17622235599
2020-11-02,LG1,RPG,57,284,774139,70624742571,16684853270,87309595841
2020-11-02,LG1,Staff,42,167,217694,23241562417,2717250136,25958812553
2020-11-02,LG1,TPG,85,675,1794405,157172752685,35623184943,192795937628
2020-11-02,LG1,Total,631,5106,14593815,1383653809562,233716422530,1617370232092
2020-11-02,LG1,UG,419,3862,10787151,1099362545739,174631128444,1273993674183
2020-11-02,LG3,Alumni,5,51,93570,20882305614,508964774,21391270388
2020-11-02,LG3,Non-HKUST,6,11,36533,3160287775,483068627,3643356402
2020-11-02,LG3,Others(HKUST),5,61,3783,3032928522,314251452,3347179974
2020-11-02,LG3,RPG,171,338,434518,192274653423,11890207299,204164860722
2020-11-02,LG3,Staff,153,302,151831,40607294330,5427136031,46034430361
2020-11-02,LG3,TPG,92,445,1419742,218810175050,30077275382,248887450432
2020-11-02,LG3,Total,749,2523,4842436,1041366775539,109053385946,1150420161485
2020-11-02,LG3,UG,317,1315,2702459,562599130825,60352482381,622951613206
2020-11-02,LG4,Alumni,5,22,65714,14808623576,1135286616,15943910192
2020-11-02,LG4,Non-HKUST,10,38,81122,8010094297,2958176401,10968270698
2020-11-02,LG4,Others(HKUST),4,23,264236,13260267270,1593268390,14853535660
2020-11-02,LG4,RPG,94,223,347620,55196468092,8918573752,64115041844
2020-11-02,LG4,Staff,69,124,48040,14283360683,1189164789,15472525472
2020-11-02,LG4,TPG,53,309,1075622,128076054517,18470175682,146546230199
2020-11-02,LG4,Total,511,2053,6439707,877723331979,91602080638,969325412617
2020-11-02,LG4,UG,276,1314,4557353,644088463544,57337435008,701425898552
2020-11-03,1,Alumni,1,3,8092,233547506,4442890,237990396
2020-11-03,1,Non-HKUST,3,5,35985,392780319,50308133,443088452
2020-11-03,1,Others(HKUST),3,14,56951,75679964,10791581,86471545
2020-11-03,1,RPG,15,76,331023,8570979588,870424453,9441404041
2020-11-03,1,Staff,56,514,1324468,39144936721,3547662686,42692599407
2020-11-03,1,TPG,27,166,617650,43191619324,3147752315,46339371639
2020-11-03,1,Total,171,1248,3961888,187397640342,20270084694,207667725036
2020-11-03,1,UG,66,470,1587719,95788096920,12638702636,108426799556
2020-11-03,All-Floors,Alumni,16,187,444812,53384270759,14688185131,68072455890
2020-11-03,All-Floors,Non-HKUST,33,171,345065,45272849640,3132823645,48405673285
2020-11-03,All-Floors,Others(HKUST),16,152,1751223,37232176464,4003506047,41235682511
2020-11-03,All-Floors,RPG,313,1607,2757581,742720993713,179714623151,922435616864
2020-11-03,All-Floors,Staff,278,2015,2953583,186773587056,24348486658,211122073714
2020-11-03,All-Floors,TPG,228,2451,5721405,1250175270838,127229831865,1377405102703
2020-11-03,All-Floors,Total,1809,16432,35726970,6355619803985,1070691485850,7426311289835
2020-11-03,All-Floors,UG,925,9849,21753301,4040060655515,717574029353,4757634684868
2020-11-03,G,Alumni,11,68,124374,12790968904,6915889655,19706858559
2020-11-03,G,Non-HKUST,19,80,146301,12606878905,1028598325,13635477230
2020-11-03,G,Others(HKUST),5,67,521120,1386331991,150034813,1536366804
2020-11-03,G,RPG,124,418,610197,87809038733,18317581294,106126620027
2020-11-03,G,Staff,143,824,1020418,77376355707,10639210081,88015565788
2020-11-03,G,TPG,186,788,990334,356469402305,32812447018,389281849323
2020-11-03,G,Total,1108,4368,5506261,1158613655989,231185657983,1389799313972
2020-11-03,G,UG,620,2123,2093517,610174679444,161321896797,771496576241
2020-11-03,LG1,Alumni,5,30,59178,6166574139,262750637,6429324776
2020-11-03,LG1,Non-HKUST,8,23,64245,6279617584,542168257,6821785841
2020-11-03,LG1,Others(HKUST),7,27,820903,15306630545,1632646276,16939276821
2020-11-03,LG1,RPG,59,444,900485,251898497645,57670764932,309569262577
2020-11-03,LG1,Staff,43,267,308227,36052653357,5930611131,41983264488
2020-11-03,LG1,TPG,90,778,1901770,474209289248,42542950956,516752240204
2020-11-03,LG1,Total,674,5588,14602351,2083296290809,369514668304,2452810959113
2020-11-03,LG1,UG,462,4019,10547543,1293383028291,260932776115,1554315804406
2020-11-03,LG3,Alumni,8,70,115377,24931633493,7191206745,32122840238
2020-11-03,LG3,Non-HKUST,12,33,48985,12228577293,742088491,12970665784
2020-11-03,LG3,Others(HKUST),7,17,0,1745685973,125614156,1871300129
2020-11-03,LG3,RPG,173,444,561750,282994811201,86299650892,369294462093
2020-11-03,LG3,Staff,123,275,252047,21401478754,2625207877,24026686631
2020-11-03,LG3,TPG,77,345,1033814,196800322079,27502676794,224302998873
2020-11-03,LG3,Total,797,2694,4774257,1566310169860,232671626238,1798981796098
2020-11-03,LG3,UG,397,1510,2762284,1026207661067,108185181283,1134392842350
2020-11-03,LG4,Alumni,7,16,137791,9261546717,313895204,9575441921
2020-11-03,LG4,Non-HKUST,7,30,49549,13764995539,769660439,14534655978
2020-11-03,LG4,Others(HKUST),3,27,352249,18717847991,2084419221,20802267212
2020-11-03,LG4,RPG,95,225,354126,111447666546,16556201580,128003868126
2020-11-03,LG4,Staff,64,135,48423,12798162517,1605794883,14403957400
2020-11-03,LG4,TPG,68,374,1177837,179504637882,21224004782,200728642664
2020-11-03,LG4,Total,569,2534,6882213,1360002046985,217049448631,1577051495616
2020-11-03,LG4,UG,325,1727,4762238,1014507189793,174495472522,1189002662315
2020-11-04,1,Alumni,1,3,10781,575212180,12178540,587390720
2020-11-04,1,Non-HKUST,4,18,52200,235813599,33710691,269524290
2020-11-04,1,Others(HKUST),5,35,53695,514177524,62829451,577006975
2020-11-04,1,RPG,20,110,305964,35536141441,2256504472,37792645913
2020-11-04,1,Staff,53,482,1291830,145249769320,5309309803,150559079123
2020-11-04,1,TPG,31,250,913486,47010148703,8706773789,55716922492
2020-11-04,1,Total,179,1372,4099948,338391073317,35597978167,373989051484
2020-11-04,1,UG,65,474,1471992,109269810550,19216671421,128486481971
2020-11-04,All-Floors,Alumni,19,252,399010,82560560126,8944045896,91504606022
2020-11-04,All-Floors,Non-HKUST,31,154,376421,31920136185,3253367939,35173504124
2020-11-04,All-Floors,Others(HKUST),27,240,1627288,35458900427,5123021248,40581921675
2020-11-04,All-Floors,RPG,312,1411,2668203,570324439614,66509361554,636833801168
2020-11-04,All-Floors,Staff,305,2000,2821349,312389047420,28110846706,340499894126
2020-11-04,All-Floors,TPG,224,2455,6343599,649011648706,88986640478,737998289184
2020-11-04,All-Floors,Total,1823,16434,35614850,5145299699032,739027537650,5884327236682
2020-11-04,All-Floors,UG,905,9922,21378980,3463634966554,538100253829,4001735220383
2020-11-04,G,Alumni,11,61,54909,5670121746,1000078653,6670200399
2020-11-04,G,Non-HKUST,18,41,67162,8147998205,589860386,8737858591
2020-11-04,G,Others(HKUST),7,90,313361,1515502876,136944273,1652447149
2020-11-04,G,RPG,133,484,736464,110965405898,15993635882,126959041780
2020-11-04,G,Staff,129,755,930281,66245641787,10490954951,76736596738
2020-11-04,G,TPG,180,779,1033727,155697044854,26496708539,182193753393
2020-11-04,G,Total,1086,4608,5685937,1047884386928,166107107670,1213991494598
2020-11-04,G,UG,608,2398,2550033,699642671562,111398924986,811041596548
2020-11-04,LG1,Alumni,6,50,30084,16281806417,2680181273,18961987690
2020-11-04,LG1,Non-HKUST,10,44,75545,12561630370,1903296402,14464926772
2020-11-04,LG1,Others(HKUST),9,31,878844,12915709558,2241185753,15156895311
2020-11-04,LG1,RPG,61,380,897510,288533424022,32124054272,320657478294
2020-11-04,LG1,Staff,50,297,291477,49745246819,7523843264,57269090083
2020-11-04,LG1,TPG,81,668,1703059,182247531646,26395335402,208642867048
2020-11-04,LG1,Total,657,5480,14801898,1775452083021,335590526579,2111042609600
2020-11-04,LG1,UG,440,4010,10925379,1213166734189,262722630213,1475889364402
2020-11-04,LG3,Alumni,9,100,140894,38550262599,3148088914,41698351513
2020-11-04,LG3,Non-HKUST,9,39,136024,8892609240,555019675,9447628915
2020-11-04,LG3,Others(HKUST),13,25,15455,5615190911,784810133,6400001044
2020-11-04,LG3,RPG,160,285,432842,86965477271,9807775097,96773252368
2020-11-04,LG3,Staff,159,304,209079,29930683365,3333188076,33263871441
2020-11-04,LG3,TPG,81,414,1419423,144548013333,15694623465,160242636798
2020-11-04,LG3,Total,815,2617,4912400,923106819943,96208831993,1019315651936
2020-11-04,LG3,UG,384,1450,2558683,608604583224,62885326633,671489909857
2020-11-04,LG4,Alumni,9,38,162342,21483157184,2103518516,23586675700
2020-11-04,LG4,Non-HKUST,7,12,45490,2082084771,171480785,2253565556
2020-11-04,LG4,Others(HKUST),8,59,365933,14898319558,1897251638,16795571196
2020-11-04,LG4,RPG,74,152,295423,48323990982,6327391831,54651382813
2020-11-04,LG4,Staff,79,162,98682,21217706129,1453550612,22671256741
2020-11-04,LG4,TPG,62,344,1273904,119508910170,11693199283,131202109453
2020-11-04,LG4,Total,574,2357,6114667,1060465335823,105523093241,1165988429064
2020-11-04,LG4,UG,335,1590,3872893,832951167029,81876700576,914827867605
2020-11-05,1,Alumni,0,0,0,0,0,0
2020-11-05,1,Non-HKUST,2,7,24651,692448821,593120408,1285569229
2020-11-05,1,Others(HKUST),4,41,62154,2291392908,76619789,2368012697
2020-11-05,1,RPG,14,76,255228,16182597807,1779053788,17961651595
2020-11-05,1,Staff,56,612,1326916,83305052255,4933495412,88238547667
2020-11-05,1,TPG,23,165,657997,47609345995,14433450160,62042796155
2020-11-05,1,Total,166,1320,4092051,252290306210,30701729413,282992035623
2020-11-05,1,UG,67,419,1765105,102209468424,8885989856,111095458280
2020-11-05,All-Floors,Alumni,18,161,318194,87995015373,6894620534,94889635907
2020-11-05,All-Floors,Non-HKUST,24,233,379401,88920912385,18218763412,107139675797
2020-11-05,All-Floors,Others(HKUST),15,268,1654891,49181987007,5088608710,54270595717
2020-11-05,All-Floors,RPG,357,1675,3016314,688163268963,115591529593,803754798556
2020-11-05,All-Floors,Staff,305,2085,2694816,225337638369,25149661376,250487299745
2020-11-05,All-Floors,TPG,199,2091,5315495,912457702208,150860211141,1063317913349
2020-11-05,All-Floors,Total,1829,16187,35871094,6348126352796,775537312504,7123663665300
2020-11-05,All-Floors,UG,911,9674,22491983,4296069828491,453733917738,4749803746229
2020-11-05,G,Alumni,10,40,34219,10529033279,1574457120,12103490399
2020-11-05,G,Non-HKUST,18,45,23762,18237014123,4402689398,22639703521
2020-11-05,G,Others(HKUST),7,71,400076,4703487605,405085854,5108573459
2020-11-05,G,RPG,132,446,710233,124962798204,21021086360,145983884564
2020-11-05,G,Staff,127,751,949752,62184931063,8824524801,71009455864
2020-11-05,G,TPG,164,728,919009,190763029089,53958930297,244721959386
2020-11-05,G,Total,1101,4526,5454401,1165803568781,200736787904,1366540356685
2020-11-05,G,UG,643,2445,2417350,754423275418,110550014074,864973289492
2020-11-05,LG1,Alumni,5,26,64849,10803721616,527713644,11331435260
2020-11-05,LG1,Non-HKUST,10,47,70434,2868100679,680697367,3548798046
2020-11-05,LG1,Others(HKUST),6,101,911903,22026676511,2407075068,24433751579
2020-11-05,LG1,RPG,72,438,1035085,109608766312,27859919845,137468686157
2020-11-05,LG1,Staff,51,278,213752,30842621786,2228918442,33071540228
2020-11-05,LG1,TPG,77,503,1250911,210766432706,42860885981,253627318687
2020-11-05,LG1,Total,679,5332,14608083,1527651408688,252987884090,1780639292778
2020-11-05,LG1,UG,458,3939,11061149,1140735089078,176422673743,1317157762821
2020-11-05,LG3,Alumni,7,65,107392,29096135470,772576105,29868711575
2020-11-05,LG3,Non-HKUST,12,58,128148,21985237607,6203892021,28189129628
