Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2019-02-01,1,Staff,66,593,1395641,125653116880,12598975679,138252092559
2019-02-01,1,TPG,51,425,1133535,88259860752,8108286091,96368146843
2019-02-01,1,RPG,12,33,90852,6855383420,353058600,7208442020
2019-02-01,1,UG,199,1047,2596494,168574231626,23394042673,191968274299
2019-02-01,1,Alumni,2,9,23350,3963008313,83102014,4046110327
2019-02-01,1,Others(HKUST),4,25,163991,2662164419,180305451,2842469870
2019-02-01,1,Non-HKUST,8,22,39301,434044769,79217988,513262757
2019-02-01,1,Total,342,2154,5443164,396401810179,44796988496,441198798675
2019-02-01,G,Staff,124,597,945267,61841976887,15698685229,77540662116
2019-02-01,G,TPG,153,470,757535,148982991415,13456345743,162439337158
2019-02-01,G,RPG,42,119,110502,10754515625,841907042,11596422667
2019-02-01,G,UG,738,2232,2796496,340614708305,35041999465,375656707770
2019-02-01,G,Alumni,9,36,95628,12274201732,548019327,12822221059
2019-02-01,G,Others(HKUST),7,25,373980,4973782634,508335159,5482117793
2019-02-01,G,Non-HKUST,33,97,196611,11201625218,3051488012,14253113230
2019-02-01,G,Total,1106,3576,5276019,590643801816,69146779977,659790581793
2019-02-01,LG1,Staff,90,349,317986,34690281498,3762990402,38453271900
2019-02-01,LG1,TPG,177,1312,2887767,440876532000,38469409190,479345941190
2019-02-01,LG1,RPG,48,263,576935,54526644982,3802720690,58329365672
2019-02-01,LG1,UG,1162,6388,10381770,1130118379388,163149726873,1293268106261
2019-02-01,LG1,Alumni,5,19,40003,7198108883,378826108,7576934991
2019-02-01,LG1,Others(HKUST),10,112,564412,58759518308,6278636187,65038154495
2019-02-01,LG1,Non-HKUST,34,132,330603,32237312836,3314452355,35551765191
2019-02-01,LG1,Total,1526,8575,15099476,1758406777895,219156761805,1977563539700
2019-02-01,LG3,Staff,42,175,203066,10679328412,4684713678,15364042090
2019-02-01,LG3,TPG,49,379,913007,172782779948,7908318906,180691098854
2019-02-01,LG3,RPG,27,104,251596,48440829425,7702727503,56143556928
2019-02-01,LG3,UG,422,1974,3082082,440050573497,62668056868,502718630365
2019-02-01,LG3,Alumni,2,9,32319,1260600088,163201801,1423801889
2019-02-01,LG3,Others(HKUST),3,13,5218,948177067,26519146,974696213
2019-02-01,LG3,Non-HKUST,8,36,99538,8198131549,877142316,9075273865
2019-02-01,LG3,Total,553,2690,4586826,682360419986,84030680218,766391100204
2019-02-01,LG4,Staff,55,157,98602,7239395932,2535660842,9775056774
2019-02-01,LG4,TPG,73,406,1029768,370801507937,26722350140,397523858077
2019-02-01,LG4,RPG,47,103,169863,29509322566,1609601423,31118923989
2019-02-01,LG4,UG,649,1540,2093676,376883819672,37733183874,414617003546
2019-02-01,LG4,Alumni,6,16,67950,7201570987,2322826501,9524397488
2019-02-01,LG4,Others(HKUST),11,26,228200,15601771282,5210524030,20812295312
2019-02-01,LG4,Non-HKUST,25,46,77902,7398251816,1239628341,8637880157
2019-02-01,LG4,Total,866,2294,3765961,814635640192,77373775151,892009415343
2019-02-01,All-Floors,Staff,226,1871,2960562,240104099609,39281025830,279385125439
2019-02-01,All-Floors,TPG,299,2992,6721612,1221703672052,94664710070,1316368382122
2019-02-01,All-Floors,RPG,122,622,1199748,150086696018,14310015258,164396711276
2019-02-01,All-Floors,UG,2132,13181,20950518,2456241712488,321987009753,2778228722241
2019-02-01,All-Floors,Alumni,19,89,259250,31897490003,3495975751,35393465754
2019-02-01,All-Floors,Others(HKUST),19,201,1335801,82945413710,12204319973,95149733683
2019-02-01,All-Floors,Non-HKUST,79,333,743955,59469366188,8561929012,68031295200
2019-02-01,All-Floors,Total,2896,19289,34171446,4242448450068,494504985647,4736953435715
2019-02-02,1,Staff,14,89,247855,2938611826,166540627,3105152453
2019-02-02,1,TPG,40,256,696782,62152717140,3946599633,66099316773
2019-02-02,1,RPG,3,8,10620,50719108,35994741,86713849
2019-02-02,1,UG,35,153,523244,49732131613,2569697921,52301829534
2019-02-02,1,Alumni,3,12,22130,2691920570,95519106,2787439676
2019-02-02,1,Others(HKUST),2,4,173159,7482288,2173469,9655757
2019-02-02,1,Non-HKUST,3,17,20520,7402835401,931909031,8334744432
2019-02-02,1,Total,100,539,1694310,124976417946,7748434528,132724852474
2019-02-02,G,Staff,27,103,319880,9610269906,383943216,9994213122
2019-02-02,G,TPG,65,225,369674,32443209404,1941041921,34384251325
2019-02-02,G,RPG,13,29,65170,1240766644,79917500,1320684144
2019-02-02,G,UG,97,291,537479,49629135709,5835950874,55465086583
2019-02-02,G,Alumni,16,35,42656,5213063985,13001710849,18214774834
2019-02-02,G,Others(HKUST),6,16,267123,7724157596,762916721,8487074317
2019-02-02,G,Non-HKUST,18,41,76862,3607768945,538675596,4146444541
2019-02-02,G,Total,242,740,1678844,109468372189,22544156677,132012528866
2019-02-02,LG1,Staff,21,49,44282,4771559833,220523165,4992082998
2019-02-02,LG1,TPG,97,549,1474745,188857788354,13986150877,202843939231
2019-02-02,LG1,RPG,31,163,430694,26639185576,9908925730,36548111306
2019-02-02,LG1,UG,236,1415,3197970,352309046757,55187540006,407496586763
2019-02-02,LG1,Alumni,14,70,164520,21976754679,36252518982,58229273661
2019-02-02,LG1,Others(HKUST),5,93,549691,46852989696,4596271443,51449261139
2019-02-02,LG1,Non-HKUST,17,77,234374,32854212339,2253688292,35107900631
2019-02-02,LG1,Total,421,2416,6096276,674261537234,122405618495,796667155729
2019-02-02,LG3,Staff,15,78,139493,4446540378,564710363,5011250741
2019-02-02,LG3,TPG,26,165,405722,51899422748,3131868415,55031291163
2019-02-02,LG3,RPG,13,58,115397,8489538931,605744184,9095283115
2019-02-02,LG3,UG,91,331,804144,83782939130,5439912214,89222851344
2019-02-02,LG3,Alumni,9,69,127423,19863612609,71492496382,91356108991
2019-02-02,LG3,Others(HKUST),3,19,41741,4770052442,243195003,5013247445
2019-02-02,LG3,Non-HKUST,7,22,36542,3704177831,178958639,3883136470
2019-02-02,LG3,Total,164,742,1670462,176956284069,81656885200,258613169269
2019-02-02,LG4,Staff,12,21,31856,1241064235,93200666,1334264901
2019-02-02,LG4,TPG,43,175,414510,112323618458,4858491869,117182110327
2019-02-02,LG4,RPG,20,41,51844,9381895486,402449354,9784344840
2019-02-02,LG4,UG,110,236,395345,101565596509,9461042487,111026638996
2019-02-02,LG4,Alumni,7,26,103478,17680199658,571533363,18251733021
2019-02-02,LG4,Others(HKUST),6,18,259556,13094721632,4105330169,17200051801
2019-02-02,LG4,Non-HKUST,14,43,113392,5587316827,400636478,5987953305
2019-02-02,LG4,Total,212,560,1369981,260874412805,19892684386,280767097191
2019-02-02,All-Floors,Staff,59,340,783366,23008046178,1428918037,24436964215
2019-02-02,All-Floors,TPG,173,1370,3361433,447676756104,27864152715,475540908819
2019-02-02,All-Floors,RPG,59,299,673725,45802105745,11033031509,56835137254
2019-02-02,All-Floors,UG,403,2426,5458182,637018849718,78494143502,715512993220
2019-02-02,All-Floors,Alumni,31,212,460207,67425551501,121413778682,188839330183
2019-02-02,All-Floors,Others(HKUST),11,150,1291270,72449403654,9709886805,82159290459
2019-02-02,All-Floors,Non-HKUST,38,200,481690,53156311343,4303868036,57460179379
2019-02-02,All-Floors,Total,774,4997,12509873,1346537024243,254247779286,1600784803529
2019-02-03,1,Staff,8,59,306923,847373120,338897817,1186270937
2019-02-03,1,TPG,9,47,206089,17476215713,1002690622,18478906335
2019-02-03,1,RPG,4,6,900,1009401538,206164888,1215566426
2019-02-03,1,UG,36,149,632178,41634206079,3222984075,44857190154
2019-02-03,1,Alumni,3,8,40315,5336450635,171525156,5507975791
2019-02-03,1,Others(HKUST),2,6,169558,24861203,7779886,32641089
2019-02-03,1,Non-HKUST,3,12,59217,1370532037,94156227,1464688264
2019-02-03,1,Total,65,287,1415180,67699040325,5044198671,72743238996
2019-02-03,G,Staff,13,65,279551,1103185286,364657625,1467842911
2019-02-03,G,TPG,24,96,223930,30621517650,2190806576,32812324226
2019-02-03,G,RPG,19,68,129239,6453548339,1037800085,7491348424
2019-02-03,G,UG,83,277,477193,69160250406,4952924737,74113175143
2019-02-03,G,Alumni,11,25,55616,2788236325,23363568658,26151804983
2019-02-03,G,Others(HKUST),6,11,259556,5291395277,651683111,5943078388
2019-02-03,G,Non-HKUST,8,46,97392,27788761622,91275606934,119064368556
2019-02-03,G,Total,164,588,1522477,143206894905,123837047726,267043942631
2019-02-03,LG1,Staff,9,24,40507,1395015135,421025696,1816040831
2019-02-03,LG1,TPG,48,341,755290,138195263519,14101081568,152296345087
2019-02-03,LG1,RPG,25,146,425946,27746280245,15810173984,43556454229
2019-02-03,LG1,UG,255,1707,4141057,518877189254,79428382072,598305571326
2019-02-03,LG1,Alumni,5,31,49672,5799797627,72532164666,78331962293
2019-02-03,LG1,Others(HKUST),7,83,584433,30718159424,3180834373,33898993797
2019-02-03,LG1,Non-HKUST,19,75,250899,35190597044,1738626805,36929223849
2019-02-03,LG1,Total,368,2407,6247804,757922302248,187212289164,945134591412
2019-02-03,LG3,Staff,12,66,126895,983606630,207087704,1190694334
2019-02-03,LG3,TPG,18,119,324554,96015709185,4403129538,100418838723
