Date,Period,User-Group,User-Count,WiFi-Conn
2016-06-01,Midnight,Staff,5,30
2016-06-01,Midnight,TPG,0,0
2016-06-01,Midnight,RPG,6,6
2016-06-01,Midnight,UG,6,36
2016-06-01,Midnight,Alumni,0,0
2016-06-01,Midnight,Others(HKUST),3,25
2016-06-01,Midnight,Non-HKUST,0,0
2016-06-01,Midnight,Total,20,97
2016-06-01,Early-Morning,Staff,13,38
2016-06-01,Early-Morning,TPG,1,2
2016-06-01,Early-Morning,RPG,4,4
2016-06-01,Early-Morning,UG,14,38
2016-06-01,Early-Morning,Alumni,0,0
2016-06-01,Early-Morning,Others(HKUST),4,21
2016-06-01,Early-Morning,Non-HKUST,0,0
2016-06-01,Early-Morning,Total,36,103
2016-06-01,Morning,Staff,213,1180
2016-06-01,Morning,TPG,140,1144
2016-06-01,Morning,RPG,202,992
2016-06-01,Morning,UG,196,840
2016-06-01,Morning,Alumni,17,115
2016-06-01,Morning,Others(HKUST),19,211
2016-06-01,Morning,Non-HKUST,30,190
2016-06-01,Morning,Total,817,4672
2016-06-01,Afternoon,Staff,315,1628
2016-06-01,Afternoon,TPG,277,3112
2016-06-01,Afternoon,RPG,304,1556
2016-06-01,Afternoon,UG,430,2546
2016-06-01,Afternoon,Alumni,20,231
2016-06-01,Afternoon,Others(HKUST),30,315
2016-06-01,Afternoon,Non-HKUST,35,329
2016-06-01,Afternoon,Total,1411,9717
2016-06-01,Late-Afternoon,Staff,193,943
2016-06-01,Late-Afternoon,TPG,285,3296
2016-06-01,Late-Afternoon,RPG,311,1589
2016-06-01,Late-Afternoon,UG,375,2009
2016-06-01,Late-Afternoon,Alumni,23,285
2016-06-01,Late-Afternoon,Others(HKUST),20,156
2016-06-01,Late-Afternoon,Non-HKUST,27,137
2016-06-01,Late-Afternoon,Total,1234,8415
2016-06-01,Evening,Staff,40,129
2016-06-01,Evening,TPG,148,786
2016-06-01,Evening,RPG,106,322
2016-06-01,Evening,UG,116,356
2016-06-01,Evening,Alumni,12,64
2016-06-01,Evening,Others(HKUST),8,41
2016-06-01,Evening,Non-HKUST,4,16
2016-06-01,Evening,Total,434,1714
2016-06-01,All-Periods,Staff,491,3898
2016-06-01,All-Periods,TPG,350,8239
2016-06-01,All-Periods,RPG,549,4430
2016-06-01,All-Periods,UG,761,5794
2016-06-01,All-Periods,Alumni,30,689
2016-06-01,All-Periods,Others(HKUST),40,727
2016-06-01,All-Periods,Non-HKUST,51,668
2016-06-01,All-Periods,Total,2272,24445
2016-06-02,Midnight,Staff,7,15
2016-06-02,Midnight,TPG,0,0
2016-06-02,Midnight,RPG,7,8
2016-06-02,Midnight,UG,4,15
2016-06-02,Midnight,Alumni,0,0
2016-06-02,Midnight,Others(HKUST),4,20
2016-06-02,Midnight,Non-HKUST,0,0
2016-06-02,Midnight,Total,22,58
2016-06-02,Early-Morning,Staff,29,93
2016-06-02,Early-Morning,TPG,0,0
2016-06-02,Early-Morning,RPG,4,5
2016-06-02,Early-Morning,UG,13,18
2016-06-02,Early-Morning,Alumni,0,0
2016-06-02,Early-Morning,Others(HKUST),4,38
2016-06-02,Early-Morning,Non-HKUST,0,0
2016-06-02,Early-Morning,Total,50,154
2016-06-02,Morning,Staff,222,939
2016-06-02,Morning,TPG,152,1259
2016-06-02,Morning,RPG,199,1018
2016-06-02,Morning,UG,241,1139
2016-06-02,Morning,Alumni,16,126
2016-06-02,Morning,Others(HKUST),20,133
2016-06-02,Morning,Non-HKUST,20,87
2016-06-02,Morning,Total,870,4701
2016-06-02,Afternoon,Staff,304,1438
2016-06-02,Afternoon,TPG,264,3009
2016-06-02,Afternoon,RPG,276,1711
2016-06-02,Afternoon,UG,430,2494
2016-06-02,Afternoon,Alumni,27,307
2016-06-02,Afternoon,Others(HKUST),28,459
2016-06-02,Afternoon,Non-HKUST,47,311
2016-06-02,Afternoon,Total,1376,9729
2016-06-02,Late-Afternoon,Staff,178,800
2016-06-02,Late-Afternoon,TPG,271,3445
2016-06-02,Late-Afternoon,RPG,304,1569
2016-06-02,Late-Afternoon,UG,332,1894
2016-06-02,Late-Afternoon,Alumni,26,296
2016-06-02,Late-Afternoon,Others(HKUST),18,118
2016-06-02,Late-Afternoon,Non-HKUST,33,267
2016-06-02,Late-Afternoon,Total,1162,8389
2016-06-02,Evening,Staff,39,122
2016-06-02,Evening,TPG,147,705
2016-06-02,Evening,RPG,100,274
2016-06-02,Evening,UG,92,252
2016-06-02,Evening,Alumni,13,73
2016-06-02,Evening,Others(HKUST),11,55
2016-06-02,Evening,Non-HKUST,11,30
2016-06-02,Evening,Total,413,1511
2016-06-02,All-Periods,Staff,504,3367
2016-06-02,All-Periods,TPG,323,8310
2016-06-02,All-Periods,RPG,521,4551
2016-06-02,All-Periods,UG,750,5778
2016-06-02,All-Periods,Alumni,35,797
2016-06-02,All-Periods,Others(HKUST),40,783
2016-06-02,All-Periods,Non-HKUST,68,693
2016-06-02,All-Periods,Total,2241,24279
2016-06-03,Midnight,Staff,7,20
2016-06-03,Midnight,TPG,0,0
2016-06-03,Midnight,RPG,4,4
2016-06-03,Midnight,UG,8,29
2016-06-03,Midnight,Alumni,0,0
2016-06-03,Midnight,Others(HKUST),5,28
2016-06-03,Midnight,Non-HKUST,0,0
2016-06-03,Midnight,Total,24,81
2016-06-03,Early-Morning,Staff,21,73
2016-06-03,Early-Morning,TPG,0,0
2016-06-03,Early-Morning,RPG,5,5
2016-06-03,Early-Morning,UG,12,16
2016-06-03,Early-Morning,Alumni,0,0
2016-06-03,Early-Morning,Others(HKUST),5,38
2016-06-03,Early-Morning,Non-HKUST,0,0
2016-06-03,Early-Morning,Total,43,132
2016-06-03,Morning,Staff,204,890
2016-06-03,Morning,TPG,147,1149
2016-06-03,Morning,RPG,180,956
2016-06-03,Morning,UG,184,1005
2016-06-03,Morning,Alumni,19,118
2016-06-03,Morning,Others(HKUST),16,104
2016-06-03,Morning,Non-HKUST,17,77
2016-06-03,Morning,Total,767,4299
2016-06-03,Afternoon,Staff,315,1368
2016-06-03,Afternoon,TPG,244,3024
2016-06-03,Afternoon,RPG,313,1850
2016-06-03,Afternoon,UG,374,2201
2016-06-03,Afternoon,Alumni,26,341
2016-06-03,Afternoon,Others(HKUST),22,334
2016-06-03,Afternoon,Non-HKUST,35,172
2016-06-03,Afternoon,Total,1329,9290
2016-06-03,Late-Afternoon,Staff,184,890
