Date,Period,User-Group,User-Count,WiFi-Conn
2017-04-01,Midnight,Staff,8,46
2017-04-01,Midnight,TPG,46,208
2017-04-01,Midnight,RPG,8,27
2017-04-01,Midnight,UG,147,692
2017-04-01,Midnight,Alumni,2,2
2017-04-01,Midnight,Others(HKUST),4,31
2017-04-01,Midnight,Non-HKUST,1,1
2017-04-01,Midnight,Total,216,1007
2017-04-01,Early-Morning,Staff,8,24
2017-04-01,Early-Morning,TPG,5,16
2017-04-01,Early-Morning,RPG,6,15
2017-04-01,Early-Morning,UG,21,95
2017-04-01,Early-Morning,Alumni,1,2
2017-04-01,Early-Morning,Others(HKUST),3,53
2017-04-01,Early-Morning,Non-HKUST,0,0
2017-04-01,Early-Morning,Total,44,205
2017-04-01,Morning,Staff,50,185
2017-04-01,Morning,TPG,218,1497
2017-04-01,Morning,RPG,75,439
2017-04-01,Morning,UG,339,1891
2017-04-01,Morning,Alumni,7,25
2017-04-01,Morning,Others(HKUST),7,34
2017-04-01,Morning,Non-HKUST,10,24
2017-04-01,Morning,Total,706,4095
2017-04-01,Afternoon,Staff,63,219
2017-04-01,Afternoon,TPG,468,4329
2017-04-01,Afternoon,RPG,152,835
2017-04-01,Afternoon,UG,658,4210
2017-04-01,Afternoon,Alumni,24,155
2017-04-01,Afternoon,Others(HKUST),10,23
2017-04-01,Afternoon,Non-HKUST,25,135
2017-04-01,Afternoon,Total,1400,9906
2017-04-01,Late-Afternoon,Staff,46,259
2017-04-01,Late-Afternoon,TPG,456,4430
2017-04-01,Late-Afternoon,RPG,140,738
2017-04-01,Late-Afternoon,UG,664,4261
2017-04-01,Late-Afternoon,Alumni,31,259
2017-04-01,Late-Afternoon,Others(HKUST),4,14
2017-04-01,Late-Afternoon,Non-HKUST,29,145
2017-04-01,Late-Afternoon,Total,1370,10106
2017-04-01,Evening,Staff,17,83
2017-04-01,Evening,TPG,301,2330
2017-04-01,Evening,RPG,80,336
2017-04-01,Evening,UG,376,2321
2017-04-01,Evening,Alumni,13,47
2017-04-01,Evening,Others(HKUST),2,7
2017-04-01,Evening,Non-HKUST,8,30
2017-04-01,Evening,Total,797,5154
2017-04-01,All-Periods,Staff,118,799
2017-04-01,All-Periods,TPG,605,12524
2017-04-01,All-Periods,RPG,254,2345
2017-04-01,All-Periods,UG,1153,13183
2017-04-01,All-Periods,Alumni,38,474
2017-04-01,All-Periods,Others(HKUST),15,150
2017-04-01,All-Periods,Non-HKUST,39,324
2017-04-01,All-Periods,Total,2222,29799
2017-04-02,Midnight,Staff,5,17
2017-04-02,Midnight,TPG,50,274
2017-04-02,Midnight,RPG,14,49
2017-04-02,Midnight,UG,127,660
2017-04-02,Midnight,Alumni,3,6
2017-04-02,Midnight,Others(HKUST),2,26
2017-04-02,Midnight,Non-HKUST,6,11
2017-04-02,Midnight,Total,207,1043
2017-04-02,Early-Morning,Staff,2,7
2017-04-02,Early-Morning,TPG,5,16
2017-04-02,Early-Morning,RPG,2,2
2017-04-02,Early-Morning,UG,22,78
2017-04-02,Early-Morning,Alumni,2,5
2017-04-02,Early-Morning,Others(HKUST),2,16
2017-04-02,Early-Morning,Non-HKUST,4,5
2017-04-02,Early-Morning,Total,39,129
2017-04-02,Morning,Staff,31,108
2017-04-02,Morning,TPG,224,1589
2017-04-02,Morning,RPG,69,362
2017-04-02,Morning,UG,347,2181
2017-04-02,Morning,Alumni,16,54
2017-04-02,Morning,Others(HKUST),5,20
2017-04-02,Morning,Non-HKUST,10,43
2017-04-02,Morning,Total,702,4357
2017-04-02,Afternoon,Staff,55,308
2017-04-02,Afternoon,TPG,372,4111
2017-04-02,Afternoon,RPG,138,815
2017-04-02,Afternoon,UG,678,4863
2017-04-02,Afternoon,Alumni,37,194
2017-04-02,Afternoon,Others(HKUST),8,36
2017-04-02,Afternoon,Non-HKUST,23,103
2017-04-02,Afternoon,Total,1311,10430
2017-04-02,Late-Afternoon,Staff,53,246
2017-04-02,Late-Afternoon,TPG,406,4508
2017-04-02,Late-Afternoon,RPG,130,614
2017-04-02,Late-Afternoon,UG,726,5669
2017-04-02,Late-Afternoon,Alumni,36,240
2017-04-02,Late-Afternoon,Others(HKUST),8,22
2017-04-02,Late-Afternoon,Non-HKUST,29,179
2017-04-02,Late-Afternoon,Total,1388,11478
2017-04-02,Evening,Staff,18,97
2017-04-02,Evening,TPG,270,2173
2017-04-02,Evening,RPG,55,234
2017-04-02,Evening,UG,555,3354
2017-04-02,Evening,Alumni,15,60
2017-04-02,Evening,Others(HKUST),4,8
2017-04-02,Evening,Non-HKUST,17,52
2017-04-02,Evening,Total,934,5978
2017-04-02,All-Periods,Staff,95,771
2017-04-02,All-Periods,TPG,454,12309
2017-04-02,All-Periods,RPG,230,2037
2017-04-02,All-Periods,UG,1137,16474
2017-04-02,All-Periods,Alumni,50,541
2017-04-02,All-Periods,Others(HKUST),13,118
2017-04-02,All-Periods,Non-HKUST,43,374
2017-04-02,All-Periods,Total,2022,32624
2017-04-03,Midnight,Staff,5,31
2017-04-03,Midnight,TPG,47,245
2017-04-03,Midnight,RPG,12,60
2017-04-03,Midnight,UG,185,1052
2017-04-03,Midnight,Alumni,1,1
2017-04-03,Midnight,Others(HKUST),3,15
2017-04-03,Midnight,Non-HKUST,0,0
2017-04-03,Midnight,Total,253,1404
2017-04-03,Early-Morning,Staff,13,41
2017-04-03,Early-Morning,TPG,3,17
2017-04-03,Early-Morning,RPG,4,7
2017-04-03,Early-Morning,UG,40,139
2017-04-03,Early-Morning,Alumni,1,1
2017-04-03,Early-Morning,Others(HKUST),3,38
2017-04-03,Early-Morning,Non-HKUST,0,0
2017-04-03,Early-Morning,Total,64,243
2017-04-03,Morning,Staff,139,888
2017-04-03,Morning,TPG,306,2367
2017-04-03,Morning,RPG,124,665
2017-04-03,Morning,UG,1056,5733
2017-04-03,Morning,Alumni,5,21
2017-04-03,Morning,Others(HKUST),12,71
2017-04-03,Morning,Non-HKUST,18,101
2017-04-03,Morning,Total,1660,9846
2017-04-03,Afternoon,Staff,203,1110
2017-04-03,Afternoon,TPG,550,6278
2017-04-03,Afternoon,RPG,237,1350
2017-04-03,Afternoon,UG,2331,17398
2017-04-03,Afternoon,Alumni,8,72
2017-04-03,Afternoon,Others(HKUST),13,104
2017-04-03,Afternoon,Non-HKUST,38,194
2017-04-03,Afternoon,Total,3380,26506
2017-04-03,Late-Afternoon,Staff,132,715
2017-04-03,Late-Afternoon,TPG,602,6011
2017-04-03,Late-Afternoon,RPG,216,1038
