Date,Period,User-Group,User-Count,WiFi-Conn
2022-03-01,Afternoon,Alumni,7,178
2022-03-01,Afternoon,Non-HKUST,21,124
2022-03-01,Afternoon,Others(HKUST),9,28
2022-03-01,Afternoon,RPG,225,1000
2022-03-01,Afternoon,Staff,209,1140
2022-03-01,Afternoon,TPG,77,1287
2022-03-01,Afternoon,Total,952,8768
2022-03-01,Afternoon,UG,404,5011
2022-03-01,All-Periods,Alumni,9,274
2022-03-01,All-Periods,Non-HKUST,31,276
2022-03-01,All-Periods,Others(HKUST),17,104
2022-03-01,All-Periods,RPG,470,2477
2022-03-01,All-Periods,Staff,361,3266
2022-03-01,All-Periods,TPG,117,2606
2022-03-01,All-Periods,Total,1646,20252
2022-03-01,All-Periods,UG,641,11249
2022-03-01,Early-Morning,Alumni,1,3
2022-03-01,Early-Morning,Non-HKUST,0,0
2022-03-01,Early-Morning,Others(HKUST),3,5
2022-03-01,Early-Morning,RPG,2,5
2022-03-01,Early-Morning,Staff,19,58
2022-03-01,Early-Morning,TPG,0,0
2022-03-01,Early-Morning,Total,30,80
2022-03-01,Early-Morning,UG,5,9
2022-03-01,Evening,Alumni,1,3
2022-03-01,Evening,Non-HKUST,5,19
2022-03-01,Evening,Others(HKUST),3,12
2022-03-01,Evening,RPG,47,107
2022-03-01,Evening,Staff,19,75
2022-03-01,Evening,TPG,15,48
2022-03-01,Evening,Total,226,801
2022-03-01,Evening,UG,136,537
2022-03-01,Late-Afternoon,Alumni,6,63
2022-03-01,Late-Afternoon,Non-HKUST,14,98
2022-03-01,Late-Afternoon,Others(HKUST),10,44
2022-03-01,Late-Afternoon,RPG,222,821
2022-03-01,Late-Afternoon,Staff,123,881
2022-03-01,Late-Afternoon,TPG,73,833
2022-03-01,Late-Afternoon,Total,794,6836
2022-03-01,Late-Afternoon,UG,346,4096
2022-03-01,Midnight,Alumni,0,0
2022-03-01,Midnight,Non-HKUST,2,2
2022-03-01,Midnight,Others(HKUST),1,1
2022-03-01,Midnight,RPG,6,13
2022-03-01,Midnight,Staff,1,3
2022-03-01,Midnight,TPG,0,0
2022-03-01,Midnight,Total,43,71
2022-03-01,Midnight,UG,33,52
2022-03-01,Morning,Alumni,4,28
2022-03-01,Morning,Non-HKUST,10,35
2022-03-01,Morning,Others(HKUST),10,33
2022-03-01,Morning,RPG,110,552
2022-03-01,Morning,Staff,144,1122
2022-03-01,Morning,TPG,45,471
2022-03-01,Morning,Total,483,3939
2022-03-01,Morning,UG,160,1698
2022-03-02,Afternoon,Alumni,7,67
2022-03-02,Afternoon,Non-HKUST,24,272
2022-03-02,Afternoon,Others(HKUST),11,34
2022-03-02,Afternoon,RPG,187,1083
2022-03-02,Afternoon,Staff,177,1066
2022-03-02,Afternoon,TPG,79,1274
2022-03-02,Afternoon,Total,853,9281
2022-03-02,Afternoon,UG,368,5485
2022-03-02,All-Periods,Alumni,10,106
2022-03-02,All-Periods,Non-HKUST,37,524
2022-03-02,All-Periods,Others(HKUST),11,94
2022-03-02,All-Periods,RPG,403,2560
2022-03-02,All-Periods,Staff,317,2611
2022-03-02,All-Periods,TPG,118,2993
2022-03-02,All-Periods,Total,1477,21457
2022-03-02,All-Periods,UG,581,12569
2022-03-02,Early-Morning,Alumni,1,1
2022-03-02,Early-Morning,Non-HKUST,0,0
2022-03-02,Early-Morning,Others(HKUST),4,7
2022-03-02,Early-Morning,RPG,4,6
2022-03-02,Early-Morning,Staff,16,51
2022-03-02,Early-Morning,TPG,1,1
2022-03-02,Early-Morning,Total,32,75
2022-03-02,Early-Morning,UG,6,9
2022-03-02,Evening,Alumni,1,2
2022-03-02,Evening,Non-HKUST,9,14
2022-03-02,Evening,Others(HKUST),3,15
2022-03-02,Evening,RPG,55,122
2022-03-02,Evening,Staff,26,55
2022-03-02,Evening,TPG,12,32
2022-03-02,Evening,Total,215,891
2022-03-02,Evening,UG,109,651
2022-03-02,Late-Afternoon,Alumni,5,26
2022-03-02,Late-Afternoon,Non-HKUST,21,175
2022-03-02,Late-Afternoon,Others(HKUST),5,23
2022-03-02,Late-Afternoon,RPG,181,696
2022-03-02,Late-Afternoon,Staff,105,661
2022-03-02,Late-Afternoon,TPG,67,957
2022-03-02,Late-Afternoon,Total,722,6861
2022-03-02,Late-Afternoon,UG,338,4323
2022-03-02,Midnight,Alumni,0,0
2022-03-02,Midnight,Non-HKUST,1,3
2022-03-02,Midnight,Others(HKUST),0,0
2022-03-02,Midnight,RPG,3,3
2022-03-02,Midnight,Staff,3,3
2022-03-02,Midnight,TPG,0,0
2022-03-02,Midnight,Total,26,36
2022-03-02,Midnight,UG,19,27
2022-03-02,Morning,Alumni,2,13
2022-03-02,Morning,Non-HKUST,11,70
2022-03-02,Morning,Others(HKUST),5,34
2022-03-02,Morning,RPG,94,664
2022-03-02,Morning,Staff,110,788
2022-03-02,Morning,TPG,45,761
2022-03-02,Morning,Total,432,4554
2022-03-02,Morning,UG,165,2224
2022-03-03,Afternoon,Alumni,6,88
2022-03-03,Afternoon,Non-HKUST,16,71
2022-03-03,Afternoon,Others(HKUST),10,31
2022-03-03,Afternoon,RPG,185,837
2022-03-03,Afternoon,Staff,156,882
2022-03-03,Afternoon,TPG,78,1653
2022-03-03,Afternoon,Total,866,9091
2022-03-03,Afternoon,UG,415,5529
2022-03-03,All-Periods,Alumni,9,302
2022-03-03,All-Periods,Non-HKUST,31,176
2022-03-03,All-Periods,Others(HKUST),14,93
2022-03-03,All-Periods,RPG,429,2137
2022-03-03,All-Periods,Staff,310,2340
2022-03-03,All-Periods,TPG,107,2881
2022-03-03,All-Periods,Total,1522,20166
2022-03-03,All-Periods,UG,622,12237
2022-03-03,Early-Morning,Alumni,1,2
