Date,Period,User-Group,User-Count,WiFi-Conn
2017-03-01,Midnight,Staff,11,46
2017-03-01,Midnight,TPG,19,101
2017-03-01,Midnight,RPG,13,42
2017-03-01,Midnight,UG,286,1682
2017-03-01,Midnight,Alumni,1,7
2017-03-01,Midnight,Others(HKUST),3,42
2017-03-01,Midnight,Non-HKUST,5,23
2017-03-01,Midnight,Total,338,1943
2017-03-01,Early-Morning,Staff,16,38
2017-03-01,Early-Morning,TPG,4,6
2017-03-01,Early-Morning,RPG,3,12
2017-03-01,Early-Morning,UG,88,443
2017-03-01,Early-Morning,Alumni,1,12
2017-03-01,Early-Morning,Others(HKUST),3,47
2017-03-01,Early-Morning,Non-HKUST,2,5
2017-03-01,Early-Morning,Total,117,563
2017-03-01,Morning,Staff,181,1219
2017-03-01,Morning,TPG,283,2112
2017-03-01,Morning,RPG,139,839
2017-03-01,Morning,UG,1253,7042
2017-03-01,Morning,Alumni,6,26
2017-03-01,Morning,Others(HKUST),14,57
2017-03-01,Morning,Non-HKUST,18,82
2017-03-01,Morning,Total,1894,11377
2017-03-01,Afternoon,Staff,244,1449
2017-03-01,Afternoon,TPG,563,6324
2017-03-01,Afternoon,RPG,226,1443
2017-03-01,Afternoon,UG,2837,21193
2017-03-01,Afternoon,Alumni,8,68
2017-03-01,Afternoon,Others(HKUST),22,257
2017-03-01,Afternoon,Non-HKUST,60,332
2017-03-01,Afternoon,Total,3960,31066
2017-03-01,Late-Afternoon,Staff,156,889
2017-03-01,Late-Afternoon,TPG,627,6418
2017-03-01,Late-Afternoon,RPG,234,1243
2017-03-01,Late-Afternoon,UG,2632,18592
2017-03-01,Late-Afternoon,Alumni,12,66
2017-03-01,Late-Afternoon,Others(HKUST),21,95
2017-03-01,Late-Afternoon,Non-HKUST,67,415
2017-03-01,Late-Afternoon,Total,3749,27718
2017-03-01,Evening,Staff,38,206
2017-03-01,Evening,TPG,277,2117
2017-03-01,Evening,RPG,111,609
2017-03-01,Evening,UG,1145,8597
2017-03-01,Evening,Alumni,9,41
2017-03-01,Evening,Others(HKUST),6,26
2017-03-01,Evening,Non-HKUST,29,175
2017-03-01,Evening,Total,1615,11771
2017-03-01,All-Periods,Staff,391,3802
2017-03-01,All-Periods,TPG,744,16780
2017-03-01,All-Periods,RPG,429,4152
2017-03-01,All-Periods,UG,4328,57173
2017-03-01,All-Periods,Alumni,19,218
2017-03-01,All-Periods,Others(HKUST),37,482
2017-03-01,All-Periods,Non-HKUST,106,1025
2017-03-01,All-Periods,Total,6054,83632
2017-03-02,Midnight,Staff,10,77
2017-03-02,Midnight,TPG,30,170
2017-03-02,Midnight,RPG,15,77
2017-03-02,Midnight,UG,246,1283
2017-03-02,Midnight,Alumni,0,0
2017-03-02,Midnight,Others(HKUST),4,46
