Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2018-09-01,1,Staff,8,35,193151,120158193,4626026441,4746184634
2018-09-01,1,TPG,45,111,645824,1233559556,14466755069,15700314625
2018-09-01,1,RPG,10,33,289839,323947091,3683147715,4007094806
2018-09-01,1,UG,16,43,238474,380090928,6086766691,6466857619
2018-09-01,1,Alumni,3,7,30192,10271544,224500185,234771729
2018-09-01,1,Others(HKUST),0,0,0,0,0,0
2018-09-01,1,Non-HKUST,3,3,12061,4457057,64180427,68637484
2018-09-01,1,Total,85,232,1409541,2072484369,29151376528,31223860897
2018-09-01,G,Staff,17,37,215155,3878122904,721528387,4599651291
2018-09-01,G,TPG,116,178,738968,2757349941,21736785174,24494135115
2018-09-01,G,RPG,41,77,349913,215424587,2915794412,3131218999
2018-09-01,G,UG,63,118,570414,622505493,10257359423,10879864916
2018-09-01,G,Alumni,6,16,69383,24856099,151664196,176520295
2018-09-01,G,Others(HKUST),2,7,24146,17363044,181889488,199252532
2018-09-01,G,Non-HKUST,16,25,117626,52216988,580372209,632589197
2018-09-01,G,Total,261,458,2085605,7567839056,36545393289,44113232345
2018-09-01,LG1,Staff,14,43,253520,623566995,3919704804,4543271799
2018-09-01,LG1,TPG,165,458,2544549,5499914395,50749244528,56249158923
2018-09-01,LG1,RPG,62,188,1156061,1654397885,21987901501,23642299386
2018-09-01,LG1,UG,267,884,5044727,20664396350,98124812421,118789208771
2018-09-01,LG1,Alumni,7,37,259625,1247457168,7391536722,8638993890
2018-09-01,LG1,Others(HKUST),2,10,133721,87379323,716510014,803889337
2018-09-01,LG1,Non-HKUST,20,48,304894,534993704,3129454785,3664448489
2018-09-01,LG1,Total,537,1668,9697097,30312105820,186019164775,216331270595
2018-09-01,LG3,Staff,7,15,72427,72878490,278436727,351315217
2018-09-01,LG3,TPG,33,59,316842,948450240,19301636167,20250086407
2018-09-01,LG3,RPG,18,45,316866,544815748,5808916138,6353731886
2018-09-01,LG3,UG,39,70,353068,368724135,6318863805,6687587940
2018-09-01,LG3,Alumni,1,10,42244,38207011,967548751,1005755762
2018-09-01,LG3,Others(HKUST),0,0,0,0,0,0
2018-09-01,LG3,Non-HKUST,2,2,30206,17689970,353687048,371377018
2018-09-01,LG3,Total,100,201,1131653,1990765594,33029088636,35019854230
2018-09-01,LG4,Staff,8,15,54327,44660679,388897804,433558483
2018-09-01,LG4,TPG,61,73,229169,490681364,3471980750,3962662114
2018-09-01,LG4,RPG,44,67,301684,645419699,7357166262,8002585961
2018-09-01,LG4,UG,20,37,181057,428529340,7274789844,7703319184
2018-09-01,LG4,Alumni,4,9,39237,23792661,291863074,315655735
2018-09-01,LG4,Others(HKUST),2,2,6936,4535846,43007045,47542891
2018-09-01,LG4,Non-HKUST,12,19,60285,121240472,1836669201,1957909673
2018-09-01,LG4,Total,151,222,872695,1758860061,20664373980,22423234041
2018-09-01,All-Floors,Staff,41,145,788580,4739387261,9934594163,14673981424
2018-09-01,All-Floors,TPG,317,879,4475352,10929955496,109726401688,120656357184
2018-09-01,All-Floors,RPG,132,410,2414363,3384005010,41752926028,45136931038
2018-09-01,All-Floors,UG,358,1152,6387740,22464246246,128062592184,150526838430
2018-09-01,All-Floors,Alumni,18,79,440681,1344584483,9027112928,10371697411
2018-09-01,All-Floors,Others(HKUST),4,19,164803,109278213,941406547,1050684760
2018-09-01,All-Floors,Non-HKUST,38,97,525072,730598191,5964363670,6694961861
2018-09-01,All-Floors,Total,908,2781,15196591,43702054900,305409397208,349111452108
2018-09-02,1,Staff,10,45,239360,111131836,1125752527,1236884363
2018-09-02,1,TPG,51,208,1565364,3295440332,27096908775,30392349107
2018-09-02,1,RPG,4,12,87868,35897051,572380458,608277509
2018-09-02,1,UG,23,95,623116,11520269417,11901329104,23421598521
2018-09-02,1,Alumni,7,25,166024,505244598,12995182178,13500426776
2018-09-02,1,Others(HKUST),2,2,6033,207532,1016784,1224316
2018-09-02,1,Non-HKUST,3,18,112634,68181792,1225891319,1294073111
2018-09-02,1,Total,100,405,2800399,15536372558,54918461145,70454833703
2018-09-02,G,Staff,15,33,136712,23379590,293536348,316915938
2018-09-02,G,TPG,77,190,1043935,2094284622,14525873719,16620158341
2018-09-02,G,RPG,27,58,297280,410334127,4253813487,4664147614
2018-09-02,G,UG,75,150,765919,1513438611,15059458381,16572896992
2018-09-02,G,Alumni,12,20,76300,47610833,917273372,964884205
2018-09-02,G,Others(HKUST),2,6,21713,2262086,8701490,10963576
2018-09-02,G,Non-HKUST,4,10,57346,30329062,763254103,793583165
2018-09-02,G,Total,212,467,2399205,4121638931,35821910900,39943549831
2018-09-02,LG1,Staff,13,32,178087,349854909,3208920602,3558775511
2018-09-02,LG1,TPG,116,353,2363356,4082692653,30568816236,34651508889
2018-09-02,LG1,RPG,59,175,1140383,1906851088,18594097381,20500948469
2018-09-02,LG1,UG,323,962,6047700,31891649486,110183979742,142075629228
2018-09-02,LG1,Alumni,11,48,246864,464153943,11997322344,12461476287
2018-09-02,LG1,Others(HKUST),3,9,117747,17946601,65674588,83621189
2018-09-02,LG1,Non-HKUST,16,40,260129,292138364,2521522660,2813661024
2018-09-02,LG1,Total,541,1619,10354266,39005287044,177140333553,216145620597
2018-09-02,LG3,Staff,7,11,85747,113003716,2366671224,2479674940
2018-09-02,LG3,TPG,40,132,882802,3095330397,31824889323,34920219720
2018-09-02,LG3,RPG,15,48,270720,1566131034,2460970348,4027101382
2018-09-02,LG3,UG,36,75,428047,426226687,7412586865,7838813552
2018-09-02,LG3,Alumni,2,2,9058,25152816,388966142,414118958
2018-09-02,LG3,Others(HKUST),0,0,0,0,0,0
2018-09-02,LG3,Non-HKUST,3,4,39247,60269536,1097836445,1158105981
2018-09-02,LG3,Total,103,272,1715621,5286114186,45551920347,50838034533
2018-09-02,LG4,Staff,3,3,27189,6411479,443966203,450377682
2018-09-02,LG4,TPG,26,75,498146,876986555,17242363570,18119350125
2018-09-02,LG4,RPG,14,40,299857,1212236100,7393367733,8605603833
2018-09-02,LG4,UG,37,76,505485,1637809738,21927910056,23565719794
2018-09-02,LG4,Alumni,8,39,259923,1403893390,9164216919,10568110309
2018-09-02,LG4,Others(HKUST),2,3,9059,4220540,19742354,23962894
2018-09-02,LG4,Non-HKUST,2,4,21119,39762651,923379506,963142157
2018-09-02,LG4,Total,92,240,1620778,5181320453,57114946341,62296266794
2018-09-02,All-Floors,Staff,37,124,667095,603781530,7438846904,8042628434
2018-09-02,All-Floors,TPG,244,958,6353603,13444734559,121258851623,134703586182
2018-09-02,All-Floors,RPG,100,333,2096108,5131449400,33274629407,38406078807
2018-09-02,All-Floors,UG,431,1358,8370267,46989393939,166485264148,213474658087
2018-09-02,All-Floors,Alumni,31,134,758169,2446055580,35462960955,37909016535
2018-09-02,All-Floors,Others(HKUST),5,20,154552,24636759,95135216,119771975
2018-09-02,All-Floors,Non-HKUST,25,76,490475,490681405,6531884033,7022565438
2018-09-02,All-Floors,Total,873,3003,18890269,69130733172,370547572286,439678305458
2018-09-03,1,Staff,62,248,1540789,1404355974,19431507150,20835863124
2018-09-03,1,TPG,158,465,2979418,5551724912,49412071946,54963796858
2018-09-03,1,RPG,32,90,599581,717514456,6204665737,6922180193
2018-09-03,1,UG,235,673,3436328,7900576411,41644152824,49544729235
2018-09-03,1,Alumni,4,12,72555,50211010,1071607877,1121818887
2018-09-03,1,Others(HKUST),3,6,49237,31659700,1433280143,1464939843
2018-09-03,1,Non-HKUST,20,46,205294,244593006,1609266428,1853859434
2018-09-03,1,Total,514,1540,8883202,15900635469,120806552105,136707187574
2018-09-03,G,Staff,61,157,823392,6665217662,1955789028,8621006690
2018-09-03,G,TPG,211,462,2238879,5554391817,29030307268,34584699085
2018-09-03,G,RPG,53,97,453581,850213857,3153659681,4003873538
2018-09-03,G,UG,669,1267,4911182,12639244823,77200540136,89839784959
2018-09-03,G,Alumni,2,8,75634,34588285,539857239,574445524
2018-09-03,G,Others(HKUST),6,16,66489,21519403,209076910,230596313
2018-09-03,G,Non-HKUST,43,65,268714,378303585,3040647364,3418950949
2018-09-03,G,Total,1045,2072,8837871,26143479432,115129877626,141273357058
2018-09-03,LG1,Staff,34,78,400612,2619686493,6259374998,8879061491
2018-09-03,LG1,TPG,196,444,2126641,3993634551,44313911215,48307545766
2018-09-03,LG1,RPG,60,147,752942,709573641,9237176742,9946750383
2018-09-03,LG1,UG,1158,3333,15559256,50684574126,268512572426,319197146552
2018-09-03,LG1,Alumni,5,18,108804,152725801,1370886723,1523612524
2018-09-03,LG1,Others(HKUST),4,7,45999,31613825,229810348,261424173
2018-09-03,LG1,Non-HKUST,39,67,317105,201839520,3476312791,3678152311
2018-09-03,LG1,Total,1496,4094,19311359,58393647957,333400045243,391793693200
2018-09-03,LG3,Staff,22,41,232728,298017640,11265575279,11563592919
2018-09-03,LG3,TPG,99,285,1751726,2913901179,38020838888,40934740067
2018-09-03,LG3,RPG,50,111,610427,695953803,5122590208,5818544011
2018-09-03,LG3,UG,341,694,3139258,9238958670,96119851781,105358810451
2018-09-03,LG3,Alumni,0,0,0,0,0,0
2018-09-03,LG3,Others(HKUST),4,5,27272,16014726,28430471,44445197
2018-09-03,LG3,Non-HKUST,9,17,60348,806774765,1001754373,1808529138
2018-09-03,LG3,Total,525,1153,5821759,13969620783,151559041000,165528661783
2018-09-03,LG4,Staff,28,66,311143,326644660,4249321976,4575966636
2018-09-03,LG4,TPG,165,476,2780929,5918078995,91220204343,97138283338
2018-09-03,LG4,RPG,33,128,823037,2231751336,21129038183,23360789519
2018-09-03,LG4,UG,479,1126,5232966,17421025473,174431133532,191852159005
2018-09-03,LG4,Alumni,5,20,157190,231017908,2934254629,3165272537
2018-09-03,LG4,Others(HKUST),1,2,9088,4075653,16873902,20949555
2018-09-03,LG4,Non-HKUST,23,43,214522,275824070,5446297046,5722121116
2018-09-03,LG4,Total,734,1861,9528875,26408418095,299427123611,325835541706
2018-09-03,All-Floors,Staff,147,590,3308664,11313922429,43161568431,54475490860
2018-09-03,All-Floors,TPG,627,2132,11877593,23931731454,251997333660,275929065114
2018-09-03,All-Floors,RPG,191,573,3239568,5205007093,44847130551,50052137644
2018-09-03,All-Floors,UG,2423,7093,32278990,97884379503,657908250699,755792630202
2018-09-03,All-Floors,Alumni,13,58,414183,468543004,5916606468,6385149472
2018-09-03,All-Floors,Others(HKUST),11,36,198085,104883307,1917471774,2022355081
2018-09-03,All-Floors,Non-HKUST,110,238,1065983,1907334946,14574278002,16481612948
2018-09-03,All-Floors,Total,3522,10720,52383066,140815801736,1020322639585,1161138441321
2018-09-04,1,Staff,63,211,1560980,1178135251,9934662763,11112798014
2018-09-04,1,TPG,193,612,3670096,4874845327,65436383877,70311229204
2018-09-04,1,RPG,23,75,513099,449024469,5665526816,6114551285
2018-09-04,1,UG,273,708,3649135,26682241829,78345127420,105027369249
2018-09-04,1,Alumni,2,3,9038,2455734,27817793,30273527
2018-09-04,1,Others(HKUST),5,13,80057,14949112,112868369,127817481
2018-09-04,1,Non-HKUST,16,27,145635,173222574,3259549803,3432772377
2018-09-04,1,Total,575,1649,9628040,33374874296,162781936841,196156811137
2018-09-04,G,Staff,54,149,809685,228778344,1830017699,2058796043
2018-09-04,G,TPG,214,420,2024907,3672811284,36542871579,40215682863
2018-09-04,G,RPG,44,99,475708,1095970758,2836511253,3932482011
2018-09-04,G,UG,691,1310,5224703,8500641036,69287934259,77788575295
2018-09-04,G,Alumni,7,19,143261,163830466,1713586972,1877417438
2018-09-04,G,Others(HKUST),5,6,52249,40515443,500180488,540695931
2018-09-04,G,Non-HKUST,33,50,194315,147065720,866879624,1013945344
2018-09-04,G,Total,1048,2053,8924828,13849613051,113577981874,127427594925
2018-09-04,LG1,Staff,36,47,214214,437871518,1209802181,1647673699
2018-09-04,LG1,TPG,201,472,2454946,2769298981,40097704691,42867003672
2018-09-04,LG1,RPG,87,240,1216965,2408670353,17714087126,20122757479
2018-09-04,LG1,UG,1243,3662,16711397,52339694854,275956528317,328296223171
2018-09-04,LG1,Alumni,3,8,20285,16986866,606670623,623657489
2018-09-04,LG1,Others(HKUST),7,21,135071,86586838,1011284798,1097871636
2018-09-04,LG1,Non-HKUST,49,93,387554,526176545,5679194377,6205370922
2018-09-04,LG1,Total,1626,4543,21140432,58585285955,342275272113,400860558068
2018-09-04,LG3,Staff,20,60,287237,123277005,1605268679,1728545684
2018-09-04,LG3,TPG,155,394,2479311,5125485608,55852811479,60978297087
2018-09-04,LG3,RPG,38,84,467473,1832808725,6527933749,8360742474
2018-09-04,LG3,UG,363,807,3610184,4561913075,85051789685,89613702760
2018-09-04,LG3,Alumni,2,3,9057,2323968,13773049,16097017
2018-09-04,LG3,Others(HKUST),2,7,36348,22132481,57868539,80001020
2018-09-04,LG3,Non-HKUST,14,36,178127,141945997,1086622690,1228568687
2018-09-04,LG3,Total,594,1391,7067737,11809886859,150196067870,162005954729
2018-09-04,LG4,Staff,29,68,357201,533521564,4955728392,5489249956
2018-09-04,LG4,TPG,196,567,3512400,10893029487,104399714357,115292743844
2018-09-04,LG4,RPG,38,138,976526,3162860737,22708614196,25871474933
2018-09-04,LG4,UG,531,1218,5687487,16187119771,241581520604,257768640375
2018-09-04,LG4,Alumni,9,33,241114,357018014,9846171542,10203189556
2018-09-04,LG4,Others(HKUST),2,2,9388,8054058,454411619,462465677
2018-09-04,LG4,Non-HKUST,21,35,212609,2328835988,5762821296,8091657284
2018-09-04,LG4,Total,826,2061,10996725,33470439619,389708982006,423179421625
2018-09-04,All-Floors,Staff,145,535,3229317,2501583682,19535479714,22037063396
2018-09-04,All-Floors,TPG,732,2465,14141660,27335470687,302329485983,329664956670
2018-09-04,All-Floors,RPG,189,636,3649771,8949335042,55452673140,64402008182
2018-09-04,All-Floors,UG,2604,7705,34882906,108271610565,750222900285,858494510850
2018-09-04,All-Floors,Alumni,17,66,422755,542615048,12208019979,12750635027
2018-09-04,All-Floors,Others(HKUST),14,49,313113,172237932,2136613813,2308851745
2018-09-04,All-Floors,Non-HKUST,115,241,1118240,3317246824,16655067790,19972314614
