#AP, x coordinate (-1 = unknown), y coordinate (-1 = unknown), z coordinate (floor, 99 = unknown)
AcadBldg32AP4,820754.1889,441199.0211,2
AcadBldg32AP5,820800.3675,441274.5584,4
AcadBldg32AP6,820752.3518,441141.6001,1
AcadBldg32AP7,820805.9874,441283.456,2
AcadBldg32AP8,820782.1217,441289.2449,8
AcadBldg32AP9,820805.6228,441282.6332,6
AcadBldg33AP1,819823.4835,440172.2149,2
AcadBldg33AP2,819774.9984,440188.8172,3
AcadBldg33AP3,819766.456,440174.1059,0
AcadBldg33AP4,819717.542,440181.2621,4
AcadBldg33AP5,819780.2415,440186.3354,1
AcadBldg33AP6,819718.1099,440185.7278,2
AcadBldg34AP1,820299.4309,440046.1544,0
AcadBldg34AP2,820252.8978,440056.2265,4
AcadBldg34AP3,820243.6382,440082.2467,0
AcadBldg34AP4,820320.3276,440030.6295,2
AcadBldg34AP5,820232.7631,440075.5536,2
AcadBldg35AP1,818202.4703,439975.2363,0
AcadBldg35AP2,818207.4866,440020.7308,3
AcadBldg36AP1,820254.335,440343.2337,0
AcadBldg37AP1,-1,-1,99
AcadBldg39AP1,-1,-1,99
AcadBldg39AP2,-1,-1,99
AcadBldg3AP1,-1,-1,99
AcadBldg3AP2,-1,-1,99
AcadBldg4AP1,819437.4277,440104.2718,4
AcadBldg4AP2,819396.0957,440066.8381,0
AcadBldg4AP3,819322.2821,440101.0874,4
AcadBldg4AP4,819432.1251,440106.743,1
AcadBldg4AP5,819312.2934,440116.913,0
AcadBldg5AP1,820427.2179,438809.1893,1
AcadBldg6AP1,818061.8912,439930.0485,2
AcadBldg6AP2,818076.1344,439935.9143,1
AcadBldg6AP3,818071.1649,440027.5986,2
AcadBldg6AP4,818031.3495,439959.3297,1
AcadBldg6AP5,818065.5213,439985.4031,1
AcadBldg6AP6,817984.1797,439938.7258,2
AcadBldg7AP1,818128.7799,440019.9472,1
AcadBldg8AP1,820357.3341,440151.5859,1
AcadBldg8AP2,820380.8706,440120.9667,3
AcadBldg8AP3,820362.7464,440204.9948,3
AcadBldg8AP4,820406.0574,440110.0113,4
AcadBldg8AP5,820416.308,440116.659,2
AcadBldg9AP1,821108.4912,441210.7438,3
AcadBldg9AP2,821028.0266,441249.7077,3
AcadBldg9AP3,820973.6803,441292.9864,0
AcadBldg9AP4,820983.0673,441277.9432,3
AcadBldg9AP5,821073.0824,441221.4117,3
AcadBldg9AP6,821043.983,441229.0586,0
AcadBldg9AP7,820965.9128,441300.2196,3
AdmBldg10AP1,-1,-1,99
AdmBldg11AP1,-1,-1,99
AdmBldg12AP1,819465.7432,439479.6799,3
