Date,Period,User-Group,User-Count,WiFi-Conn
2015-06-01,Midnight,Staff,2,3
2015-06-01,Midnight,TPG,0,0
2015-06-01,Midnight,RPG,0,0
2015-06-01,Midnight,UG,2,8
2015-06-01,Midnight,Alumni,0,0
2015-06-01,Midnight,Others(HKUST),4,9
2015-06-01,Midnight,Non-HKUST,0,0
2015-06-01,Midnight,Total,8,20
2015-06-01,Early-Morning,Staff,4,14
2015-06-01,Early-Morning,TPG,0,0
2015-06-01,Early-Morning,RPG,0,0
2015-06-01,Early-Morning,UG,3,6
2015-06-01,Early-Morning,Alumni,0,0
2015-06-01,Early-Morning,Others(HKUST),4,20
2015-06-01,Early-Morning,Non-HKUST,0,0
2015-06-01,Early-Morning,Total,11,40
2015-06-01,Morning,Staff,102,419
2015-06-01,Morning,TPG,150,609
2015-06-01,Morning,RPG,108,444
2015-06-01,Morning,UG,220,725
2015-06-01,Morning,Alumni,14,46
2015-06-01,Morning,Others(HKUST),9,75
2015-06-01,Morning,Non-HKUST,12,55
2015-06-01,Morning,Total,615,2373
2015-06-01,Afternoon,Staff,139,511
2015-06-01,Afternoon,TPG,269,1414
2015-06-01,Afternoon,RPG,146,628
2015-06-01,Afternoon,UG,434,1695
2015-06-01,Afternoon,Alumni,21,113
2015-06-01,Afternoon,Others(HKUST),14,79
2015-06-01,Afternoon,Non-HKUST,16,77
2015-06-01,Afternoon,Total,1039,4517
2015-06-01,Late-Afternoon,Staff,106,345
2015-06-01,Late-Afternoon,TPG,263,1624
2015-06-01,Late-Afternoon,RPG,156,674
2015-06-01,Late-Afternoon,UG,385,1361
2015-06-01,Late-Afternoon,Alumni,19,120
2015-06-01,Late-Afternoon,Others(HKUST),14,108
2015-06-01,Late-Afternoon,Non-HKUST,13,55
2015-06-01,Late-Afternoon,Total,956,4287
2015-06-01,Evening,Staff,19,45
2015-06-01,Evening,TPG,113,289
2015-06-01,Evening,RPG,51,106
2015-06-01,Evening,UG,91,196
2015-06-01,Evening,Alumni,12,26
2015-06-01,Evening,Others(HKUST),5,32
2015-06-01,Evening,Non-HKUST,6,12
2015-06-01,Evening,Total,297,706
2015-06-01,All-Periods,Staff,210,1300
2015-06-01,All-Periods,TPG,329,3811
2015-06-01,All-Periods,RPG,246,1804
2015-06-01,All-Periods,UG,727,3925
2015-06-01,All-Periods,Alumni,26,296
2015-06-01,All-Periods,Others(HKUST),20,310
2015-06-01,All-Periods,Non-HKUST,25,197
2015-06-01,All-Periods,Total,1583,11643
2015-06-02,Midnight,Staff,3,3
2015-06-02,Midnight,TPG,0,0
2015-06-02,Midnight,RPG,0,0
2015-06-02,Midnight,UG,4,20
2015-06-02,Midnight,Alumni,0,0
2015-06-02,Midnight,Others(HKUST),4,26
2015-06-02,Midnight,Non-HKUST,0,0
2015-06-02,Midnight,Total,11,49
2015-06-02,Early-Morning,Staff,7,26
2015-06-02,Early-Morning,TPG,1,1
2015-06-02,Early-Morning,RPG,1,1
2015-06-02,Early-Morning,UG,5,14
2015-06-02,Early-Morning,Alumni,0,0
2015-06-02,Early-Morning,Others(HKUST),4,41
2015-06-02,Early-Morning,Non-HKUST,1,1
2015-06-02,Early-Morning,Total,19,84
2015-06-02,Morning,Staff,137,768
2015-06-02,Morning,TPG,178,1358
2015-06-02,Morning,RPG,139,913
2015-06-02,Morning,UG,246,1052
2015-06-02,Morning,Alumni,15,106
2015-06-02,Morning,Others(HKUST),14,158
2015-06-02,Morning,Non-HKUST,7,33
2015-06-02,Morning,Total,736,4388
2015-06-02,Afternoon,Staff,178,1006
2015-06-02,Afternoon,TPG,273,3082
2015-06-02,Afternoon,RPG,200,1310
2015-06-02,Afternoon,UG,496,2590
2015-06-02,Afternoon,Alumni,22,313
2015-06-02,Afternoon,Others(HKUST),19,193
2015-06-02,Afternoon,Non-HKUST,14,61
2015-06-02,Afternoon,Total,1202,8555
2015-06-02,Late-Afternoon,Staff,127,631
2015-06-02,Late-Afternoon,TPG,271,2461
2015-06-02,Late-Afternoon,RPG,229,1224
2015-06-02,Late-Afternoon,UG,334,1967
2015-06-02,Late-Afternoon,Alumni,26,231
2015-06-02,Late-Afternoon,Others(HKUST),16,142
2015-06-02,Late-Afternoon,Non-HKUST,17,88
2015-06-02,Late-Afternoon,Total,1020,6744
2015-06-02,Evening,Staff,20,64
2015-06-02,Evening,TPG,129,500
2015-06-02,Evening,RPG,75,212
2015-06-02,Evening,UG,100,331
2015-06-02,Evening,Alumni,14,74
2015-06-02,Evening,Others(HKUST),6,58
2015-06-02,Evening,Non-HKUST,4,9
2015-06-02,Evening,Total,348,1248
2015-06-02,All-Periods,Staff,273,2456
2015-06-02,All-Periods,TPG,348,7301
2015-06-02,All-Periods,RPG,365,3617
2015-06-02,All-Periods,UG,806,5934
2015-06-02,All-Periods,Alumni,27,715
2015-06-02,All-Periods,Others(HKUST),30,588
2015-06-02,All-Periods,Non-HKUST,26,189
2015-06-02,All-Periods,Total,1875,20800
2015-06-03,Midnight,Staff,5,11
2015-06-03,Midnight,TPG,0,0
2015-06-03,Midnight,RPG,0,0
2015-06-03,Midnight,UG,8,11
2015-06-03,Midnight,Alumni,0,0
2015-06-03,Midnight,Others(HKUST),4,30
2015-06-03,Midnight,Non-HKUST,0,0
2015-06-03,Midnight,Total,17,52
2015-06-03,Early-Morning,Staff,11,33
2015-06-03,Early-Morning,TPG,1,1
2015-06-03,Early-Morning,RPG,0,0
2015-06-03,Early-Morning,UG,5,5
2015-06-03,Early-Morning,Alumni,0,0
2015-06-03,Early-Morning,Others(HKUST),5,37
2015-06-03,Early-Morning,Non-HKUST,0,0
2015-06-03,Early-Morning,Total,22,76
2015-06-03,Morning,Staff,123,736
2015-06-03,Morning,TPG,148,1204
2015-06-03,Morning,RPG,119,740
2015-06-03,Morning,UG,208,988
2015-06-03,Morning,Alumni,27,154
2015-06-03,Morning,Others(HKUST),11,119
2015-06-03,Morning,Non-HKUST,15,119
2015-06-03,Morning,Total,651,4060
2015-06-03,Afternoon,Staff,185,1057
2015-06-03,Afternoon,TPG,271,2864
2015-06-03,Afternoon,RPG,206,1293
2015-06-03,Afternoon,UG,355,2143
2015-06-03,Afternoon,Alumni,31,271
2015-06-03,Afternoon,Others(HKUST),10,112
2015-06-03,Afternoon,Non-HKUST,20,202
2015-06-03,Afternoon,Total,1078,7942
