Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2022-04-01,1,Alumni,2,5,1286,25441,32588,58029
2022-04-01,1,Non-HKUST,4,18,56653,38381127,2701922232,2740303359
2022-04-01,1,Others(HKUST),4,7,185,6537,13736,20273
2022-04-01,1,RPG,74,278,249327,128523947,8393108809,8521632756
2022-04-01,1,Staff,66,1031,639189,288928199,17838253613,18127181812
2022-04-01,1,TPG,26,150,250648,146045104,6003908853,6149953957
2022-04-01,1,Total,278,2313,1989185,1098284384,56114767487,57213051871
2022-04-01,1,UG,102,824,791897,496374029,21177527656,21673901685
2022-04-01,All-Floors,Alumni,8,338,181850,50960911,2478895305,2529856216
2022-04-01,All-Floors,Non-HKUST,30,197,215645,269362815,6484022222,6753385037
2022-04-01,All-Floors,Others(HKUST),12,209,117134,9645745,299431623,309077368
2022-04-01,All-Floors,RPG,368,1805,980361,1635182237,28235834612,29871016849
2022-04-01,All-Floors,Staff,320,3550,1227422,704450065,31013833123,31718283188
2022-04-01,All-Floors,TPG,119,3900,2466977,3120836892,66329868934,69450705826
2022-04-01,All-Floors,Total,1507,24039,15417620,19682341977,477626683728,497309025705
2022-04-01,All-Floors,UG,650,14040,10228231,13891903312,342784797909,356676701221
2022-04-01,G,Alumni,7,56,2210,6577342,221727781,228305123
2022-04-01,G,Non-HKUST,13,76,28016,10237945,225787336,236025281
2022-04-01,G,Others(HKUST),5,79,28171,8080139,287206661,295286800
2022-04-01,G,RPG,160,457,231972,310982326,3435854590,3746836916
2022-04-01,G,Staff,141,810,344622,143929936,3694022341,3837952277
2022-04-01,G,TPG,80,825,514625,1159983138,28241528216,29401511354
2022-04-01,G,Total,792,5332,2112691,2682167084,67951482300,70633649384
2022-04-01,G,UG,386,3029,963075,1042376258,31845355375,32887731633
2022-04-01,LG1,Alumni,2,75,40168,10766167,439832218,450598385
2022-04-01,LG1,Non-HKUST,11,40,103106,196112888,3029546890,3225659778
2022-04-01,LG1,Others(HKUST),2,48,64342,78953,309432,388385
2022-04-01,LG1,RPG,29,304,292137,903010136,5242044985,6145055121
2022-04-01,LG1,Staff,35,401,113487,86044607,6597047519,6683092126
2022-04-01,LG1,TPG,56,1122,707265,1226952091,12503021190,13729973281
2022-04-01,LG1,Total,411,8699,8292070,13065658811,262986246962,276051905773
2022-04-01,LG1,UG,276,6709,6971565,10642693969,235174444728,245817138697
2022-04-01,LG3,Alumni,7,48,36792,14707696,935263257,949970953
2022-04-01,LG3,Non-HKUST,17,29,16117,3444462,364762432,368206894
2022-04-01,LG3,Others(HKUST),7,35,707,68104,107585,175689
2022-04-01,LG3,RPG,195,351,62446,118984468,5468310782,5587295250
2022-04-01,LG3,Staff,183,658,40710,56350700,948820345,1005171045
2022-04-01,LG3,TPG,61,1080,639754,317564174,10804326787,11121890961
2022-04-01,LG3,Total,852,3636,1293166,992090230,40901409107,41893499337
2022-04-01,LG3,UG,382,1435,496640,480970626,22379817919,22860788545
2022-04-01,LG4,Alumni,7,154,101394,18884265,882039461,900923726
2022-04-01,LG4,Non-HKUST,16,34,11753,21186393,162003332,183189725
2022-04-01,LG4,Others(HKUST),5,40,23729,1412012,11794209,13206221
2022-04-01,LG4,RPG,175,415,144479,173681360,5696515446,5870196806
2022-04-01,LG4,Staff,145,650,89414,129196623,1935689305,2064885928
2022-04-01,LG4,TPG,57,723,354685,270292385,8777083888,9047376273
2022-04-01,LG4,Total,796,4059,1730508,1844141468,49672777872,51516919340
2022-04-01,LG4,UG,391,2043,1005054,1229488430,32207652231,33437140661
2022-04-02,1,Alumni,3,3,325,3639,14709,18348
2022-04-02,1,Non-HKUST,1,1,8109,12049290,337938320,349987610
2022-04-02,1,Others(HKUST),3,4,100,32188,109760,141948
2022-04-02,1,RPG,28,47,23189,26518052,5279957525,5306475577
2022-04-02,1,Staff,21,118,218039,56956368,2031933848,2088890216
2022-04-02,1,TPG,13,19,38099,21810283,1626661185,1648471468
2022-04-02,1,Total,122,791,637591,391938837,28761444720,29153383557
2022-04-02,1,UG,53,599,349730,274569017,19484829373,19759398390
2022-04-02,All-Floors,Alumni,14,569,371228,729158240,40360178326,41089336566
2022-04-02,All-Floors,Non-HKUST,18,148,207543,264399199,7041182852,7305582051
2022-04-02,All-Floors,Others(HKUST),10,86,291477,19820853,603352429,623173282
2022-04-02,All-Floors,RPG,265,1547,826635,1809935866,37972130265,39782066131
2022-04-02,All-Floors,Staff,118,1068,642643,369170459,15356081333,15725251792
2022-04-02,All-Floors,TPG,86,2053,2391221,3850622809,98702234920,102552857729
2022-04-02,All-Floors,Total,1020,14955,12636574,21074324432,615790738662,636865063094
2022-04-02,All-Floors,UG,509,9484,7905827,14031217006,415755578537,429786795543
2022-04-02,G,Alumni,7,71,5290,2772323,401531010,404303333
2022-04-02,G,Non-HKUST,6,24,955,10456152,542256361,552712513
2022-04-02,G,Others(HKUST),3,4,47156,3724486,15110174,18834660
2022-04-02,G,RPG,32,334,124237,969243374,6045858954,7015102328
2022-04-02,G,Staff,30,206,73662,5784022,180695575,186479597
2022-04-02,G,TPG,55,663,386444,359271334,21971439053,22330710387
2022-04-02,G,Total,321,3384,1111753,1971410196,48860223382,50831633578
2022-04-02,G,UG,188,2082,474009,620158505,19703332255,20323490760
2022-04-02,LG1,Alumni,8,348,254877,624146650,33654960928,34279107578
2022-04-02,LG1,Non-HKUST,8,92,186898,222248767,5117870667,5340119434
2022-04-02,LG1,Others(HKUST),1,12,177667,7709711,28105869,35815580
2022-04-02,LG1,RPG,21,490,565207,563827988,18650113211,19213941199
2022-04-02,LG1,Staff,20,269,240365,188457928,4516197545,4704655473
2022-04-02,LG1,TPG,54,988,1639068,3147222087,57380015980,60527238067
2022-04-02,LG1,Total,304,6566,8984403,16520332365,444401372689,460921705054
2022-04-02,LG1,UG,192,4367,5920321,11766719234,325054108489,336820827723
2022-04-02,LG3,Alumni,8,88,48276,47816904,2663906389,2711723293
2022-04-02,LG3,Non-HKUST,12,17,427,26399,78538,104937
2022-04-02,LG3,Others(HKUST),6,24,625,636847,44098312,44735159
2022-04-02,LG3,RPG,189,319,13776,11832580,332104161,343936741
2022-04-02,LG3,Staff,83,278,87557,103259494,6586616023,6689875517
2022-04-02,LG3,TPG,46,161,133594,138667049,3887009371,4025676420
2022-04-02,LG3,Total,700,1963,682107,656263845,34817637542,35473901387
2022-04-02,LG3,UG,356,1076,397852,354024572,21303824748,21657849320
2022-04-02,LG4,Alumni,11,59,62460,54418724,3639765290,3694184014
2022-04-02,LG4,Non-HKUST,7,14,11154,19618591,1043038966,1062657557
2022-04-02,LG4,Others(HKUST),6,42,65929,7717621,515928314,523645935
2022-04-02,LG4,RPG,186,357,100226,238513872,7664096414,7902610286
2022-04-02,LG4,Staff,73,197,23020,14712647,2040638342,2055350989
2022-04-02,LG4,TPG,41,222,194016,183652056,13837109331,14020761387
2022-04-02,LG4,Total,687,2251,1220720,1534379189,58950060329,60484439518
2022-04-02,LG4,UG,363,1360,763915,1015745678,30209483672,31225229350
2022-04-03,1,Alumni,0,0,0,0,0,0
2022-04-03,1,Non-HKUST,0,0,0,0,0,0
2022-04-03,1,Others(HKUST),0,0,0,0,0,0
2022-04-03,1,RPG,9,9,130,44414,385173,429587
2022-04-03,1,Staff,9,57,83419,1241503,5148851,6390354
2022-04-03,1,TPG,2,2,20,0,0,0
2022-04-03,1,Total,31,80,83770,1299717,5875710,7175427
