Date,Period,User-Group,User-Count,WiFi-Conn
2021-06-01,Afternoon,Alumni,12,98
2021-06-01,Afternoon,Non-HKUST,77,475
2021-06-01,Afternoon,Others(HKUST),19,119
2021-06-01,Afternoon,RPG,197,1233
2021-06-01,Afternoon,Staff,386,2836
2021-06-01,Afternoon,TPG,81,1512
2021-06-01,Afternoon,Total,1187,10264
2021-06-01,Afternoon,UG,415,3991
2021-06-01,All-Periods,Alumni,19,451
2021-06-01,All-Periods,Non-HKUST,115,1275
2021-06-01,All-Periods,Others(HKUST),28,276
2021-06-01,All-Periods,RPG,497,3430
2021-06-01,All-Periods,Staff,560,6115
2021-06-01,All-Periods,TPG,117,3554
2021-06-01,All-Periods,Total,2180,24684
2021-06-01,All-Periods,UG,844,9583
2021-06-01,Early-Morning,Alumni,0,0
2021-06-01,Early-Morning,Non-HKUST,3,8
2021-06-01,Early-Morning,Others(HKUST),0,0
2021-06-01,Early-Morning,RPG,1,7
2021-06-01,Early-Morning,Staff,20,34
2021-06-01,Early-Morning,TPG,0,0
2021-06-01,Early-Morning,Total,53,116
2021-06-01,Early-Morning,UG,29,67
2021-06-01,Evening,Alumni,6,49
2021-06-01,Evening,Non-HKUST,8,30
2021-06-01,Evening,Others(HKUST),4,15
2021-06-01,Evening,RPG,78,250
2021-06-01,Evening,Staff,31,251
2021-06-01,Evening,TPG,24,161
2021-06-01,Evening,Total,318,1480
2021-06-01,Evening,UG,167,724
2021-06-01,Late-Afternoon,Alumni,12,233
2021-06-01,Late-Afternoon,Non-HKUST,52,317
2021-06-01,Late-Afternoon,Others(HKUST),13,90
2021-06-01,Late-Afternoon,RPG,287,1364
2021-06-01,Late-Afternoon,Staff,184,1390
2021-06-01,Late-Afternoon,TPG,79,1370
2021-06-01,Late-Afternoon,Total,1072,8273
2021-06-01,Late-Afternoon,UG,445,3509
2021-06-01,Midnight,Alumni,0,0
2021-06-01,Midnight,Non-HKUST,1,1
2021-06-01,Midnight,Others(HKUST),0,0
2021-06-01,Midnight,RPG,0,0
2021-06-01,Midnight,Staff,2,4
2021-06-01,Midnight,TPG,0,0
2021-06-01,Midnight,Total,26,65
2021-06-01,Midnight,UG,23,60
2021-06-01,Morning,Alumni,9,77
2021-06-01,Morning,Non-HKUST,38,455
2021-06-01,Morning,Others(HKUST),12,73
2021-06-01,Morning,RPG,101,606
2021-06-01,Morning,Staff,183,1656
2021-06-01,Morning,TPG,38,551
2021-06-01,Morning,Total,590,4727
2021-06-01,Morning,UG,209,1309
2021-06-02,Afternoon,Alumni,24,292
2021-06-02,Afternoon,Non-HKUST,69,462
2021-06-02,Afternoon,Others(HKUST),19,144
2021-06-02,Afternoon,RPG,249,1439
2021-06-02,Afternoon,Staff,392,2634
2021-06-02,Afternoon,TPG,92,1373
2021-06-02,Afternoon,Total,1247,10535
2021-06-02,Afternoon,UG,402,4191
2021-06-02,All-Periods,Alumni,31,627
2021-06-02,All-Periods,Non-HKUST,118,1065
2021-06-02,All-Periods,Others(HKUST),28,280
2021-06-02,All-Periods,RPG,532,3580
2021-06-02,All-Periods,Staff,603,5813
2021-06-02,All-Periods,TPG,127,3169
2021-06-02,All-Periods,Total,2225,24324
2021-06-02,All-Periods,UG,786,9790
2021-06-02,Early-Morning,Alumni,0,0
2021-06-02,Early-Morning,Non-HKUST,4,5
2021-06-02,Early-Morning,Others(HKUST),0,0
2021-06-02,Early-Morning,RPG,1,4
2021-06-02,Early-Morning,Staff,20,41
2021-06-02,Early-Morning,TPG,0,0
2021-06-02,Early-Morning,Total,43,82
2021-06-02,Early-Morning,UG,18,32
2021-06-02,Evening,Alumni,6,26
2021-06-02,Evening,Non-HKUST,12,45
2021-06-02,Evening,Others(HKUST),5,14
2021-06-02,Evening,RPG,105,276
2021-06-02,Evening,Staff,43,213
2021-06-02,Evening,TPG,40,346
2021-06-02,Evening,Total,369,1521
2021-06-02,Evening,UG,158,601
2021-06-02,Late-Afternoon,Alumni,18,225
2021-06-02,Late-Afternoon,Non-HKUST,55,323
2021-06-02,Late-Afternoon,Others(HKUST),14,51
2021-06-02,Late-Afternoon,RPG,283,1333
2021-06-02,Late-Afternoon,Staff,165,1262
2021-06-02,Late-Afternoon,TPG,89,1179
