Date,Period,User-Group,User-Count,WiFi-Conn
2021-10-01,Afternoon,Alumni,15,208
2021-10-01,Afternoon,Non-HKUST,177,1298
2021-10-01,Afternoon,Others(HKUST),5,10
2021-10-01,Afternoon,RPG,197,1830
2021-10-01,Afternoon,Staff,73,410
2021-10-01,Afternoon,TPG,281,4500
2021-10-01,Afternoon,Total,1582,20411
2021-10-01,Afternoon,UG,834,12155
2021-10-01,All-Periods,Alumni,25,343
2021-10-01,All-Periods,Non-HKUST,270,2974
2021-10-01,All-Periods,Others(HKUST),15,82
2021-10-01,All-Periods,RPG,457,4128
2021-10-01,All-Periods,Staff,159,870
2021-10-01,All-Periods,TPG,385,11707
2021-10-01,All-Periods,Total,2798,54464
2021-10-01,All-Periods,UG,1487,34360
2021-10-01,Early-Morning,Alumni,0,0
2021-10-01,Early-Morning,Non-HKUST,4,10
2021-10-01,Early-Morning,Others(HKUST),1,1
2021-10-01,Early-Morning,RPG,4,7
2021-10-01,Early-Morning,Staff,5,13
2021-10-01,Early-Morning,TPG,7,33
2021-10-01,Early-Morning,Total,100,664
2021-10-01,Early-Morning,UG,79,600
2021-10-01,Evening,Alumni,2,6
2021-10-01,Evening,Non-HKUST,58,236
2021-10-01,Evening,Others(HKUST),2,6
2021-10-01,Evening,RPG,62,226
2021-10-01,Evening,Staff,10,58
2021-10-01,Evening,TPG,104,890
2021-10-01,Evening,Total,638,5508
2021-10-01,Evening,UG,400,4086
2021-10-01,Late-Afternoon,Alumni,17,122
2021-10-01,Late-Afternoon,Non-HKUST,163,1123
2021-10-01,Late-Afternoon,Others(HKUST),10,41
2021-10-01,Late-Afternoon,RPG,266,1620
2021-10-01,Late-Afternoon,Staff,79,277
2021-10-01,Late-Afternoon,TPG,263,5119
2021-10-01,Late-Afternoon,Total,1631,20206
2021-10-01,Late-Afternoon,UG,833,11904
2021-10-01,Midnight,Alumni,0,0
2021-10-01,Midnight,Non-HKUST,10,32
2021-10-01,Midnight,Others(HKUST),0,0
2021-10-01,Midnight,RPG,4,10
2021-10-01,Midnight,Staff,4,8
2021-10-01,Midnight,TPG,10,75
2021-10-01,Midnight,Total,233,2169
2021-10-01,Midnight,UG,205,2044
2021-10-01,Morning,Alumni,4,7
2021-10-01,Morning,Non-HKUST,64,276
2021-10-01,Morning,Others(HKUST),5,24
2021-10-01,Morning,RPG,107,435
2021-10-01,Morning,Staff,36,104
2021-10-01,Morning,TPG,102,1090
2021-10-01,Morning,Total,750,5514
2021-10-01,Morning,UG,432,3578
2021-10-02,Afternoon,Alumni,24,412
2021-10-02,Afternoon,Non-HKUST,362,3255
2021-10-02,Afternoon,Others(HKUST),8,32
2021-10-02,Afternoon,RPG,245,1690
2021-10-02,Afternoon,Staff,88,371
2021-10-02,Afternoon,TPG,565,10220
2021-10-02,Afternoon,Total,2187,31627
2021-10-02,Afternoon,UG,895,15647
2021-10-02,All-Periods,Alumni,31,822
2021-10-02,All-Periods,Non-HKUST,549,7904
2021-10-02,All-Periods,Others(HKUST),15,237
2021-10-02,All-Periods,RPG,518,4807
2021-10-02,All-Periods,Staff,207,1359
2021-10-02,All-Periods,TPG,796,26368
2021-10-02,All-Periods,Total,3521,89264
2021-10-02,All-Periods,UG,1405,47767
2021-10-02,Early-Morning,Alumni,0,0
2021-10-02,Early-Morning,Non-HKUST,8,15
2021-10-02,Early-Morning,Others(HKUST),0,0
2021-10-02,Early-Morning,RPG,1,3
2021-10-02,Early-Morning,Staff,8,15
2021-10-02,Early-Morning,TPG,6,35
2021-10-02,Early-Morning,Total,56,339
2021-10-02,Early-Morning,UG,33,271
2021-10-02,Evening,Alumni,3,26
2021-10-02,Evening,Non-HKUST,119,1015
2021-10-02,Evening,Others(HKUST),5,12
2021-10-02,Evening,RPG,86,608
2021-10-02,Evening,Staff,23,154
2021-10-02,Evening,TPG,254,2691
2021-10-02,Evening,Total,1025,12490
2021-10-02,Evening,UG,535,7984
2021-10-02,Late-Afternoon,Alumni,21,371
2021-10-02,Late-Afternoon,Non-HKUST,343,2877
2021-10-02,Late-Afternoon,Others(HKUST),11,152
2021-10-02,Late-Afternoon,RPG,287,1772
2021-10-02,Late-Afternoon,Staff,93,502
2021-10-02,Late-Afternoon,TPG,571,10106
2021-10-02,Late-Afternoon,Total,2248,33050
2021-10-02,Late-Afternoon,UG,922,17270
2021-10-02,Midnight,Alumni,0,0
2021-10-02,Midnight,Non-HKUST,6,13
2021-10-02,Midnight,Others(HKUST),2,2
2021-10-02,Midnight,RPG,3,8
2021-10-02,Midnight,Staff,1,2
2021-10-02,Midnight,TPG,4,28
2021-10-02,Midnight,Total,156,1311
2021-10-02,Midnight,UG,140,1258
2021-10-02,Morning,Alumni,4,13
2021-10-02,Morning,Non-HKUST,123,732
2021-10-02,Morning,Others(HKUST),7,39
2021-10-02,Morning,RPG,119,727
2021-10-02,Morning,Staff,55,315
2021-10-02,Morning,TPG,210,3297
2021-10-02,Morning,Total,945,10465
2021-10-02,Morning,UG,427,5342
2021-10-03,Afternoon,Alumni,20,274
2021-10-03,Afternoon,Non-HKUST,255,2002
2021-10-03,Afternoon,Others(HKUST),5,30
2021-10-03,Afternoon,RPG,235,2238
2021-10-03,Afternoon,Staff,65,475
2021-10-03,Afternoon,TPG,507,10691
2021-10-03,Afternoon,Total,1938,33251
2021-10-03,Afternoon,UG,851,17541
2021-10-03,All-Periods,Alumni,30,633
2021-10-03,All-Periods,Non-HKUST,388,5444
2021-10-03,All-Periods,Others(HKUST),10,67
2021-10-03,All-Periods,RPG,525,5519
2021-10-03,All-Periods,Staff,166,1196
2021-10-03,All-Periods,TPG,583,28711
2021-10-03,All-Periods,Total,3180,97562
2021-10-03,All-Periods,UG,1478,55992
2021-10-03,Early-Morning,Alumni,0,0
2021-10-03,Early-Morning,Non-HKUST,4,4
2021-10-03,Early-Morning,Others(HKUST),1,2
2021-10-03,Early-Morning,RPG,2,2
2021-10-03,Early-Morning,Staff,6,10
2021-10-03,Early-Morning,TPG,3,4
2021-10-03,Early-Morning,Total,60,327
2021-10-03,Early-Morning,UG,44,305
2021-10-03,Evening,Alumni,7,30
2021-10-03,Evening,Non-HKUST,108,629
2021-10-03,Evening,Others(HKUST),6,15
2021-10-03,Evening,RPG,96,429
2021-10-03,Evening,Staff,29,110
2021-10-03,Evening,TPG,268,3590
2021-10-03,Evening,Total,1201,15552
2021-10-03,Evening,UG,687,10749
2021-10-03,Late-Afternoon,Alumni,21,295
2021-10-03,Late-Afternoon,Non-HKUST,254,2051
2021-10-03,Late-Afternoon,Others(HKUST),7,26
2021-10-03,Late-Afternoon,RPG,332,2091
2021-10-03,Late-Afternoon,Staff,81,399
2021-10-03,Late-Afternoon,TPG,511,10955
2021-10-03,Late-Afternoon,Total,2166,36786
2021-10-03,Late-Afternoon,UG,960,20969
2021-10-03,Midnight,Alumni,0,0
2021-10-03,Midnight,Non-HKUST,5,51
2021-10-03,Midnight,Others(HKUST),0,0
2021-10-03,Midnight,RPG,0,0
2021-10-03,Midnight,Staff,2,10
2021-10-03,Midnight,TPG,8,62
2021-10-03,Midnight,Total,159,1800
2021-10-03,Midnight,UG,144,1677
2021-10-03,Morning,Alumni,4,37
2021-10-03,Morning,Non-HKUST,121,777
2021-10-03,Morning,Others(HKUST),5,10
2021-10-03,Morning,RPG,93,801
2021-10-03,Morning,Staff,38,205
2021-10-03,Morning,TPG,242,3878
2021-10-03,Morning,Total,902,11056
2021-10-03,Morning,UG,399,5348
2021-10-04,Afternoon,Alumni,19,309
2021-10-04,Afternoon,Non-HKUST,630,4888
2021-10-04,Afternoon,Others(HKUST),18,88
2021-10-04,Afternoon,RPG,395,2867
2021-10-04,Afternoon,Staff,441,2630
2021-10-04,Afternoon,TPG,799,19112
2021-10-04,Afternoon,Total,6047,101959
2021-10-04,Afternoon,UG,3745,72065
2021-10-04,All-Periods,Alumni,27,698
2021-10-04,All-Periods,Non-HKUST,965,11809
