Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2015-08-01,1,Staff,17,107,327360,12340806457,2213405205,14554211662
2015-08-01,1,TPG,15,170,278186,16583780565,863592152,17447372717
2015-08-01,1,RPG,23,156,238617,12428646805,1594927089,14023573894
2015-08-01,1,UG,33,190,294060,18544735965,1762177431,20306913396
2015-08-01,1,Alumni,3,28,98833,30605437650,1206966418,31812404068
2015-08-01,1,Others(HKUST),8,107,176435,697726878,55052861,752779739
2015-08-01,1,Non-HKUST,1,1,837,49777,25785,75562
2015-08-01,1,Total,100,759,1414328,91201184097,7696146941,98897331038
2015-08-01,G,Staff,42,235,237008,14374451571,1375341603,15749793174
2015-08-01,G,TPG,74,369,276078,30513629403,2140972682,32654602085
2015-08-01,G,RPG,93,604,611252,37504004399,4495140158,41999144557
2015-08-01,G,UG,193,872,789319,23144811941,3583201708,26728013649
2015-08-01,G,Alumni,33,129,135833,18817548936,1303137462,20120686398
2015-08-01,G,Others(HKUST),24,124,228421,2945839325,308262877,3254102202
2015-08-01,G,Non-HKUST,18,71,43619,936488152,193094298,1129582450
2015-08-01,G,Total,477,2404,2321530,128236773727,13399150788,141635924515
2015-08-01,LG1,Staff,32,239,198421,6203626965,562468404,6766095369
2015-08-01,LG1,TPG,76,743,652038,114062591972,16174233754,130236825726
2015-08-01,LG1,RPG,92,1038,937914,89025254621,8970589400,97995844021
2015-08-01,LG1,UG,204,2158,2093098,113326368961,18697492333,132023861294
2015-08-01,LG1,Alumni,26,202,192427,18980252338,1077204330,20057456668
2015-08-01,LG1,Others(HKUST),12,107,491362,7465684872,967010010,8432694882
2015-08-01,LG1,Non-HKUST,15,94,112666,7781230341,864857455,8646087796
2015-08-01,LG1,Total,457,4581,4677926,356845010070,47313855686,404158865756
2015-08-01,LG3,Staff,36,145,139101,1797987510,148902208,1946889718
2015-08-01,LG3,TPG,40,192,211344,11969445099,1050650807,13020095906
2015-08-01,LG3,RPG,60,382,425749,24108417972,1694561786,25802979758
2015-08-01,LG3,UG,140,437,469193,53401197233,3806553399,57207750632
2015-08-01,LG3,Alumni,21,138,186457,12993779995,12218973823,25212753818
2015-08-01,LG3,Others(HKUST),12,96,134605,3223288793,139721949,3363010742
2015-08-01,LG3,Non-HKUST,16,134,199693,20459339424,2374749567,22834088991
2015-08-01,LG3,Total,325,1524,1766142,127953456026,21434113539,149387569565
2015-08-01,LG4,Staff,33,167,147407,4016499966,343313646,4359813612
2015-08-01,LG4,TPG,30,104,65592,4037869029,515455190,4553324219
2015-08-01,LG4,RPG,94,579,599238,42765171323,6538726187,49303897510
2015-08-01,LG4,UG,176,588,547574,28166671148,2638920257,30805591405
2015-08-01,LG4,Alumni,21,387,412885,55260459920,68368382920,123628842840
2015-08-01,LG4,Others(HKUST),17,209,380308,26511223147,2398217269,28909440416
2015-08-01,LG4,Non-HKUST,13,124,106853,23262980516,1146525710,24409506226
2015-08-01,LG4,Total,384,2158,2259857,184020875049,81949541179,265970416228
2015-08-01,All-Floors,Staff,101,893,1049297,38733372469,4643431066,43376803535
2015-08-01,All-Floors,TPG,129,1578,1483238,177167316068,20744904585,197912220653
2015-08-01,All-Floors,RPG,214,2759,2812770,205831495120,23293944620,229125439740
2015-08-01,All-Floors,UG,467,4245,4193244,236583785248,30488345128,267072130376
2015-08-01,All-Floors,Alumni,50,884,1026435,136657478839,84174664953,220832143792
2015-08-01,All-Floors,Others(HKUST),35,643,1411131,40843763015,3868264966,44712027981
2015-08-01,All-Floors,Non-HKUST,35,424,463668,52440088210,4579252815,57019341025
2015-08-01,All-Floors,Total,1031,11426,12439783,888257298969,171792808133,1060050107102
2015-08-02,1,Staff,10,67,210001,3745444817,777955064,4523399881
2015-08-02,1,TPG,12,103,169332,4199545755,916899686,5116445441
2015-08-02,1,RPG,12,52,76102,3697240564,348405342,4045645906
2015-08-02,1,UG,27,102,266243,14618977896,1559996624,16178974520
2015-08-02,1,Alumni,6,34,55451,5013698941,238906329,5252605270
2015-08-02,1,Others(HKUST),4,118,155128,441755592,52125334,493880926
