Date,Period,User-Group,User-Count,WiFi-Conn
2015-01-01,Midnight,Staff,2,13
2015-01-01,Midnight,TPG,0,0
2015-01-01,Midnight,RPG,0,0
2015-01-01,Midnight,UG,8,28
2015-01-01,Midnight,Alumni,0,0
2015-01-01,Midnight,Others(HKUST),3,13
2015-01-01,Midnight,Non-HKUST,1,2
2015-01-01,Midnight,Total,14,56
2015-01-01,Early-Morning,Staff,3,14
2015-01-01,Early-Morning,TPG,0,0
2015-01-01,Early-Morning,RPG,1,1
2015-01-01,Early-Morning,UG,2,3
2015-01-01,Early-Morning,Alumni,0,0
2015-01-01,Early-Morning,Others(HKUST),3,14
2015-01-01,Early-Morning,Non-HKUST,0,0
2015-01-01,Early-Morning,Total,9,32
2015-01-01,Morning,Staff,13,21
2015-01-01,Morning,TPG,1,6
2015-01-01,Morning,RPG,5,5
2015-01-01,Morning,UG,9,16
2015-01-01,Morning,Alumni,1,1
2015-01-01,Morning,Others(HKUST),4,31
2015-01-01,Morning,Non-HKUST,5,5
2015-01-01,Morning,Total,38,85
2015-01-01,Afternoon,Staff,11,19
2015-01-01,Afternoon,TPG,3,5
2015-01-01,Afternoon,RPG,28,29
2015-01-01,Afternoon,UG,24,31
2015-01-01,Afternoon,Alumni,2,2
2015-01-01,Afternoon,Others(HKUST),4,28
2015-01-01,Afternoon,Non-HKUST,1,1
2015-01-01,Afternoon,Total,73,115
2015-01-01,Late-Afternoon,Staff,9,25
2015-01-01,Late-Afternoon,TPG,2,4
2015-01-01,Late-Afternoon,RPG,17,19
2015-01-01,Late-Afternoon,UG,24,34
2015-01-01,Late-Afternoon,Alumni,2,2
2015-01-01,Late-Afternoon,Others(HKUST),6,48
2015-01-01,Late-Afternoon,Non-HKUST,1,1
2015-01-01,Late-Afternoon,Total,61,133
2015-01-01,Evening,Staff,3,14
2015-01-01,Evening,TPG,0,0
2015-01-01,Evening,RPG,5,5
2015-01-01,Evening,UG,14,23
2015-01-01,Evening,Alumni,0,0
2015-01-01,Evening,Others(HKUST),3,26
2015-01-01,Evening,Non-HKUST,1,1
2015-01-01,Evening,Total,26,69
2015-01-01,All-Periods,Staff,31,106
2015-01-01,All-Periods,TPG,4,15
2015-01-01,All-Periods,RPG,54,59
2015-01-01,All-Periods,UG,71,135
2015-01-01,All-Periods,Alumni,5,5
2015-01-01,All-Periods,Others(HKUST),8,121
2015-01-01,All-Periods,Non-HKUST,8,10
2015-01-01,All-Periods,Total,181,451
2015-01-02,Midnight,Staff,2,7
2015-01-02,Midnight,TPG,1,1
2015-01-02,Midnight,RPG,0,0
2015-01-02,Midnight,UG,2,12
