Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2014-05-01,1,Staff,8,169,169677,11195611,21768898,32964509
2014-05-01,1,TPG,0,0,0,0,0,0
2014-05-01,1,RPG,3,3,117,28199,33082,61281
2014-05-01,1,UG,12,12,608,891123,120213,1011336
2014-05-01,1,Alumni,0,0,0,0,0,0
2014-05-01,1,Others(HKUST),0,0,0,0,0,0
2014-05-01,1,Non-HKUST,0,0,0,0,0,0
2014-05-01,1,Total,23,184,170402,12114933,21922193,34037126
2014-05-01,G,Staff,3,3,598,745458,109353,854811
2014-05-01,G,TPG,18,24,3319,110149961,6362835,116512796
2014-05-01,G,RPG,2,2,0,0,0,0
2014-05-01,G,UG,11,11,4926,635886912,309499314,945386226
2014-05-01,G,Alumni,0,0,0,0,0,0
2014-05-01,G,Others(HKUST),1,1,37504,12449066,1378424,13827490
2014-05-01,G,Non-HKUST,1,1,246,17286173,790071,18076244
2014-05-01,G,Total,36,42,46593,776517570,318139997,1094657567
2014-05-01,LG1,Staff,19,125,267887,5186244560,418529186,5604773746
2014-05-01,LG1,TPG,382,6014,12414957,163330938652,108262864394,271593803046
2014-05-01,LG1,RPG,100,922,1821042,17692345632,10976381003,28668726635
2014-05-01,LG1,UG,938,7989,15029063,193376411171,37374649638,230751060809
2014-05-01,LG1,Alumni,11,89,185776,2266304159,603367014,2869671173
2014-05-01,LG1,Others(HKUST),5,112,66830,1475913,785078,2260991
2014-05-01,LG1,Non-HKUST,11,170,212397,5666498510,329251576,5995750086
2014-05-01,LG1,Total,1466,15421,29997952,387520218597,157965827889,545486046486
2014-05-01,LG3,Staff,11,12,589,79123,58280,137403
2014-05-01,LG3,TPG,88,156,154904,942394565,245364152,1187758717
2014-05-01,LG3,RPG,48,58,6623,90319888,8977341,99297229
2014-05-01,LG3,UG,270,357,184469,4812109045,699926811,5512035856
2014-05-01,LG3,Alumni,5,22,34869,928069674,152309983,1080379657
2014-05-01,LG3,Others(HKUST),2,3,593,37971,36533,74504
2014-05-01,LG3,Non-HKUST,2,10,14269,720062432,37257292,757319724
2014-05-01,LG3,Total,426,618,396316,7493072698,1143930392,8637003090
