Date,Period,User-Group,User-Count,WiFi-Conn
2019-04-01,Midnight,Staff,7,21
2019-04-01,Midnight,TPG,36,116
2019-04-01,Midnight,RPG,9,44
2019-04-01,Midnight,UG,211,847
2019-04-01,Midnight,Alumni,0,0
2019-04-01,Midnight,Others(HKUST),5,49
2019-04-01,Midnight,Non-HKUST,4,7
2019-04-01,Midnight,Total,272,1084
2019-04-01,Early-Morning,Staff,10,25
2019-04-01,Early-Morning,TPG,8,31
2019-04-01,Early-Morning,RPG,2,4
2019-04-01,Early-Morning,UG,76,221
2019-04-01,Early-Morning,Alumni,0,0
2019-04-01,Early-Morning,Others(HKUST),5,69
2019-04-01,Early-Morning,Non-HKUST,1,1
2019-04-01,Early-Morning,Total,102,351
2019-04-01,Morning,Staff,108,705
2019-04-01,Morning,TPG,309,1519
2019-04-01,Morning,RPG,76,288
2019-04-01,Morning,UG,1117,4676
2019-04-01,Morning,Alumni,11,55
2019-04-01,Morning,Others(HKUST),12,55
2019-04-01,Morning,Non-HKUST,33,93
2019-04-01,Morning,Total,1666,7391
2019-04-01,Afternoon,Staff,176,948
2019-04-01,Afternoon,TPG,625,4217
2019-04-01,Afternoon,RPG,116,552
2019-04-01,Afternoon,UG,2238,10725
2019-04-01,Afternoon,Alumni,15,95
2019-04-01,Afternoon,Others(HKUST),14,80
2019-04-01,Afternoon,Non-HKUST,65,245
2019-04-01,Afternoon,Total,3249,16862
2019-04-01,Late-Afternoon,Staff,113,440
2019-04-01,Late-Afternoon,TPG,682,3945
2019-04-01,Late-Afternoon,RPG,141,564
2019-04-01,Late-Afternoon,UG,2004,10369
2019-04-01,Late-Afternoon,Alumni,15,39
2019-04-01,Late-Afternoon,Others(HKUST),12,65
2019-04-01,Late-Afternoon,Non-HKUST,69,235
2019-04-01,Late-Afternoon,Total,3036,15657
2019-04-01,Evening,Staff,25,87
2019-04-01,Evening,TPG,302,1368
2019-04-01,Evening,RPG,66,247
2019-04-01,Evening,UG,1009,5143
2019-04-01,Evening,Alumni,5,21
2019-04-01,Evening,Others(HKUST),11,50
2019-04-01,Evening,Non-HKUST,29,104
2019-04-01,Evening,Total,1447,7020
2019-04-01,All-Periods,Staff,249,2170
2019-04-01,All-Periods,TPG,806,10597
2019-04-01,All-Periods,RPG,244,1637
2019-04-01,All-Periods,UG,3562,31295
2019-04-01,All-Periods,Alumni,21,203
2019-04-01,All-Periods,Others(HKUST),21,300
2019-04-01,All-Periods,Non-HKUST,109,675
2019-04-01,All-Periods,Total,5012,46877
2019-04-02,Midnight,Staff,6,21
2019-04-02,Midnight,TPG,36,140
2019-04-02,Midnight,RPG,13,41
2019-04-02,Midnight,UG,208,879
2019-04-02,Midnight,Alumni,0,0
2019-04-02,Midnight,Others(HKUST),6,50
2019-04-02,Midnight,Non-HKUST,6,6
2019-04-02,Midnight,Total,275,1137
2019-04-02,Early-Morning,Staff,12,31
2019-04-02,Early-Morning,TPG,7,16
2019-04-02,Early-Morning,RPG,6,17
2019-04-02,Early-Morning,UG,52,135
2019-04-02,Early-Morning,Alumni,0,0
2019-04-02,Early-Morning,Others(HKUST),5,67
2019-04-02,Early-Morning,Non-HKUST,0,0
2019-04-02,Early-Morning,Total,82,266
2019-04-02,Morning,Staff,134,840
2019-04-02,Morning,TPG,271,1435
2019-04-02,Morning,RPG,91,361
2019-04-02,Morning,UG,1176,4890
2019-04-02,Morning,Alumni,5,22
2019-04-02,Morning,Others(HKUST),11,54
2019-04-02,Morning,Non-HKUST,35,82
2019-04-02,Morning,Total,1723,7684
2019-04-02,Afternoon,Staff,181,913
2019-04-02,Afternoon,TPG,558,3834
2019-04-02,Afternoon,RPG,106,486
2019-04-02,Afternoon,UG,2421,12749
2019-04-02,Afternoon,Alumni,13,60
2019-04-02,Afternoon,Others(HKUST),15,102
2019-04-02,Afternoon,Non-HKUST,64,187
2019-04-02,Afternoon,Total,3358,18331
2019-04-02,Late-Afternoon,Staff,124,562
2019-04-02,Late-Afternoon,TPG,680,3964
2019-04-02,Late-Afternoon,RPG,129,446
2019-04-02,Late-Afternoon,UG,2067,9835
2019-04-02,Late-Afternoon,Alumni,8,49
2019-04-02,Late-Afternoon,Others(HKUST),11,47
2019-04-02,Late-Afternoon,Non-HKUST,53,165
2019-04-02,Late-Afternoon,Total,3072,15068
2019-04-02,Evening,Staff,33,98
2019-04-02,Evening,TPG,304,1408
2019-04-02,Evening,RPG,58,207
2019-04-02,Evening,UG,1038,5158
2019-04-02,Evening,Alumni,9,26
2019-04-02,Evening,Others(HKUST),10,41
2019-04-02,Evening,Non-HKUST,26,67
2019-04-02,Evening,Total,1478,7005
2019-04-02,All-Periods,Staff,276,2398
2019-04-02,All-Periods,TPG,803,10281
2019-04-02,All-Periods,RPG,260,1515
2019-04-02,All-Periods,UG,3775,33074
2019-04-02,All-Periods,Alumni,17,149
2019-04-02,All-Periods,Others(HKUST),23,297
2019-04-02,All-Periods,Non-HKUST,104,492
2019-04-02,All-Periods,Total,5258,48206
2019-04-03,Midnight,Staff,8,29
2019-04-03,Midnight,TPG,38,130
2019-04-03,Midnight,RPG,8,21
2019-04-03,Midnight,UG,239,993
2019-04-03,Midnight,Alumni,0,0
2019-04-03,Midnight,Others(HKUST),7,59
2019-04-03,Midnight,Non-HKUST,2,4
2019-04-03,Midnight,Total,302,1236
2019-04-03,Early-Morning,Staff,14,31
2019-04-03,Early-Morning,TPG,5,23
2019-04-03,Early-Morning,RPG,4,8
2019-04-03,Early-Morning,UG,50,154
2019-04-03,Early-Morning,Alumni,0,0
2019-04-03,Early-Morning,Others(HKUST),5,77
2019-04-03,Early-Morning,Non-HKUST,0,0
2019-04-03,Early-Morning,Total,78,293
2019-04-03,Morning,Staff,115,769
2019-04-03,Morning,TPG,309,1429
2019-04-03,Morning,RPG,67,263
2019-04-03,Morning,UG,1149,4819
2019-04-03,Morning,Alumni,8,53
2019-04-03,Morning,Others(HKUST),14,63
2019-04-03,Morning,Non-HKUST,33,112
2019-04-03,Morning,Total,1695,7508
2019-04-03,Afternoon,Staff,184,925
2019-04-03,Afternoon,TPG,614,4195
2019-04-03,Afternoon,RPG,141,614
2019-04-03,Afternoon,UG,2434,12407
2019-04-03,Afternoon,Alumni,11,82
2019-04-03,Afternoon,Others(HKUST),18,72
2019-04-03,Afternoon,Non-HKUST,61,210
2019-04-03,Afternoon,Total,3463,18505
2019-04-03,Late-Afternoon,Staff,129,616
2019-04-03,Late-Afternoon,TPG,661,3963
2019-04-03,Late-Afternoon,RPG,136,498
2019-04-03,Late-Afternoon,UG,2097,10502
2019-04-03,Late-Afternoon,Alumni,10,58
2019-04-03,Late-Afternoon,Others(HKUST),15,67
2019-04-03,Late-Afternoon,Non-HKUST,52,175
2019-04-03,Late-Afternoon,Total,3100,15879
2019-04-03,Evening,Staff,32,126
2019-04-03,Evening,TPG,290,1394
2019-04-03,Evening,RPG,75,260
2019-04-03,Evening,UG,964,4847
2019-04-03,Evening,Alumni,9,22
2019-04-03,Evening,Others(HKUST),12,52
2019-04-03,Evening,Non-HKUST,31,95
2019-04-03,Evening,Total,1413,6796
2019-04-03,All-Periods,Staff,263,2439
2019-04-03,All-Periods,TPG,846,10690
2019-04-03,All-Periods,RPG,270,1623
2019-04-03,All-Periods,UG,3657,33063
2019-04-03,All-Periods,Alumni,16,206
2019-04-03,All-Periods,Others(HKUST),27,319
2019-04-03,All-Periods,Non-HKUST,90,582
2019-04-03,All-Periods,Total,5169,48922
2019-04-04,Midnight,Staff,4,15
2019-04-04,Midnight,TPG,25,73
2019-04-04,Midnight,RPG,11,32
2019-04-04,Midnight,UG,233,1233
2019-04-04,Midnight,Alumni,1,1
2019-04-04,Midnight,Others(HKUST),5,62
2019-04-04,Midnight,Non-HKUST,7,19
2019-04-04,Midnight,Total,286,1435
2019-04-04,Early-Morning,Staff,10,27
2019-04-04,Early-Morning,TPG,4,8
2019-04-04,Early-Morning,RPG,4,13
2019-04-04,Early-Morning,UG,69,206
2019-04-04,Early-Morning,Alumni,0,0
2019-04-04,Early-Morning,Others(HKUST),5,73
2019-04-04,Early-Morning,Non-HKUST,0,0
2019-04-04,Early-Morning,Total,92,327
2019-04-04,Morning,Staff,118,605
2019-04-04,Morning,TPG,295,1415
2019-04-04,Morning,RPG,67,239
2019-04-04,Morning,UG,1146,4816
2019-04-04,Morning,Alumni,6,29
2019-04-04,Morning,Others(HKUST),14,62
2019-04-04,Morning,Non-HKUST,25,71
2019-04-04,Morning,Total,1671,7237
2019-04-04,Afternoon,Staff,171,923
2019-04-04,Afternoon,TPG,590,3897
2019-04-04,Afternoon,RPG,111,408
2019-04-04,Afternoon,UG,2303,11714
2019-04-04,Afternoon,Alumni,10,58
2019-04-04,Afternoon,Others(HKUST),15,51
2019-04-04,Afternoon,Non-HKUST,53,180
2019-04-04,Afternoon,Total,3253,17231
2019-04-04,Late-Afternoon,Staff,118,507
2019-04-04,Late-Afternoon,TPG,635,3778
2019-04-04,Late-Afternoon,RPG,93,305
2019-04-04,Late-Afternoon,UG,1887,8820
2019-04-04,Late-Afternoon,Alumni,12,53
2019-04-04,Late-Afternoon,Others(HKUST),15,42
2019-04-04,Late-Afternoon,Non-HKUST,45,158
2019-04-04,Late-Afternoon,Total,2805,13663
2019-04-04,Evening,Staff,25,108
2019-04-04,Evening,TPG,212,975
2019-04-04,Evening,RPG,55,168
2019-04-04,Evening,UG,706,3313
2019-04-04,Evening,Alumni,10,19
2019-04-04,Evening,Others(HKUST),11,45
2019-04-04,Evening,Non-HKUST,15,38
2019-04-04,Evening,Total,1034,4666
2019-04-04,All-Periods,Staff,251,2140
2019-04-04,All-Periods,TPG,788,9647
2019-04-04,All-Periods,RPG,208,1130
2019-04-04,All-Periods,UG,3507,29586
2019-04-04,All-Periods,Alumni,23,156
2019-04-04,All-Periods,Others(HKUST),23,265
2019-04-04,All-Periods,Non-HKUST,86,457
2019-04-04,All-Periods,Total,4886,43381
2019-04-05,Midnight,Staff,6,12
2019-04-05,Midnight,TPG,26,130
2019-04-05,Midnight,RPG,10,33
2019-04-05,Midnight,UG,187,818
2019-04-05,Midnight,Alumni,1,2
2019-04-05,Midnight,Others(HKUST),5,55
2019-04-05,Midnight,Non-HKUST,5,14
2019-04-05,Midnight,Total,240,1064
2019-04-05,Early-Morning,Staff,5,12
2019-04-05,Early-Morning,TPG,4,20
2019-04-05,Early-Morning,RPG,3,8
2019-04-05,Early-Morning,UG,51,170
2019-04-05,Early-Morning,Alumni,1,1
2019-04-05,Early-Morning,Others(HKUST),5,46
2019-04-05,Early-Morning,Non-HKUST,1,3
2019-04-05,Early-Morning,Total,70,260
2019-04-05,Morning,Staff,24,68
2019-04-05,Morning,TPG,169,881
2019-04-05,Morning,RPG,28,96
2019-04-05,Morning,UG,249,1076
2019-04-05,Morning,Alumni,2,2
2019-04-05,Morning,Others(HKUST),6,20
2019-04-05,Morning,Non-HKUST,11,35
2019-04-05,Morning,Total,489,2178
2019-04-05,Afternoon,Staff,43,170
2019-04-05,Afternoon,TPG,335,2124
2019-04-05,Afternoon,RPG,54,270
2019-04-05,Afternoon,UG,504,2770
2019-04-05,Afternoon,Alumni,19,62
2019-04-05,Afternoon,Others(HKUST),7,38
2019-04-05,Afternoon,Non-HKUST,21,86
2019-04-05,Afternoon,Total,983,5520
2019-04-05,Late-Afternoon,Staff,24,96
2019-04-05,Late-Afternoon,TPG,319,1814
2019-04-05,Late-Afternoon,RPG,62,168
2019-04-05,Late-Afternoon,UG,451,2137
2019-04-05,Late-Afternoon,Alumni,11,27
2019-04-05,Late-Afternoon,Others(HKUST),9,62
2019-04-05,Late-Afternoon,Non-HKUST,16,72
2019-04-05,Late-Afternoon,Total,892,4376
2019-04-05,Evening,Staff,10,24
2019-04-05,Evening,TPG,147,716
2019-04-05,Evening,RPG,21,76
2019-04-05,Evening,UG,265,1217
2019-04-05,Evening,Alumni,1,1
2019-04-05,Evening,Others(HKUST),7,28
