Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2019-10-01,1,Staff,9,31,291060,6479088338,604070859,7083159197
2019-10-01,1,TPG,32,252,861388,66845872042,8089495077,74935367119
2019-10-01,1,RPG,18,92,172068,10529712945,1008375003,11538087948
2019-10-01,1,UG,87,530,1600009,238475626778,17822690687,256298317465
2019-10-01,1,Alumni,1,1,9186,742338863,36243905,778582768
2019-10-01,1,Others(HKUST),2,35,242109,678160193,115478017,793638210
2019-10-01,1,Non-HKUST,10,27,90186,7901573043,639345781,8540918824
2019-10-01,1,Total,159,968,3266006,331652372202,28315699329,359968071531
2019-10-01,G,Staff,20,77,246428,17583363270,1699733018,19283096288
2019-10-01,G,TPG,101,317,500949,133332796109,19269997743,152602793852
2019-10-01,G,RPG,40,125,222314,25510779747,2423983148,27934762895
2019-10-01,G,UG,298,988,1714496,333593734283,30243259263,363836993546
2019-10-01,G,Alumni,12,53,76145,8099834727,503187090,8603021817
2019-10-01,G,Others(HKUST),3,6,258837,2438751267,850093830,3288845097
2019-10-01,G,Non-HKUST,16,37,53990,9116252101,2566373096,11682625197
2019-10-01,G,Total,490,1603,3073159,529675511504,57556627188,587232138692
2019-10-01,LG1,Staff,17,77,76743,23881005529,1176766715,25057772244
2019-10-01,LG1,TPG,341,3572,8468738,1512362207067,169722790689,1682084997756
2019-10-01,LG1,RPG,109,817,1767349,205114149666,25131317394,230245467060
2019-10-01,LG1,UG,1245,12812,28631864,4082475231457,388745813301,4471221044758
2019-10-01,LG1,Alumni,9,46,85773,14736372834,5822261538,20558634372
2019-10-01,LG1,Others(HKUST),6,89,594197,25701631478,3938397275,29640028753
2019-10-01,LG1,Non-HKUST,68,491,973195,121921904415,20095262273,142017166688
2019-10-01,LG1,Total,1795,17904,40597859,5986192502446,614632609185,6600825111631
2019-10-01,LG3,Staff,27,80,100214,16672007728,1962531162,18634538890
2019-10-01,LG3,TPG,120,560,1282076,322401298143,24150456931,346551755074
2019-10-01,LG3,RPG,79,210,236732,24303411968,3216069330,27519481298
2019-10-01,LG3,UG,490,1499,2179809,798634364703,49953862031,848588226734
2019-10-01,LG3,Alumni,7,12,27727,2688654040,111829127,2800483167
2019-10-01,LG3,Others(HKUST),4,18,37060,5931557035,292979614,6224536649
2019-10-01,LG3,Non-HKUST,29,75,155142,36075947002,5755818973,41831765975
2019-10-01,LG3,Total,756,2454,4018760,1206707240619,85443547168,1292150787787
2019-10-01,LG4,Staff,20,47,29517,22397548673,897484171,23295032844
2019-10-01,LG4,TPG,117,516,1320229,195329980314,29346615224,224676595538
2019-10-01,LG4,RPG,65,168,264830,70852182309,4973332144,75825514453
2019-10-01,LG4,UG,543,2230,4681227,1027729724497,82781824415,1110511548912
2019-10-01,LG4,Alumni,11,49,132052,13556489369,1558576366,15115065735
2019-10-01,LG4,Others(HKUST),5,14,177480,16991143342,3006893635,19998036977
2019-10-01,LG4,Non-HKUST,26,85,190406,12641299025,3229110266,15870409291
2019-10-01,LG4,Total,787,3109,6795741,1359498367529,125793836221,1485292203750
2019-10-01,All-Floors,Staff,70,312,743962,87013013538,6340585925,93353599463
2019-10-01,All-Floors,TPG,407,5217,12433380,2230272153675,250579355664,2480851509339
2019-10-01,All-Floors,RPG,226,1412,2663293,336310236635,36753077019,373063313654
2019-10-01,All-Floors,UG,1553,18059,38807405,6480908681718,569547449697,7050456131415
