Date,Period,User-Group,User-Count,WiFi-Conn
2022-04-01,Afternoon,Alumni,6,92
2022-04-01,Afternoon,Non-HKUST,22,135
2022-04-01,Afternoon,Others(HKUST),8,98
2022-04-01,Afternoon,RPG,213,893
2022-04-01,Afternoon,Staff,204,1526
2022-04-01,Afternoon,TPG,87,2413
2022-04-01,Afternoon,Total,994,12094
2022-04-01,Afternoon,UG,454,6937
2022-04-01,All-Periods,Alumni,8,338
2022-04-01,All-Periods,Non-HKUST,30,197
2022-04-01,All-Periods,Others(HKUST),12,209
2022-04-01,All-Periods,RPG,368,1805
2022-04-01,All-Periods,Staff,320,3550
2022-04-01,All-Periods,TPG,119,3900
2022-04-01,All-Periods,Total,1507,24039
2022-04-01,All-Periods,UG,650,14040
2022-04-01,Early-Morning,Alumni,0,0
2022-04-01,Early-Morning,Non-HKUST,0,0
2022-04-01,Early-Morning,Others(HKUST),3,6
2022-04-01,Early-Morning,RPG,6,12
2022-04-01,Early-Morning,Staff,18,83
2022-04-01,Early-Morning,TPG,0,0
2022-04-01,Early-Morning,Total,34,118
2022-04-01,Early-Morning,UG,7,17
2022-04-01,Evening,Alumni,3,68
2022-04-01,Evening,Non-HKUST,3,9
2022-04-01,Evening,Others(HKUST),1,5
2022-04-01,Evening,RPG,48,168
2022-04-01,Evening,Staff,13,109
2022-04-01,Evening,TPG,18,162
2022-04-01,Evening,Total,249,2193
2022-04-01,Evening,UG,163,1672
2022-04-01,Late-Afternoon,Alumni,5,63
2022-04-01,Late-Afternoon,Non-HKUST,14,41
2022-04-01,Late-Afternoon,Others(HKUST),2,10
2022-04-01,Late-Afternoon,RPG,104,395
2022-04-01,Late-Afternoon,Staff,60,565
2022-04-01,Late-Afternoon,TPG,70,615
2022-04-01,Late-Afternoon,Total,556,5077
2022-04-01,Late-Afternoon,UG,301,3388
2022-04-01,Midnight,Alumni,1,10
2022-04-01,Midnight,Non-HKUST,0,0
2022-04-01,Midnight,Others(HKUST),1,6
2022-04-01,Midnight,RPG,5,12
2022-04-01,Midnight,Staff,3,7
2022-04-01,Midnight,TPG,0,0
2022-04-01,Midnight,Total,38,88
2022-04-01,Midnight,UG,28,53
2022-04-01,Morning,Alumni,3,109
2022-04-01,Morning,Non-HKUST,11,16
2022-04-01,Morning,Others(HKUST),10,88
2022-04-01,Morning,RPG,103,339
2022-04-01,Morning,Staff,123,1280
2022-04-01,Morning,TPG,49,757
2022-04-01,Morning,Total,500,4730
