Date,Period,User-Group,User-Count,WiFi-Conn
2015-05-01,Midnight,Staff,8,22
2015-05-01,Midnight,TPG,48,170
2015-05-01,Midnight,RPG,19,75
2015-05-01,Midnight,UG,192,906
2015-05-01,Midnight,Alumni,1,1
2015-05-01,Midnight,Others(HKUST),4,25
2015-05-01,Midnight,Non-HKUST,1,4
2015-05-01,Midnight,Total,273,1203
2015-05-01,Early-Morning,Staff,5,15
2015-05-01,Early-Morning,TPG,11,33
2015-05-01,Early-Morning,RPG,4,8
2015-05-01,Early-Morning,UG,72,271
2015-05-01,Early-Morning,Alumni,0,0
2015-05-01,Early-Morning,Others(HKUST),4,16
2015-05-01,Early-Morning,Non-HKUST,0,0
2015-05-01,Early-Morning,Total,96,343
2015-05-01,Morning,Staff,19,67
2015-05-01,Morning,TPG,202,1279
2015-05-01,Morning,RPG,55,331
2015-05-01,Morning,UG,328,1578
2015-05-01,Morning,Alumni,3,4
2015-05-01,Morning,Others(HKUST),8,45
2015-05-01,Morning,Non-HKUST,3,6
2015-05-01,Morning,Total,618,3310
2015-05-01,Afternoon,Staff,30,80
2015-05-01,Afternoon,TPG,290,2637
2015-05-01,Afternoon,RPG,86,391
2015-05-01,Afternoon,UG,621,3493
2015-05-01,Afternoon,Alumni,4,9
2015-05-01,Afternoon,Others(HKUST),7,62
2015-05-01,Afternoon,Non-HKUST,11,28
2015-05-01,Afternoon,Total,1049,6700
2015-05-01,Late-Afternoon,Staff,26,71
2015-05-01,Late-Afternoon,TPG,262,2317
2015-05-01,Late-Afternoon,RPG,71,269
2015-05-01,Late-Afternoon,UG,510,2630
2015-05-01,Late-Afternoon,Alumni,10,67
2015-05-01,Late-Afternoon,Others(HKUST),5,69
2015-05-01,Late-Afternoon,Non-HKUST,11,33
2015-05-01,Late-Afternoon,Total,895,5456
2015-05-01,Evening,Staff,10,38
2015-05-01,Evening,TPG,193,1298
2015-05-01,Evening,RPG,37,182
2015-05-01,Evening,UG,325,1681
2015-05-01,Evening,Alumni,6,71
2015-05-01,Evening,Others(HKUST),5,29
2015-05-01,Evening,Non-HKUST,2,5
2015-05-01,Evening,Total,578,3304
2015-05-01,All-Periods,Staff,61,287
2015-05-01,All-Periods,TPG,378,7517
2015-05-01,All-Periods,RPG,172,1237
2015-05-01,All-Periods,UG,1191,10419
2015-05-01,All-Periods,Alumni,13,151
2015-05-01,All-Periods,Others(HKUST),8,210
2015-05-01,All-Periods,Non-HKUST,21,75
2015-05-01,All-Periods,Total,1844,19896
2015-05-02,Midnight,Staff,4,17
2015-05-02,Midnight,TPG,35,131
2015-05-02,Midnight,RPG,12,62
2015-05-02,Midnight,UG,138,571
2015-05-02,Midnight,Alumni,2,4
2015-05-02,Midnight,Others(HKUST),4,20
2015-05-02,Midnight,Non-HKUST,1,2
2015-05-02,Midnight,Total,196,807
2015-05-02,Early-Morning,Staff,5,26
2015-05-02,Early-Morning,TPG,6,21
2015-05-02,Early-Morning,RPG,3,10
2015-05-02,Early-Morning,UG,22,54
2015-05-02,Early-Morning,Alumni,0,0
2015-05-02,Early-Morning,Others(HKUST),4,21
2015-05-02,Early-Morning,Non-HKUST,0,0
2015-05-02,Early-Morning,Total,40,132
2015-05-02,Morning,Staff,43,198
2015-05-02,Morning,TPG,264,1714
2015-05-02,Morning,RPG,78,409
2015-05-02,Morning,UG,429,2356
2015-05-02,Morning,Alumni,29,126
2015-05-02,Morning,Others(HKUST),10,64
2015-05-02,Morning,Non-HKUST,18,98
2015-05-02,Morning,Total,871,4965
2015-05-02,Afternoon,Staff,68,356
2015-05-02,Afternoon,TPG,503,4701
2015-05-02,Afternoon,RPG,153,1064
2015-05-02,Afternoon,UG,870,6718
2015-05-02,Afternoon,Alumni,52,412
2015-05-02,Afternoon,Others(HKUST),12,152
2015-05-02,Afternoon,Non-HKUST,45,294
2015-05-02,Afternoon,Total,1703,13697
2015-05-02,Late-Afternoon,Staff,50,242
2015-05-02,Late-Afternoon,TPG,512,4932
2015-05-02,Late-Afternoon,RPG,139,923
2015-05-02,Late-Afternoon,UG,841,6765
2015-05-02,Late-Afternoon,Alumni,51,434
2015-05-02,Late-Afternoon,Others(HKUST),10,172
2015-05-02,Late-Afternoon,Non-HKUST,42,259
2015-05-02,Late-Afternoon,Total,1645,13727
2015-05-02,Evening,Staff,18,74
2015-05-02,Evening,TPG,345,2585
2015-05-02,Evening,RPG,50,272
2015-05-02,Evening,UG,440,2771
2015-05-02,Evening,Alumni,25,97
2015-05-02,Evening,Others(HKUST),7,77
2015-05-02,Evening,Non-HKUST,19,52
2015-05-02,Evening,Total,904,5928
2015-05-02,All-Periods,Staff,103,898
2015-05-02,All-Periods,TPG,650,13867
2015-05-02,All-Periods,RPG,225,2702
2015-05-02,All-Periods,UG,1363,19024
2015-05-02,All-Periods,Alumni,67,1059
2015-05-02,All-Periods,Others(HKUST),14,467
2015-05-02,All-Periods,Non-HKUST,61,694
2015-05-02,All-Periods,Total,2483,38711
2015-05-03,Midnight,Staff,6,12
2015-05-03,Midnight,TPG,45,163
2015-05-03,Midnight,RPG,11,35
2015-05-03,Midnight,UG,151,857
2015-05-03,Midnight,Alumni,0,0
2015-05-03,Midnight,Others(HKUST),5,36
2015-05-03,Midnight,Non-HKUST,3,8
2015-05-03,Midnight,Total,221,1111
2015-05-03,Early-Morning,Staff,6,25
2015-05-03,Early-Morning,TPG,11,36
2015-05-03,Early-Morning,RPG,2,4
2015-05-03,Early-Morning,UG,29,135
2015-05-03,Early-Morning,Alumni,1,2
2015-05-03,Early-Morning,Others(HKUST),5,21
2015-05-03,Early-Morning,Non-HKUST,1,1
2015-05-03,Early-Morning,Total,55,224
2015-05-03,Morning,Staff,33,141
2015-05-03,Morning,TPG,315,2238
2015-05-03,Morning,RPG,79,434
2015-05-03,Morning,UG,423,2632
2015-05-03,Morning,Alumni,22,107
2015-05-03,Morning,Others(HKUST),6,49
2015-05-03,Morning,Non-HKUST,17,53
2015-05-03,Morning,Total,895,5654
2015-05-03,Afternoon,Staff,57,324
2015-05-03,Afternoon,TPG,527,6224
2015-05-03,Afternoon,RPG,173,1533
2015-05-03,Afternoon,UG,988,8970
2015-05-03,Afternoon,Alumni,57,613
2015-05-03,Afternoon,Others(HKUST),8,112
2015-05-03,Afternoon,Non-HKUST,53,294
2015-05-03,Afternoon,Total,1863,18070
2015-05-03,Late-Afternoon,Staff,42,348
2015-05-03,Late-Afternoon,TPG,549,6371
2015-05-03,Late-Afternoon,RPG,185,1692
2015-05-03,Late-Afternoon,UG,1089,10291
2015-05-03,Late-Afternoon,Alumni,53,653
2015-05-03,Late-Afternoon,Others(HKUST),6,148
2015-05-03,Late-Afternoon,Non-HKUST,47,285
2015-05-03,Late-Afternoon,Total,1971,19788
2015-05-03,Evening,Staff,20,70
