Date,Period,User-Group,User-Count,WiFi-Conn
2020-02-01,Midnight,Staff,3,3
2020-02-01,Midnight,TPG,0,0
2020-02-01,Midnight,RPG,0,0
2020-02-01,Midnight,UG,2,2
2020-02-01,Midnight,Alumni,0,0
2020-02-01,Midnight,Others(HKUST),2,22
2020-02-01,Midnight,Non-HKUST,0,0
2020-02-01,Midnight,Total,7,27
2020-02-01,Early-Morning,Staff,5,5
2020-02-01,Early-Morning,TPG,0,0
2020-02-01,Early-Morning,RPG,0,0
2020-02-01,Early-Morning,UG,0,0
2020-02-01,Early-Morning,Alumni,0,0
2020-02-01,Early-Morning,Others(HKUST),3,17
2020-02-01,Early-Morning,Non-HKUST,0,0
2020-02-01,Early-Morning,Total,8,22
2020-02-01,Morning,Staff,8,19
2020-02-01,Morning,TPG,0,0
2020-02-01,Morning,RPG,5,6
2020-02-01,Morning,UG,0,0
2020-02-01,Morning,Alumni,0,0
2020-02-01,Morning,Others(HKUST),4,22
2020-02-01,Morning,Non-HKUST,3,4
2020-02-01,Morning,Total,20,51
2020-02-01,Afternoon,Staff,9,19
2020-02-01,Afternoon,TPG,1,1
2020-02-01,Afternoon,RPG,11,12
2020-02-01,Afternoon,UG,8,10
2020-02-01,Afternoon,Alumni,0,0
2020-02-01,Afternoon,Others(HKUST),4,18
2020-02-01,Afternoon,Non-HKUST,1,1
2020-02-01,Afternoon,Total,34,61
2020-02-01,Late-Afternoon,Staff,8,10
2020-02-01,Late-Afternoon,TPG,4,4
2020-02-01,Late-Afternoon,RPG,18,21
2020-02-01,Late-Afternoon,UG,18,27
2020-02-01,Late-Afternoon,Alumni,0,0
2020-02-01,Late-Afternoon,Others(HKUST),3,16
2020-02-01,Late-Afternoon,Non-HKUST,1,2
2020-02-01,Late-Afternoon,Total,52,80
2020-02-01,Evening,Staff,4,8
2020-02-01,Evening,TPG,0,0
2020-02-01,Evening,RPG,9,9
2020-02-01,Evening,UG,5,10
2020-02-01,Evening,Alumni,0,0
2020-02-01,Evening,Others(HKUST),4,18
2020-02-01,Evening,Non-HKUST,1,1
2020-02-01,Evening,Total,23,46
2020-02-01,All-Periods,Staff,22,49
2020-02-01,All-Periods,TPG,5,5
2020-02-01,All-Periods,RPG,42,48
2020-02-01,All-Periods,UG,31,49
2020-02-01,All-Periods,Alumni,0,0
2020-02-01,All-Periods,Others(HKUST),6,53
2020-02-01,All-Periods,Non-HKUST,5,8
2020-02-01,All-Periods,Total,111,212
2020-02-02,Midnight,Staff,3,4
2020-02-02,Midnight,TPG,0,0
2020-02-02,Midnight,RPG,2,2
2020-02-02,Midnight,UG,2,2
2020-02-02,Midnight,Alumni,0,0
2020-02-02,Midnight,Others(HKUST),2,17
2020-02-02,Midnight,Non-HKUST,0,0
2020-02-02,Midnight,Total,9,25
2020-02-02,Early-Morning,Staff,6,7
2020-02-02,Early-Morning,TPG,0,0
2020-02-02,Early-Morning,RPG,0,0
2020-02-02,Early-Morning,UG,1,1
2020-02-02,Early-Morning,Alumni,0,0
2020-02-02,Early-Morning,Others(HKUST),2,16
2020-02-02,Early-Morning,Non-HKUST,0,0
2020-02-02,Early-Morning,Total,9,24
2020-02-02,Morning,Staff,7,8
2020-02-02,Morning,TPG,0,0
2020-02-02,Morning,RPG,3,3
2020-02-02,Morning,UG,2,3
2020-02-02,Morning,Alumni,0,0
2020-02-02,Morning,Others(HKUST),2,15
2020-02-02,Morning,Non-HKUST,0,0
2020-02-02,Morning,Total,14,29
2020-02-02,Afternoon,Staff,7,8
2020-02-02,Afternoon,TPG,2,2
2020-02-02,Afternoon,RPG,14,15
2020-02-02,Afternoon,UG,17,21
2020-02-02,Afternoon,Alumni,0,0
2020-02-02,Afternoon,Others(HKUST),2,14
2020-02-02,Afternoon,Non-HKUST,4,4
2020-02-02,Afternoon,Total,46,64
2020-02-02,Late-Afternoon,Staff,10,14
2020-02-02,Late-Afternoon,TPG,4,4
2020-02-02,Late-Afternoon,RPG,17,17
2020-02-02,Late-Afternoon,UG,20,32
