BuildingCode,BuildingName,BuildingType,num_access_points,coord_x,coord_y,map_pixel_x,map_pixel_y
ResBldg36,ResBldg36,Res,2,819063.01095,440651.8208,566,310
ResBldg38,ResBldg38,Res,3,819395.5007333333,440534.04283333337,606,324
ResBldg39,ResBldg39,Res,1,819216.0,440662.2667,584,309
ResBldg41,ResBldg41,Res,4,820259.634425,438879.4197,710,521
ResBldg43,ResBldg43,Res,4,817766.400525,439778.345325,410,414
ResBldg44,ResBldg44,Res,4,819248.329175,439706.38795,588,423
ResBldg47,ResBldg47,Res,1,819107.0996,440704.8382,571,304
ResBldg49,ResBldg49,Res,1,819463.8676,440602.0772,614,316
ResBldg52,ResBldg52,Res,1,820973.9572,439359.6102,795,464
ResBldg53,ResBldg53,Res,1,821571.7591,439203.8012,867,483
ResBldg54,ResBldg54,Res,6,817798.9091500001,439318.74775000004,414,469
ResBldg55,ResBldg55,Res,4,817695.1945,439598.762125,402,436
ResBldg56,ResBldg56,Res,12,819700.4054583333,438743.43127500004,642,537
ResBldg57,ResBldg57,Res,6,820473.0860833334,438934.44515,735,515
ResBldg6,ResBldg6,Res,2,820904.0818,439324.5446,787,468
ResBldg60,ResBldg60,Res,6,817962.9842500001,439369.57848333335,434,463
ResBldg61,ResBldg61,Res,1,820813.4482,439275.4755,776,474
ResBldg62,ResBldg62,Res,4,820133.30085,439824.03935,694,409
ResBldg63,ResBldg63,Res,2,818860.5538999999,439687.8344,542,425
ResBldg66,ResBldg66,Res,2,820670.1846,439551.06085,759,441
ResBldg67,ResBldg67,Res,1,819660.3517,440713.4264,638,303
ResBldg7,ResBldg7,Res,2,821314.0755,439614.62364999996,836,434
ResBldg72,ResBldg72,Res,1,818635.5659,440228.1854,515,361
ResBldg74,ResBldg74,Res,4,817543.1866,439489.28445,383,449
ResBldg76,ResBldg76,Res,2,818562.2633,440578.9452,506,319
ResBldg79,ResBldg79,Res,1,820211.0133,440275.651,704,355
ResBldg80,ResBldg80,Res,4,820907.371275,439493.494775,787,448
ResBldg82,ResBldg82,Res,4,820310.753075,439691.4058,716,425
ResBldg83,ResBldg83,Res,8,817918.618075,439810.613725,428,410
ResBldg84,ResBldg84,Res,3,820384.3719666667,439472.32899999997,725,451
ResBldg85,ResBldg85,Res,1,821660.2494,439408.2847,878,458
ResBldg86,ResBldg86,Res,2,821257.9872000001,439808.811,830,411
ResBldg87,ResBldg87,Res,2,821331.3837,439475.5983,838,450
ResBldg89,ResBldg89,Res,10,820639.9490799999,440878.71951,755,283
ResBldg90,ResBldg90,Res,2,818996.37495,439682.06195,558,426
ResBldg91,ResBldg91,Res,4,819092.8466,439702.8127,570,423
ResBldg92,ResBldg92,Res,3,820092.1216666667,438470.909,690,570
ResBldg93,ResBldg93,Res,2,819140.13035,440029.9309,575,384
ResBldg94,ResBldg94,Res,12,821165.1092,439627.080225,818,432
ResBldg96,ResBldg96,Res,1,821743.1248,439585.9681,888,437
ResBldg97,ResBldg97,Res,6,819238.9258666667,439969.3581333333,587,392
ResBldg98,ResBldg98,Res,1,821583.3998,439365.9565,869,463
SocBldg1,SocBldg1,Soc,5,819424.75706,438983.37194,609,509
SocBldg10,SocBldg10,Soc,1,818344.224,440785.3624,480,295
SocBldg11,Collis Center,Soc,6,819155.3554666666,439096.09985000006,577,495
SocBldg2,SocBldg2,Soc,3,819424.3002,439124.56820000004,609,492
SocBldg4,Hopkins Center for the Arts,Soc,21,819936.3205904762,438588.9790285714,671,556
SocBldg5,SocBldg5,Soc,4,820122.294825,438641.765725,693,549
